,economia_19
AG,9378
AE,33503
AF,176
DZ,1753
AZ,649
AL,1117
AM,664
AD,21937
AO,742
AR,8315
AU,21470
AT,24389
BH,13636
BB,11568
BW,3349
BE,23138
BS,27112
BD,346
BZ,3364
BA,1511
BO,1007
MM,158
BJ,374
BY,1087
SB,820
BR,3722
BT,766
BG,1645
BN,19955
BI,111
CA,24151
KH,302
TD,189
LK,1019
CG,998
CD,177
CN,947
CL,5134
CM,658
KM,778
CO,2472
CR,3808
CF,255
CU,2741
CV,1410
CY,14364
DK,30734
DJ,775
DM,4612
DO,2798
EC,1451
EG,1369
IE,25944
GQ,2459
EE,4067
ER,208
SV,2238
ET,121
CZ,5974
FI,24198
FJ,2105
FM,2171
FR,22262
GM,636
GA,4611
GE,648
GH,422
GD,5118
DE,23929
GR,11822
GT,1476
GN,485
GY,1509
HT,429
HN,1102
HR,4917
HU,4629
IS,31833
ID,831
IN,431
IR,1688
IL,22006
IT,19928
CI,640
IQ,717
JP,38323
JM,3389
JO,1658
KE,460
KG,278
KP,462
KI,885
KR,11852
KW,18392
KZ,1215
LA,339
LB,5155
LV,3329
LT,3295
LR,224
SK,3830
LI,82533
LS,470
LU,48758
LY,7183
MG,290
MD,307
MN,550
MW,277
ME,1616
MK,1854
ML,269
MC,81355
MA,1348
MU,4109
MR,477
MT,10218
OM,8576
MV,3161
MX,6959
MY,4045
MZ,278
NE,152
VU,1432
NG,610
NL,25920
NO,38075
NP,241
NR,2164
SR,2449
NI,1013
NZ,14108
SS,99999999999998
PY,1338
PE,1997
PK,555
PL,4459
PA,3835
PT,11430
PG,944
PW,7710
GW,292
QA,29628
RS,1249
MH,2128
RO,1692
PH,1039
RU,1774
RW,216
SA,9127
KN,9254
SC,9203
ZA,3027
SN,473
SI,10231
SL,189
SM,41607
SG,24486
SO,228
ES,14556
LC,4984
SD,99999999999998
SE,29251
SY,1198
CH,37957
TT,6431
TH,2004
TJ,138
TL,519
TO,1930
TG,299
ST,523
TN,2214
TR,4316
TV,1302
TM,1092
TZ,391
UG,282
GB,27953
UA,663
US,36473
BF,227
UY,6872
UZ,554
VC,3673
VE,4784
VN,388
NA,2019
WS,1323
SZ,1637
YE,608
ZM,342
ZW,618
