,economia_18
AG,1302
AE,261287
AF,10380
DZ,134977
AZ,33049
AL,10677
AM,9818
AD,4017
AO,65266
AR,289755
AU,986391
AT,388671
BH,21730
BB,4527
BW,10939
BE,471798
BS,10618
BD,79826
BZ,1291
BA,15779
BO,13120
MM,18233
BJ,5969
BY,46925
SB,588
BR,1397114
BT,1196
BG,44410
BN,13571
BI,1356
CA,1464978
KH,8639
TD,8397
LK,37024
CG,7436
CD,16737
CN,3571451
CL,173606
CM,22365
KM,951
CO,207416
CR,26744
CF,1755
CU,58604
CV,1514
CY,24052
DK,319423
DJ,848
DM,429
DO,43781
EC,51008
EG,132165
IE,269904
GQ,13072
EE,22232
ER,1318
SV,20105
ET,18992
CZ,188818
FI,255372
FJ,3378
FM,257
FR,2662976
GM,799
GA,12439
GE,10173
GH,24758
GD,759
DE,3439777
GR,318482
GT,34113
GN,6282
GY,1740
HT,5971
HN,12361
HR,60082
HU,139851
IS,21320
ID,460193
IN,1169473
IR,349882
IL,178707
IT,2202940
CI,20342
IQ,74912
JP,4515263
JM,12800
JO,17111
KE,31959
KG,3803
KP,14375
KI,131
KR,1122679
KW,114635
KZ,104850
LA,4570
LB,24873
LV,30903
LT,39732
LR,949
SK,76923
LI,5089
LS,1821
LU,50886
LY,62668
MG,8651
MD,4401
MN,4910
MW,4433
ME,3681
MK,8336
ML,8146
MC,5868
MA,79041
MU,8150
MR,3357
MT,7930
OM,42085
MV,1868
MX,1052697
MY,193550
MZ,9367
NE,4284
VU,526
NG,267663
NL,839377
NO,401085
NP,10959
NR,23
SR,2936
NI,7423
NZ,137318
SS,99999999999998
PY,13795
PE,102202
PK,152124
PL,429056
PA,20958
PT,240157
PG,9439
PW,195
GW,696
QA,78759
RS,40290
MH,151
RO,171540
PH,149360
RU,1299703
RW,3825
SA,415965
KN,674
SC,1034
ZA,299417
SN,11285
SI,48112
SL,2158
SM,2488
SG,179981
SO,2483
ES,1479266
LC,1143
SD,99999999999998
SE,487818
SY,40272
CH,479927
TT,21642
TH,262943
TJ,3719
TL,2907
TO,305
TG,2659
ST,146
TN,38910
TR,675754
TV,27
TM,18494
TZ,21502
UG,15052
GB,3074534
UA,148734
US,14477635
BF,6771
UY,23411
UZ,22358
VC,684
VE,230364
VN,77414
NA,8741
WS,644
SZ,3467
YE,25634
ZM,14057
ZW,6023
