"pais";"moeda_en";"moeda_pt";"moeda_es";"cod_moeda";"num_moeda";
"ANTARCTICA";"No universal currency";"Nenhuma moeda universal";"Sin divisa universal";;;
"PALESTINE";" STATE OF";"Nenhuma moeda universal";"Sin divisa universal";;;
"SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS";"No universal currency";"Nenhuma moeda universal";"Sin divisa universal";;;
"ALBANIA";"Lek";"Lek";"Lek";"ALL";8;
"ALGERIA";"Algerian Dinar";"Dinar argelino";"Dinar argelino";"DZD";12;
"ARGENTINA";"Argentine Peso";"Peso argentino";"Peso argentino";"ARS";32;
"AUSTRALIA";"Australian Dollar";"Dólar australiano";"Dólar australiano";"AUD";36;
"CHRISTMAS ISLAND";"Australian Dollar";"Dólar australiano";"Dólar australiano";"AUD";36;
"COCOS (KEELING) ISLANDS (THE)";"Australian Dollar";"Dólar australiano";"Dólar australiano";"AUD";36;
"HEARD ISLAND AND McDONALD ISLANDS";"Australian Dollar";"Dólar australiano";"Dólar australiano";"AUD";36;
"KIRIBATI";"Australian Dollar";"Dólar australiano";"Dólar australiano";"AUD";36;
"NAURU";"Australian Dollar";"Dólar australiano";"Dólar australiano";"AUD";36;
"NORFOLK ISLAND";"Australian Dollar";"Dólar australiano";"Dólar australiano";"AUD";36;
"TUVALU";"Australian Dollar";"Dólar australiano";"Dólar tuvaluano";"AUD";36;
"BAHAMAS (THE)";"Bahamian Dollar";"Dólar das Bahamas";"Dólar bahameño";"BSD";44;
"BAHRAIN";"Bahraini Dinar";"Dinar do Bahrein";"Dinar bareiní";"BHD";48;
"BANGLADESH";"Taka";"Taka";"Taka";"BDT";50;
"ARMENIA";"Armenian Dram";"Dram armênio";"Dram armenio";"AMD";51;
"BARBADOS";"Barbados Dollar";"Dólar de Barbados";"Dólar de Barbados";"BBD";52;
"BERMUDA";"Bermudian Dollar";"Dólar das Bermudas";"Dólar bermudeño";"BMD";60;
"BHUTAN";"Ngultrum";"Ngultrum";"Ngultrum butanés";"BTN";64;
"BOLIVIA (PLURINATIONAL STATE OF)";"Boliviano";"Boliviano";"Boliviano";"BOB";68;
"BOTSWANA";"Pula";"Pula";"Pula";"BWP";72;
"BELIZE";"Belize Dollar";"Dólar de Belize";"Dólar beliceño";"BZD";84;
"SOLOMON ISLANDS";"Solomon Islands Dollar";"Dólar das Ilhas Salomão";"Dólar de Islas Salomón";"SBD";90;
"BRUNEI DARUSSALAM";"Brunei Dollar";"Dólares de Brunei";"Dólar de Brunei";"BND";96;
"MYANMAR";"Kyat";"Kyat";"Kyat birmano";"MMK";104;
"BURUNDI";"Burundi Franc";"Franco do Burundi";"Franco burundés";"BIF";108;
"CAMBODIA";"Riel";"Riel";"Riel camboyano";"KHR";116;
"CANADA";"Canadian Dollar";"Dólar canadense";"Dólar canadiense";"CAD";124;
"CABO VERDE";"Cabo Verde Escudo";"Cabo Verde Escudo";"Escudo caboverdiano";"CVE";132;
"CAYMAN ISLANDS (THE)";"Cayman Islands Dollar";"Dólar das Ilhas Caimã";"Dólar de las Islas Cayman";"KYD";136;
"SRI LANKA";"Sri Lanka Rupee";"Rupia do Sri Lanka";"Rupia de Sri Lanka";"LKR";144;
"CHILE";"Chilean Peso";"Peso chileno";"Peso chileno";"CLP";152;
"CHINA";"Yuan Renminbi";"Yuan Renminbi";"Renminbi";"CNY";156;
"COLOMBIA";"Colombian Peso";"Peso colombiano";"Peso colombiano";"COP";170;
"COMOROS (THE)";"Comoro Franc";"Franco Comor";"Franco comorense";"KMF";174;
"COSTA RICA";"Costa Rican Colon";"Colon da Costa Rica";"Colón costarricense";"CRC";188;
"CROATIA";"Kuna";"Kuna";"Kuna";"HRK";191;
"CUBA";"Cuban Peso";"Peso cubano";"Peso cubano";"CUP";192;
"CZECH REPUBLIC (THE)";"Czech Koruna";"Coroa Tcheca";"Czech Koruna";"CZK";203;
"DENMARK";"Danish Krone";"Coroa dinamarquesa";"Corona danesa";"DKK";208;
"FAROE ISLANDS (THE)";"Danish Krone";"Coroa dinamarquesa";"Corona danesa";"DKK";208;
"GREENLAND";"Danish Krone";"Coroa dinamarquesa";"Corona danesa";"DKK";208;
"DOMINICAN REPUBLIC (THE)";"Dominican Peso";"Peso dominicano";"Peso dominicano";"DOP";214;
"EL SALVADOR";"El Salvador Colon";"Cólon de El Salvador";"Colón";"SVC";222;
"ETHIOPIA";"Ethiopian Birr";"Birr etíope";"Birr etíope";"ETB";230;
"ERITREA";"Nakfa";"Nakfa";"Nakfa";"ERN";232;
"FALKLAND ISLANDS (THE) [MALVINAS]";"Falkland Islands Pound";"Libra das Ilhas Falkland";"Libra malvinense";"FKP";238;
"FIJI";"Fiji Dollar";"Dólar de Fiji";"Dólar fiyiano";"FJD";242;
"DJIBOUTI";"Djibouti Franc";"Franco do Djibouti";"Franco yibutiano";"DJF";262;
"GAMBIA (THE)";"Dalasi";"Dalasi";"Dalasi";"GMD";270;
"GIBRALTAR";"Gibraltar Pound";"Libra De Gibraltar";"Libra gibraltareña";"GIP";292;
"GUATEMALA";"Quetzal";"Quetzal";"Quetzal";"GTQ";320;
"GUINEA";"Guinea Franc";"Franco da Guiné";"Franco guineano";"GNF";324;
