"";economia_19
"AF";"611"
"AX";"99999999999998"
"AL";"3877"
"DZ";"4160"
"AS";"99999999999998"
"AD";"36040"
"AO";"4133"
"AI";"22597"
"AQ";"99999999999998"
"AG";"13659"
"AR";"14603"
"AM";"3618"
"AW";"25807"
"AU";"52238"
"AT";"44024"
"AZ";"5519"
"BS";"29056"
"BH";"22689"
"BD";"1206"
"BB";"15704"
"BY";"5952"
"BE";"40326"
"BZ";"4850"
"BJ";"800"
"BM";"95528"
"BT";"2614"
"BO";"3077"
"BQ";"99999999999998"
"BA";"4584"
"BW";"6521"
"BV";"99999999999998"
"BR";"8757"
"IO";"99999999999998"
"BN";"30968"
"BG";"6994"
"BF";"575"
"BI";"276"
"CV";"2995"
"KH";"1163"
"CM";"1354"
"CA";"43194"
"KY";"62264"
"CF";"359"
"TD";"835"
"CL";"13653"
"CN";"8036"
"CX";"99999999999998"
"CC";"99999999999998"
"CO";"6045"
"KM";"1421"
"CD";"498"
"CG";"1700"
"CK";"16350"
"CR";"11406"
"CI";"1421"
"HR";"11668"
"CU";"7609"
"CW";"19948"
"CY";"23231"
"CZ";"17619"
"DK";"52964"
"DJ";"1873"
"DM";"7314"
"DO";"6468"
"EC";"6205"
"EG";"3388"
"SV";"4127"
"GQ";"10717"
"ER";"987"
"EE";"17157"
"ET";"632"
"FK";"99999999999998"
"FO";"99999999999998"
"FJ";"4890"
"FI";"42401"
"FR";"36504"
"GF";"99999999999998"
"PF";"19026"
"TF";"99999999999998"
"GA";"7077"
"GM";"475"
"GE";"3541"
"DE";"41313"
"GH";"1354"
"GI";"99999999999998"
"GR";"17431"
"GL";"39384"
"GD";"9212"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"3924"
"GG";"99999999999998"
"GN";"725"
"GW";"573"
"GY";"4137"
"HT";"780"
"HM";"99999999999998"
"VA";"99999999999998"
"HN";"2326"
"HK";"42702"
"HU";"12559"
"IS";"51242"
"IN";"1629"
"ID";"3336"
"IR";"4958"
"IQ";"4642"
"IE";"61832"
"IM";"99999999999998"
"IL";"37088"
"IT";"30794"
"JM";"4940"
"JP";"34224"
"JE";"99999999999998"
"JO";"4096"
"KZ";"10388"
"KE";"1350"
"KI";"1487"
"KP";"648"
"KR";"27331"
"KW";"28980"
"KG";"1139"
"LA";"2159"
"LV";"13554"
"LB";"8452"
"LS";"1074"
"LR";"593"
"LY";"5993"
"LI";"168177"
"LT";"14157"
"LU";"101959"
"MO";"75485"
"MK";"4840"
"MG";"471"
"MW";"366"
"MY";"9644"
"MV";"9576"
"ML";"746"
"MT";"24054"
"MH";"3386"
"MQ";"99999999999998"
"MR";"1144"
"MU";"9275"
"YT";"99999999999998"
"MX";"9291"
"FM";"3018"
"MD";"1602"
"MC";"163394"
"MN";"3947"
"ME";"6400"
"MS";"11556"
"MA";"2907"
"MZ";"528"
"MM";"1193"
"NA";"4770"
"NR";"7955"
"NP";"726"
"NL";"44750"
"NC";"34094"
"NZ";"38492"
"NI";"2096"
"NE";"363"
"NG";"2730"
"NU";"99999999999998"
"NF";"99999999999998"
"MP";"99999999999998"
"NO";"74361"
"OM";"16627"
"PK";"1413"
"PW";"13982"
"PS";"2718"
"PA";"13134"
"PG";"2691"
"PY";"4109"
"PE";"6030"
"PH";"2878"
"PN";"99999999999998"
"PL";"12475"
"PT";"19141"
"PR";"28076"
"QA";"66347"
"RE";"99999999999998"
"RO";"8931"
"RU";"9218"
"RW";"712"
"BL";"99999999999998"
"SH";"99999999999998"
"KN";"16178"
"LC";"8184"
"MF";"99999999999998"
"PM";"99999999999998"
"VC";"6912"
"WS";"3995"
"SM";"47627"
"ST";"1615"
"SA";"20653"
"SN";"913"
"RS";"5237"
"SC";"14691"
"SL";"582"
"SG";"53626"
"SX";"27521"
"SK";"16087"
"SI";"20760"
"SB";"1804"
"SO";"96"
"ZA";"5741"
"GS";"99999999999998"
"SS";"1128"
"ES";"25816"
"LK";"3892"
"SD";"2058"
"SR";"8725"
"SJ";"99999999999998"
"SZ";"3151"
"SE";"50998"
"CH";"81648"
"SY";"1515"
"TW";"99999999999998"
"TJ";"919"
"TZ";"870"
"TH";"5815"
"TL";"2500"
"TG";"563"
"TK";"99999999999998"
"TO";"3778"
"TT";"19056"
"TN";"3815"
"TR";"10985"
"TM";"6478"
"TC";"25122"
"TV";"3226"
"UG";"628"
"UA";"2038"
"AE";"39122"
"GB";"44124"
"UM";"99999999999998"
"US";"56640"
"UY";"15525"
"UZ";"2176"
"VU";"2899"
"VE";"11054"
"VN";"2065"
"VG";"31698"
"VI";"99999999999998"
"WF";"99999999999998"
"EH";"99999999999998"
"YE";"999"
"ZM";"1319"
"ZW";"1019"
