;indicadoressociais_10
"AF";"0.415"
"AL";"0.703"
"DZ";"0.690"
"AD";"99999999999998"
"AO";"0.454"
"AG";"0.781"
"AR";"0.788"
"AM";"0.707"
"AU";"0.918"
"AT";"0.860"
"AZ";"0.708"
"BS";"0.790"
"BH";"0.813"
"BD";"0.513"
"BB";"0.771"
"BY";"0.739"
"BE";"0.871"
"BZ";"0.700"
"BJ";"0.438"
"BT";"99999999999998"
"BO";"0.626"
"BA";"0.703"
"BW";"0.630"
"BR";"0.700"
"BN";"0.840"
"BG";"0.755"
"BF";"0.334"
"BI";"0.309"
"CV";"0.602"
"KH";"0.495"
"CM";"0.456"
"CA";"0.894"
"CF";"0.330"
"TD";"0.306"
"CL";"0.797"
"CN";"0.659"
"CO";"0.675"
"KM";"0.459"
"CG";"0.517"
"CD";"0.370"
"CR";"0.734"
"HR";"0.793"
"CU";"0.754"
"CY";"0.836"
"CZ";"0.851"
"CI";"0.418"
"DK";"0.904"
"DJ";"0.416"
"DM";"0.711"
"DO";"0.685"
"EC";"0.696"
"EG";"0.644"
"SV";"0.657"
"GQ";"0.587"
"ER";"0.405"
"EE";"0.829"
"ET";"0.362"
"FJ";"0.698"
"FI";"0.873"
"FR";"0.873"
"GA";"0.645"
"GM";"0.420"
"GE";"0.722"
"DE";"0.898"
"GH";"0.519"
"GR";"0.855"
"GD";"99999999999998"
"GT";"0.578"
"GN";"0.364"
"GW";"0.394"
"GY";"0.620"
"HT";"0.458"
"HN";"0.590"
"HK";"0.881"
"HU";"0.809"
"IS";"0.887"
"IN";"0.546"
"ID";"0.638"
"IR";"0.704"
"IQ";"0.636"
"IE";"0.902"
"IL";"0.872"
"IT";"0.862"
"JM";"0.714"
"JP";"0.877"
"JO";"0.736"
"KZ";"0.754"
"KE";"0.494"
"KI";"0.574"
"KR";"0.867"
"KW";"0.787"
"KG";"0.618"
"LA";"0.509"
"LV";"0.814"
"LB";"0.731"
"LS";"0.440"
"LR";"0.383"
"LY";"0.756"
"LI";"0.890"
"LT";"0.812"
"LU";"0.877"
"MG";"0.483"
"MW";"0.387"
"MY";"0.736"
"MV";"0.632"
"ML";"0.363"
"MT";"0.808"
"MR";"0.475"
"MU";"0.720"
"MX";"0.731"
"FM";"0.625"
"MD";"0.656"
"MN";"0.661"
"ME";"0.762"
"MA";"0.581"
"MZ";"0.360"
"MM";"0.484"
"NA";"0.578"
"NP";"0.486"
"NL";"0.899"
"NZ";"0.891"
"NI";"0.601"
"NE";"0.293"
"NG";"0.477"
"NO";"0.934"
"OM";"0.753"
"PK";"0.505"
"PW";"0.765"
"PA";"0.743"
"PG";"0.461"
"PY";"0.649"
"PE";"0.696"
"PH";"0.648"
"PL";"0.808"
"PT";"0.797"
"QA";"0.830"
"RO";"0.766"
"RU";"0.761"
"RW";"0.424"
"KN";"99999999999998"
"LC";"0.707"
"VC";"0.702"
"WS";"0.682"
"ST";"0.527"
"SA";"0.773"
"SN";"0.425"
"RS";"0.743"
"SC";"0.733"
"SL";"0.357"
"SG";"0.873"
"SK";"0.802"
"SI";"0.865"
"SB";"0.482"
"ZA";"0.612"
"SS";"99999999999998"
"ES";"0.849"
"LK";"0.725"
"SD";"0.440"
"SR";"0.684"
"SZ";"0.508"
"SE";"0.895"
"CH";"0.911"
"SY";"0.644"
"TJ";"0.586"
"TZ";"0.457"
"TH";"0.687"
"MK";"0.709"
"TL";"0.541"
"TG";"0.443"
"TO";"0.698"
"TT";"0.760"
"TN";"0.695"
"TR";"0.697"
"TM";"99999999999998"
"UG";"0.442"
"UA";"0.723"
"AE";"0.826"
"GB";"0.889"
"US";"0.901"
"UY";"0.760"
"UZ";"0.631"
"VU";"0.579"
"VE";"0.728"
"VN";"0.625"
"YE";"0.477"
"ZM";"0.492"
"ZW";"0.414"
