;populacao_2
"AF";"18735288"
"AL";"1480274"
"DZ";"21215181"
"AS";"27866"
"AD";"39064"
"AO";"15094515"
"AI";"7474"
"AG";"49477"
"AR";"21875185"
"AM";"1380289"
"AW";"50152"
"AU";"12340925"
"AT";"4294076"
"AZ";"4944901"
"BS";"195527"
"BH";"993102"
"BD";"83860695"
"BB";"137052"
"BY";"4398388"
"BE";"5681302"
"BZ";"190296"
"BJ";"5731560"
"BM";"29422"
"BT";"433192"
"BO";"5613952"
"BA";"1720413"
"BW";"1153633"
"BR";"103599314"
"VG";"15951"
"BN";"223327"
"BG";"3420448"
"BF";"9856989"
"BI";"5522055"
"CV";"275862"
"KH";"7928515"
"CM";"12353173"
"CA";"18339828"
"KY";"30492"
"CF";"2336752"
"TD";"7685968"
"CL";"9015760"
"CN";"729195132"
"HK";"3408117"
"MO";"303729"
"TW";"11811464"
"CO";"24328544"
"KM";"419849"
"CG";"2701176"
"CK";"8840"
"CR";"2476839"
"CI";"12605280"
"HR";"2008133"
"CU";"5746155"
"CW";"74115"
"CY";"594884"
"CZ";"5224080"
"KP";"12527059"
"CD";"41920293"
"DK";"2862007"
"DJ";"487411"
"DM";"37204"
"DO";"5417278"
"EC";"8426835"
"EG";"50246768"
"SV";"3008507"
"GQ";"728200"
"ER";"2599957"
"EE";"612836"
"ET";"53696104"
"FO";"25555"
"FK";"1440"
"FJ";"462740"
"FI";"2733167"
"FR";"32083356"
"GF";"144863"
"PF";"145460"
"GA";"1061330"
"GM";"1070976"
"GE";"1865229"
"DE";"40545598"
"GH";"14688568"
"GI";"17157"
"GR";"5483157"
"GL";"29699"
"GD";"54435"
"GP";"207995"
"GU";"83881"
"GT";"8489533"
"GN";"6545960"
"GW";"938838"
"GY";"395263"
"HT";"5494224"
"VA";"373"
"HN";"4695710"
"HU";"4610879"
"IS";"169563"
"IN";"701546980"
"ID";"134273304"
"IR";"41233529"
"IQ";"19918410"
"IE";"2383287"
"IM";"41953"
"IL";"4201463"
"IT";"28915872"
"JM";"1442065"
"JP";"62094189"
"JO";"5015320"
"KZ";"8913485"
"KE";"25322378"
"KI";"58386"
"KW";"2409800"
"KG";"3040345"
"LA";"3473601"
"LV";"886564"
"LB";"3057145"
"LS";"1099436"
"LR";"2449640"
"LY";"3261156"
"LI";"18923"
"LT";"1325442"
"LU";"296718"
"MG";"13098879"
"MW";"9495687"
"MY";"16526726"
"MV";"252924"
"ML";"9565974"
"MT";"217041"
"MH";"26802"
"MQ";"175048"
"MR";"2288918"
"MU";"626817"
"YT";"127703"
"MX";"65108517"
"FM";"267991"
"MC";"18979"
"MN";"1543490"
"ME";"310482"
"MS";"2558"
"MA";"17930240"
"MZ";"14920570"
"MM";"26303801"
"NA";"1259465"
"NR";"5590"
"NP";"14389291"
"NL";"8504783"
"NC";"140859"
"NZ";"2335465"
"NI";"3098669"
"NE";"11193392"
"NG";"99277845"
"NU";"814"
"MP";"27018"
"NO";"2703478"
"OM";"3196710"
"PK";"103146926"
"PW";"11852"
"PA";"2085201"
"PG";"4282498"
"PY";"3497237"
"PE";"16256881"
"PH";"53580294"
"PL";"18400277"
"PT";"4871173"
"PR";"1759018"
"QA";"2018833"
"KR";"25597253"
"MD";"1937429"
"RE";"427659"
"RO";"9485608"
"RU";"66905523"
"RW";"6130650"
"SH";"2063"
"KN";"27709"
"LC";"87928"
"PM";"3141"
"VC";"55551"
"WS";"102008"
"SM";"16494"
"ST";"103994"
"SA";"19212443"
"SN";"8008793"
"RS";"4281332"
"SC";"46943"
"SL";"3824138"
"SG";"2862057"
"SX";"19458"
"SK";"2649317"
"SI";"1033994"
"SB";"316854"
"SO";"7562844"
"ZA";"28160815"
"SS";"6474720"
"ES";"22756089"
"LK";"10060196"
"PS";"2562372"
"SD";"20749338"
"SR";"285106"
"SZ";"673634"
"SE";"4998715"
"CH";"4235101"
"SY";"9227583"
"TJ";"4572211"
"MK";"1042282"
"TH";"33713602"
"TL";"672390"
"TG";"3984177"
"TK";"635"
"TO";"54704"
"TT";"675589"
"TN";"5760714"
"TR";"40371479"
"TM";"2881212"
"TC";"18021"
"TV";"5519"
"UG";"22024164"
"UA";"20349408"
"AE";"6875949"
"GB";"32865239"
"TZ";"29233560"
"US";"161771707"
"VI";"49987"
"UY";"1676841"
"UZ";"16136621"
"VU";"142688"
"VE";"16098568"
"VN";"47755412"
"WF";"5653"
"EH";"297149"
"YE";"14605039"
"ZM";"8737764"
"ZW";"8242598"
