"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","MAR","Morocco","2012","2012",0.92768,"‡","UIS Estimation"
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2012","2012",97.70022,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2013","2013",97.67096,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2014","2014",98.03103,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2015","2015",98.09814,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","40520","Latin America and the Caribbean","2016","2016",98.15273,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","DOM","Dominican Republic","2012","2012",1.01503,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","DOM","Dominican Republic","2013","2013",1.0154,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","DOM","Dominican Republic","2014","2014",1.0071,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","DOM","Dominican Republic","2015","2015",1.00829,,
"LR_AG15T24_GPI","Youth literacy rate, population 15-24 years, gender parity index (GPI)","DOM","Dominican Republic","2016","2016",1.00055,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TZA","United Republic of Tanzania","2012","2012",73.34718,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","TZA","United Republic of Tanzania","2015","2015",73.09383,,
"LR_AG15T24_F","Youth literacy rate, population 15-24 years, female (%)","BEN","Benin","2012","2012",40.93838,"‡","UIS Estimation"
"LR_AG15T99_GPI","Adult literacy rate, population 15+ years, gender parity index (GPI)","BIH","Bosnia and Herzegovina","2013","2013",0.95699,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2012","2012",76.27631,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2013","2013",84.0945,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2014","2014",84.62868,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2015","2015",86.18795,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2016","2016",90.90535,,
"LR_AG15T24_M","Youth literacy rate, population 15-24 years, male (%)","BGD","Bangladesh","2017","2017",91.54129,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2012","2012",74.21019,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2013","2013",74.65994,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2014","2014",75.36975,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2015","2015",75.83826,,
"LR_AG15T99","Adult literacy rate, population 15+ years, both sexes (%)","40042","Lower middle income countries","2016","2016",76.35028,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2012","2012",54.0425,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2013","2013",54.56679,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2014","2014",55.52446,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2015","2015",56.29793,,
"LR_AG15T99_F","Adult literacy rate, population 15+ years, female (%)","40540","Sub-Saharan Africa","2016","2016",57.30464,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","PRY","Paraguay","2012","2012",80.39438,,
"LR_AG65T99_M","Elderly literacy rate, population 65+ years, male (%)","PRY","Paraguay","2013","2013",81.8457,,
