;indicadoressociais_16
"BR"; "92.0479" 
"ES"; "98.14326" 
"AZ"; "99.78806" 
"KH"; "80.52649" 
"LA"; "84.66104" 
"TR"; "95.60142" 
"BD"; "65.13733" 
"ID"; "95.21793" 
"ZA"; "94.36792" 
"KW"; "95.68545" 
"UY"; "98.52387" 
"PY"; "95.55484" 
"MX"; "94.47228" 
"TG"; "63.74562" 
"PW"; "96.59374" 
"ML"; "33.06889" 
"PS"; "96.69073" 
"CL"; "96.87413" 
"SV"; "87.96985" 
"HN"; "87.90683" 
"UZ"; "99.98383" 
"MZ"; "56039" 
"CV"; "86.79029" 
"TH"; "92.86831" 
"OM"; "93.03861" 
"SG"; "96.82549" 
"BO"; "92.45508" 
"PE"; "94.16234" 
"DO"; "91.99121" 
"AG"; "98.95" 
"TD"; "26.00299" 
"EC"; "94.45566" 
"AR"; "99.17996" 
"MU"; "92.7076" 
"VE"; "96.60522" 
"CO"; "94.24505" 
"MW"; "62.14354" 
"TZ"; "77.88723" 
"AF";""
"AX";""
"AL";""
"DZ";""
"AS";""
"AD";""
"AO";""
"AI";""
"AQ";""
"AM";""
"AW";""
"AU";""
"AT";""
"BS";""
"BH";""
"BB";""
"BY";""
"BE";""
"BZ";""
"BJ";""
"BM";""
"BT";""
"BQ";""
"BA";""
"BW";""
"BV";""
"IO";""
"BN";""
"BG";""
"BF";""
"BI";""
"CM";""
"CA";""
"KY";""
"CF";""
"CN";""
"CX";""
"CC";""
"KM";""
"CD";""
"CG";""
"CK";""
"CR";""
"CI";""
"HR";""
"CU";""
"CW";""
"CY";""
"CZ";""
"DK";""
"DJ";""
"DM";""
"EG";""
"GQ";""
"ER";""
"EE";""
"ET";""
"FK";""
"FO";""
"FJ";""
"FI";""
"FR";""
"GF";""
"PF";""
"TF";""
"GA";""
"GM";""
"GE";""
"DE";""
"GH";""
"GI";""
"GR";""
"GL";""
"GD";""
"GP";""
"GU";""
"GT";""
"GG";""
"GN";""
"GW";""
"GY";""
"HT";""
"HM";""
"VA";""
"HK";""
"HU";""
"IS";""
"IN";""
"IR";""
"IQ";""
"IE";""
"IM";""
"IL";""
"IT";""
"JM";""
"JP";""
"JE";""
"JO";""
"KZ";""
"KE";""
"KI";""
"KP";""
"KR";""
"KG";""
"LV";""
"LB";""
"LS";""
"LR";""
"LY";""
"LI";""
"LT";""
"LU";""
"MO";""
"MK";""
"MG";""
"MY";""
"MV";""
"MT";""
"MH";""
"MQ";""
"MR";""
"YT";""
"FM";""
"MD";""
"MC";""
"MN";""
"ME";""
"MS";""
"MA";""
"MM";""
"NA";""
"NR";""
"NP";""
"NL";""
"NC";""
"NZ";""
"NI";""
"NE";""
"NG";""
"NU";""
"NF";""
"MP";""
"NO";""
"PK";""
"PA";""
"PG";""
"PH";""
"PN";""
"PL";""
"PT";""
"PR";""
"QA";""
"RE";""
"RO";""
"RU";""
"RW";""
"BL";""
"SH";""
"KN";""
"LC";""
"MF";""
"PM";""
"VC";""
"WS";""
"SM";""
"ST";""
"SA";""
"SN";""
"RS";""
"SC";""
"SL";""
"SX";""
"SK";""
"SI";""
"SB";""
"SO";""
"GS";""
"SS";""
"LK";""
"SD";""
"SR";""
"SJ";""
"SZ";""
"SE";""
"CH";""
"SY";""
"TW";""
"TJ";""
"TL";""
"TK";""
"TO";""
"TT";""
"TN";""
"TM";""
"TC";""
"TV";""
"UG";""
"UA";""
"AE";""
"GB";""
"UM";""
"US";""
"VU";""
"VN";""
"VG";""
"VI";""
"WF";""
"EH";""
"YE";""
"ZM";""
"ZW";""
