"local","1999-01","2000-02","2001-03","2002-04","2003-05","2004-06","2005-07","2006-08","2007-09","2008-10","2009-11","2010-12","2011-13","2012-14","2013-15","2014-16","2015-17"
"WORLD",2716,2720,2722,2728,2739,2753,2772,2792,2806,2819,2833,2849,2863,2875,2889,2897,2904
"Least developed countries",2083,2104,2130,2152,2174,2193,2215,2233,2255,2274,2295,2309,2320,2332,2341,2349,2358
"Landlocked developing countries",2142,2157,2183,2208,2238,2260,2281,2297,2315,2336,2355,2371,2387,2398,2405,2407,2414
"Small island developing states",2470,2500,2506,2521,2526,2546,2555,2554,2558,2572,2601,2618,2635,2653,2671,2690,2713
"Low-income economies",2086,2100,2117,2138,2159,2178,2195,2208,2224,2242,2261,2277,2286,2290,2289,2290,2298
"Lower-middle-income economies",2401,2386,2378,2376,2385,2404,2437,2473,2494,2509,2523,2536,2544,2558,2576,2587,2595
"Low-income food-deficit countries",2304,2283,2270,2264,2273,2292,2325,2356,2374,2385,2395,2403,2410,2420,2435,2443,2451
"AFRICA",2432,2445,2460,2470,2487,2507,2525,2537,2546,2559,2574,2589,2600,2605,2605,2597,2593
"Northern Africa",3194,3213,3236,3236,3233,3245,3271,3304,3320,3342,3371,3409,3240,3250,3253,3257,3256
"Algeria",2847,2875,2927,2961,2972,2998,3016,3045,3067,3101,3157,3211,3262,3286,3289,3281,3272
"Egypt",3378,3404,3407,3373,3352,3355,3401,3442,3459,3479,3500,3539,3544,3538,3527,3536,3537
"Libya",3202,3195,3192,3196,3201,3192,3190,3197,3212,3220,3231,3253,3279,3311,3328,3333,3329
"Morocco",3086,3112,3158,3207,3224,3247,3243,3264,3272,3286,3312,3337,3373,3406,3444,3461,3470
"Sudan",,,,,,,,,,,,,2319,2325,2336,2336,2336
"Tunisia",3294,3233,3229,3226,3236,3247,3248,3276,3297,3321,3340,3359,3366,3364,3350,3348,3345
"Northern Africa (excluding Sudan)",3194,3213,3236,3236,3233,3245,3271,3304,3320,3342,3371,3409,3431,3441,3443,3449,3449
"Sub-Saharan Africa",2254,2266,2281,2296,2321,2345,2362,2371,2380,2395,2410,2421,2429,2434,2435,2425,2422
