,indicadoressociais_13
"DZ","3272"
"EG","3537"
"LY","3329"
"MA","3470"
"SD","2336"
"TN","3345"
"BI",""
"KM","2325"
"DJ","2575"
"ER",""
"ET","2330"
"KE","2217"
"MG","1907"
"MW","2246"
"MU","3043"
"MZ","2252"
"RW","2203"
"SC","2362"
"SO","1888"
"SS",""
"UG","2033"
"TZ","2241"
"ZM","2017"
"ZW","1952"
"AO","2259"
"CM","2792"
"CF","1720"
"TD","2133"
"CG","2078"
"CD",""
"GQ",""
"GA","2830"
"ST","2515"
"BW","2302"
"LS","2579"
"NA","2260"
"ZA","2955"
"BJ","2699"
"BF","2689"
"CV","2690"
"CI","2625"
"GM","2656"
"GH","3048"
"GN","2547"
"GW","2255"
"LR","2204"
"ML","2956"
"MR","2814"
"NE","2581"
"NG","2518"
"SN","2473"
"SL","2399"
"TG","2520"
"KZ","3225"
"KG","2793"
"TJ","2213"
"TM","2779"
"UZ","2730"
"CN","3214"
"TW","2997"
"HK","3290"
"MO","2915"
"KP","2083"
"JP","2721"
"MN","2453"
"KR","3318"
"BN","2987"
"KH","2451"
"ID","2832"
"LA","2476"
"MY","2964"
"MM","2711"
"PH","2601"
"SG",""
"TH","2784"
"TL","2131"
"VN","2828"
"AF","2024"
"BD","2487"
"BT",""
"IN","2492"
"IR","3120"
"MV","2743"
"NP","2666"
"PK","2432"
"LK","2577"
"AM","2928"
"AZ","3131"
"BH",""
"CY","2749"
"GE","2848"
"IQ","2491"
"IL","3624"
"JO","2570"
"KW","3472"
"LB","2765"
"OM","3126"
"QA",""
"SA","3255"
"PS",""
"SY","3090"
"TR","3724"
"AE","3409"
"YE","2069"
"AG","2317"
"BS","2706"
"BB","2979"
"CU","3594"
"DM","2985"
"DO","2697"
"GD","2421"
"HT","2222"
"JM","2780"
"PR",""
"KN","2488"
"LC","2595"
"VC","2970"
"TT","3138"
"BZ","2762"
"CR","2905"
"SV","2635"
"GT","2478"
"HN","2644"
"MX","3143"
"NI","2689"
"PA","2786"
"AR","3250"
"BO","2355"
"BR","3184"
"CL","3032"
"CO","2977"
"EC","2614"
"GY","2813"
"PY","2635"
"PE","2682"
"SR","2780"
"UY","3206"
"VE","2454"
"AU","3287"
"NZ","3046"
"FJ","2937"
"NC","2651"
"PG","2196"
"SB","2452"
"VU","2810"
"FM",""
"KI","3063"
"MH",""
"NR",""
"PW",""
"AS",""
"CK",""
"PF","2911"
"NU",""
"WS","2962"
"TK",""
"TO",""
"TV",""
"BM","2671"
"CA","3499"
"GL",""
"US","3757"
"BY","3236"
"BG","2926"
"CZ","3256"
"HU","3037"
"PL","3451"
"MD","2638"
"RO","3358"
"RU","3401"
"SK","3020"
"UA","2948"
"DK","3367"
"EE","3253"
"FI","3368"
"IS","3452"
"IE","3600"
"LV","3174"
"LT","3417"
"NO","3476"
"SE","3179"
"GB","3424"
"AL","3223"
"AD",""
"BA","3221"
"HR","3059"
"GR","3400"
"IT","3579"
"MT","3378"
"ME","3491"
"PT","3477"
"RS","2728"
"SI","3168"
"ES","3174"
"MK","2957"
"AT","3768"
"BE","3733"
"FR","3482"
"DE","3499"
"LU","3539"
"NL","3228"
"CH","3376"
