,economia_21
"AF","14.662"
"AO","74.724"
"AL","53.561"
"AE","31.961"
"AR","48.188"
"AM","48.482"
"AU","53.671"
"AT","48.298"
"AZ","56.228"
"BI","86.465"
"BE","40.966"
"BJ","61.555"
"BF","71.038"
"BD","25.171"
"BG","48.434"
"BH","32.73"
"BS","68.549"
"BA","39.116"
"BY","52.639"
"BZ","37.128"
"BO","58.487"
"BR","48.366"
"BB","63.563"
"BN","52.336"
"BT","51.967"
"BW","49.161"
"CF","64.279"
"CA","57.096"
"TD","64.583"
"CH","57.028"
"CL","35.546"
"CN","72.033"
"CI","48.449"
"CM","70.878"
"CD","71.434"
"CG","65.707"
"CO","37.223"
"KM","31.872"
"CV","43.041"
"CR","37.663"
"CU","34.865"
"CY","49.345"
"CZ","51.501"
"DE","48.322"
"DJ","46.126"
"DK","58.702"
"DO","46.219"
"DZ","11.813"
"EC","49.482"
"EG","19.537"
"ER","74.436"
"EH","23.943"
"ES","37.993"
"EE","54.272"
"ET","69.597"
"FI","54.778"
"FJ","39.147"
"FR","47.777"
"GA","36.289"
"GB","52.626"
"GE","58.32"
"GH","72.632"
"GN","62.676"
"GM","45.949"
"GW","64.909"
"GQ","50.852"
"GR","38.299"
"GT","40.124"
"GU","58.242"
"GY","37.038"
"HK","47.725"
"HN","45.752"
"HR","45.606"
"HT","57.778"
"HU","38.668"
"ID","49.17"
"IN","34.83"
"IE","42.489"
"IR","11.395"
"IQ","8.644"
"IS","68.559"
"IL","51.013"
"IT","34.121"
"JM","58.509"
"JO","12.465"
"JP","50.45"
"KZ","65.53"
"KE","69.996"
"KG","55.108"
"KH","77.417"
"KR","49.98"
"KW","43.812"
"LA","79.633"
"LB","20.022"
"LR","52.384"
"LY","22.945"
"LC","51.35"
"LK","35.486"
"LS","69.001"
"LT","53.487"
"LU","37.394"
"LV","52.922"
"MO","55.112"
"MA","24.708"
"MD","49.691"
"MG","84.121"
"MV","31.779"
"MX","39.597"
"MK","41.775"
"ML","35.517"
"MT","28.758"
"MM","59.974"
"ME","43.608"
"MN","53.854"
"MZ","86.925"
"MR","30.041"
"MU","39.643"
"MW","75.993"
"MY","44.681"
"NA","47.771"
"NC","61.294"
"NE","67.862"
"NG","47.262"
"NI","35.133"
"NL","49.727"
"NO","59.849"
"NP","81.582"
"NZ","56.308"
"OM","22.016"
"PK","14.839"
"PA","43.689"
"PE","55.532"
"PH","46.982"
"PG","69.808"
"PL","49.36"
"PR","34.842"
"KP","76.946"
"PT","50.877"
"PY","53.574"
"PS","10.294"
"PF","48.434"
"QA","40.829"
"RO","59.541"
"RU","52.709"
"RW","85.732"
"SA","15.42"
"SD","28.017"
"SN","33.446"
"SG","51.421"
"SB","61.909"
"SL","63.6"
"SV","41.95"
"SO","19.12"
"RS","47.271"
"SS","70.858"
"ST","36.621"
"SR","34.724"
"SK","51.809"
"SI","52.541"
"SE","58.689"
"SZ","37.69"
"SY","18.816"
"TG","80.494"
"TH","67.633"
"TJ","46.517"
"TM","51.676"
"TL","41.306"
"TO","44.828"
"TT","46.847"
"TN","23.379"
"TR","28.603"
"TW","45.564"
"TZ","81.808"
"UG","63.522"
"UA","52.221"
"UY","50.283"
"US","58.614"
"UZ","51.3"
"VC","49.043"
"VE","45.841"
"VI","59.176"
"VN","72.874"
"VU","61.042"
"WS","25.274"
"YE","19.691"
"ZA","43.817"
"ZM","73.496"
"ZW","67.431"
