"local","ano","val"
"AFG",1990,"14,785"
"AFG",1991,"14,851"
"AFG",1992,"14,909"
"AFG",1993,"14,917"
"AFG",1994,"14,912"
"AFG",1995,"14,966"
"AFG",1996,"14,804"
"AFG",1997,"14,662"
"AFG",1998,"14,574"
"AFG",1999,"14,532"
"AFG",2000,"14,509"
"AFG",2001,"14,816"
"AFG",2002,"15,177"
"AFG",2003,"15,533"
"AFG",2004,"15,847"
"AFG",2005,"16,111"
"AFG",2006,"15,655"
"AFG",2007,"15,221"
"AFG",2008,"14,877"
"AFG",2009,"14,694"
"AFG",2010,"14,709"
"AFG",2011,"15,258"
"AFG",2012,"15,992"
"AFG",2013,"16,859"
"AFG",2014,"17,786"
"AFG",2015,"18,717"
"AFG",2016,"19,419"
"AFG",2017,"19,473"
"AFG",2018,"19,525"
"AFG",2019,"19,574"
"AFG",2020,"19,62"
"AFG",2021,"19,665"
"AFG",2022,"19,708"
"AFG",2023,"19,746"
"AFG",2024,"19,78"
"AFG",2025,"19,81"
"AFG",2026,"19,839"
"AFG",2027,"19,864"
"AFG",2028,"19,885"
"AFG",2029,"19,902"
"AFG",2030,"19,916"
"AGO",1990,"75,151"
"AGO",1991,"75,106"
"AGO",1992,"74,994"
"AGO",1993,"74,762"
"AGO",1994,"74,691"
"AGO",1995,"74,664"
"AGO",1996,"74,7"
"AGO",1997,"74,724"
"AGO",1998,"74,742"
"AGO",1999,"74,74"
"AGO",2000,"74,732"
"AGO",2001,"74,76"
"AGO",2002,"74,722"
"AGO",2003,"74,735"
"AGO",2004,"74,776"
"AGO",2005,"74,854"
"AGO",2006,"74,986"
"AGO",2007,"75,115"
"AGO",2008,"75,205"
"AGO",2009,"75,245"
"AGO",2010,"75,283"
"AGO",2011,"75,343"
"AGO",2012,"75,393"
"AGO",2013,"75,432"
"AGO",2014,"75,436"
"AGO",2015,"75,402"
"AGO",2016,"75,334"
"AGO",2017,"75,324"
"AGO",2018,"75,307"
"AGO",2019,"75,287"
"AGO",2020,"75,27"
"AGO",2021,"75,251"
"AGO",2022,"75,235"
"AGO",2023,"75,229"
"AGO",2024,"75,24"
"AGO",2025,"75,272"
"AGO",2026,"75,321"
"AGO",2027,"75,389"
"AGO",2028,"75,47"
"AGO",2029,"75,56"
"AGO",2030,"75,654"
"ALB",1990,"53,59"
"ALB",1991,"55,781"
"ALB",1992,"56,097"
"ALB",1993,"55,281"
"ALB",1994,"54,535"
"ALB",1995,"53,502"
"ALB",1996,"52,907"
"ALB",1997,"53,561"
"ALB",1998,"52,978"
"ALB",1999,"52,165"
"ALB",2000,"51,718"
"ALB",2001,"51,095"
"ALB",2002,"50,679"
"ALB",2003,"49,759"
"ALB",2004,"48,878"
"ALB",2005,"48,051"
"ALB",2006,"47,389"
"ALB",2007,"46,803"
"ALB",2008,"46,269"
"ALB",2009,"44,945"
"ALB",2010,"45,693"
"ALB",2011,"47,104"
"ALB",2012,"48,806"
"ALB",2013,"44,65"
"ALB",2014,"44,789"
"ALB",2015,"47,676"
"ALB",2016,"47,439"
"ALB",2017,"47,218"
"ALB",2018,"47,035"
"ALB",2019,"46,869"
"ALB",2020,"46,703"
"ALB",2021,"46,595"
"ALB",2022,"46,501"
"ALB",2023,"46,393"
"ALB",2024,"46,236"
"ALB",2025,"46,008"
"ALB",2026,"45,771"
"ALB",2027,"45,467"
"ALB",2028,"45,113"
"ALB",2029,"44,739"
"ALB",2030,"44,366"
"ARE",1990,"29,18"
"ARE",1991,"29,421"
"ARE",1992,"29,815"
"ARE",1993,"30,214"
"ARE",1994,"30,755"
"ARE",1995,"31,258"
"ARE",1996,"31,557"
"ARE",1997,"31,961"
"ARE",1998,"32,489"
"ARE",1999,"33,101"
"ARE",2000,"33,718"
"ARE",2001,"34,068"
"ARE",2002,"34,619"
"ARE",2003,"35,355"
"ARE",2004,"36,232"
"ARE",2005,"37,173"
"ARE",2006,"38,562"
"ARE",2007,"40,109"
"ARE",2008,"41,776"
"ARE",2009,"42,558"
"ARE",2010,"42,916"
"ARE",2011,"42,668"
"ARE",2012,"42,531"
"ARE",2013,"42,345"
"ARE",2014,"42,077"
"ARE",2015,"41,793"
"ARE",2016,"41,251"
"ARE",2017,"40,907"
"ARE",2018,"40,612"
"ARE",2019,"40,349"
"ARE",2020,"40,091"
"ARE",2021,"39,593"
"ARE",2022,"39,134"
"ARE",2023,"38,735"
"ARE",2024,"38,407"
"ARE",2025,"38,14"
"ARE",2026,"37,714"
"ARE",2027,"37,367"
"ARE",2028,"37,103"
"ARE",2029,"36,915"
"ARE",2030,"36,781"
"ARG",1990,"44,313"
"ARG",1991,"45,03"
"ARG",1992,"45,843"
"ARG",1993,"46,359"
"ARG",1994,"46,907"
"ARG",1995,"46,848"
"ARG",1996,"47,41"
"ARG",1997,"48,188"
"ARG",1998,"48,701"
"ARG",1999,"48,708"
"ARG",2000,"48,91"
"ARG",2001,"48,905"
"ARG",2002,"48,366"
"ARG",2003,"49,205"
"ARG",2004,"50,06"
"ARG",2005,"49,42"
"ARG",2006,"49,938"
"ARG",2007,"49,018"
"ARG",2008,"48,119"
"ARG",2009,"48,823"
"ARG",2010,"46,379"
"ARG",2011,"48,102"
"ARG",2012,"48,188"
"ARG",2013,"47,79"
"ARG",2014,"47,157"
"ARG",2015,"47,453"
"ARG",2016,"47,43"
"ARG",2017,"47,332"
"ARG",2018,"47,223"
"ARG",2019,"47,111"
"ARG",2020,"47,002"
"ARG",2021,"46,906"
"ARG",2022,"46,816"
"ARG",2023,"46,73"
"ARG",2024,"46,641"
"ARG",2025,"46,543"
"ARG",2026,"46,454"
"ARG",2027,"46,361"
"ARG",2028,"46,263"
"ARG",2029,"46,161"
"ARG",2030,"46,052"
"ARM",1990,"48,961"
"ARM",1991,"49,007"
"ARM",1992,"49,003"
"ARM",1993,"48,954"
"ARM",1994,"48,867"
"ARM",1995,"48,746"
"ARM",1996,"48,614"
"ARM",1997,"48,482"
"ARM",1998,"48,345"
"ARM",1999,"48,194"
"ARM",2000,"48,025"
"ARM",2001,"47,891"
"ARM",2002,"47,739"
"ARM",2003,"47,598"
"ARM",2004,"47,515"
"ARM",2005,"47,516"
"ARM",2006,"47,569"
"ARM",2007,"47,702"
