,economia_20
"AF","51.68"
"AO","78.22"
"AL","65.451"
"AE","73.645"
"AR","60.128"
"AM","58.993"
"AU","62.968"
"AT","56.886"
"AZ","61.723"
"BI","89.611"
"BE","49.389"
"BJ","72.484"
"BF","82.615"
"BD","56.454"
"BG","57.772"
"BH","64.609"
"BS","73.629"
"BA","51.511"
"BY","59.315"
"BZ","58.623"
"BO","68.714"
"BR","62.764"
"BB","68.453"
"BN","65.376"
"BT","63.802"
"BW","62.116"
"CF","72.171"
"CA","65.349"
"TD","72.284"
"CH","68.26"
"CL","54.967"
"CN","78.983"
"CI","67.411"
"CM","77.714"
"CD","71.995"
"CG","68.134"
"CO","54.199"
"KM","42.817"
"CV","61.988"
"CR","57.351"
"CU","50.488"
"CY","60.109"
"CZ","61.294"
"DE","59.01"
"DJ","63.234"
"DK","67.077"
"DO","63.975"
"DZ","44.525"
"EC","64.156"
"EG","46.622"
"ER","82.776"
"EH","52.42"
"ES","49.858"
"EE","62.692"
"ET","78.029"
"FI","62.285"
"FJ","59.995"
"FR","55.33"
"GA","47.152"
"GB","61.727"
"GE","66.962"
"GH","75.367"
"GN","65.736"
"GM","57.676"
"GW","73.393"
"GQ","61.292"
"GR","50.642"
"GT","62.134"
"GU","71.64"
"GY","59.911"
"HK","62.728"
"HN","65.892"
"HR","57.109"
"HT","66.872"
"HU","54.392"
"ID","65.094"
"IN","60.644"
"IE","52.298"
"IR","45.132"
"IQ","42.143"
"IS","75.205"
"IL","59.586"
"IT","48.772"
"JM","69.274"
"JO","41.115"
"JP","64.197"
"KZ","71.182"
"KE","73.389"
"KG","63.111"
"KH","80.445"
"KR","60.503"
"KW","65.043"
"LA","81.196"
"LB","43.925"
"LR","56.86"
"LY","48.9"
"LC","62.852"
"LK","57.412"
"LS","75.276"
"LT","62.236"
"LU","52.695"
"LV","60.951"
"MO","58.334"
"MA","51.184"
"MD","50.207"
"MG","86.596"
"MV","49.955"
"MX","59.313"
"MK","55.266"
"ML","50.545"
"MT","50.147"
"MM","73.14"
"ME","53.006"
"MN","58.613"
"MZ","84.332"
"MR","52.147"
"MU","59.9"
"MW","77.202"
"MY","62.196"
"NA","56.537"
"NC","65.223"
"NE","78.582"
"NG","56.261"
"NI","59.8"
"NL","57.241"
"NO","61.845"
"NP","85.687"
"NZ","62.961"
"OM","58.327"
"PK","50.511"
"PA","59.914"
"PE","59.825"
"PH","62.663"
"PG","71.56"
"PL","61.47"
"PR","45.482"
"KP","82.774"
"PT","59.163"
"PY","68.929"
"PS","39.373"
"PF","59.622"
"QA","79.368"
"RO","69.029"
"RU","66.526"
"RW","89.181"
"SA","53.343"
"SD","50.457"
"SN","53.49"
"SG","63.854"
"SB","70.741"
"SL","64.945"
"SV","61.125"
"SO","48.601"
"RS","57.661"
"SS","74.288"
"ST","55.081"
"SR","49.578"
"SK","64.278"
"SI","58.679"
"SE","65.464"
"SZ","54.172"
"SY","53.087"
"TG","82.361"
"TH","75.115"
"TJ","57.537"
"TM","62.274"
"TL","63.397"
"TO","58.148"
"TT","57.028"
"TN","48.636"
"TR","55.437"
"TW","59.503"
"TZ","83.562"
"UG","69.854"
"UA","59.783"
"UY","61.231"
"US","65.331"
"UZ","62.292"
"VC","63.011"
"VE","62.229"
"VI","65.848"
"VN","77.657"
"VU","70.399"
"WS","34.663"
"YE","44.718"
"ZA","53.519"
"ZM","79.591"
"ZW","74.578"
