;economia_20
"AF";"53.907"
"AO";"77.762"
"AL";"56.451"
"AE";"81.279"
"AR";"60"
"AM";"59.804"
"AU";"65.049"
"AT";"60.1"
"AZ";"65.515"
"BI";"78.512"
"BE";"53.445"
"BJ";"70.787"
"BF";"66.669"
"BD";"56.53"
"BG";"54.18"
"BH";"71.641"
"BS";"75.726"
"BA";"46.744"
"BY";"64.259"
"BZ";"66.432"
"BO";"67.047"
"BR";"64.099"
"BB";"65.67"
"BN";"67.577"
"BT";"66.606"
"BW";"71.498"
"CF";"71.658"
"CA";"65.544"
"TD";"71.249"
"CH";"68.212"
"CL";"62.265"
"CN";"69.732"
"CI";"57.88"
"CM";"76.193"
"CD";"72.432"
"CG";"69.785"
"CO";"70.583"
"KM";"42.828"
"CV";"59.955"
"CR";"62.17"
"CU";"54.688"
"CY";"62.638"
"CZ";"59.62"
"DE";"60.28"
"DJ";"58.972"
"DK";"62.024"
"DO";"66.693"
"DZ";"41.476"
"EC";"66.562"
"EG";"47.968"
"ER";"81.426"
"EH";"55.848"
"ES";"58.342"
"EE";"62.197"
"ET";"82.606"
"FI";"58.826"
"FJ";"58.49"
"FR";"55.578"
"GA";"50.886"
"GB";"62.24"
"GE";"68.12"
"GH";"76.717"
"GN";"64.37"
"GM";"59.256"
"GW";"71.481"
"GQ";"59.571"
"GR";"53.087"
"GT";"61.47"
"GU";"65.426"
"GY";"57.457"
"HK";"60.829"
"HN";"67.853"
"HR";"52.89"
"HT";"67.553"
"HU";"54.813"
"ID";"65.819"
"IN";"53.949"
"IE";"60.235"
"IR";"42.796"
"IQ";"46.586"
"IS";"77.019"
"IL";"64.131"
"IT";"48.366"
"JM";"66.83"
"JO";"39.146"
"JP";"59.99"
"KZ";"70.918"
"KE";"65.586"
"KG";"62.411"
"KH";"84.494"
"KR";"62.459"
"KW";"70.464"
"LA";"78.164"
"LB";"46.914"
"LR";"55.826"
"LY";"52.401"
"LC";"68.008"
"LK";"53.875"
"LS";"66.191"
"LT";"59.265"
"LU";"59.363"
"LV";"60.243"
"MO";"71.606"
"MA";"49.081"
"MD";"44.103"
"MG";"86.537"
"MV";"66.189"
"MX";"61.353"
"MK";"55.516"
"ML";"71.255"
"MT";"54.196"
"MM";"65.649"
"ME";"48.881"
"MN";"60.337"
"MZ";"78.99"
"MR";"49.387"
"MU";"59.659"
"MW";"77.054"
"MY";"64.318"
"NA";"61.008"
"NC";"62.939"
"NE";"78.983"
"NG";"55.099"
"NI";"66.239"
"NL";"64.069"
"NO";"64.89"
"NP";"84.13"
"NZ";"68.332"
"OM";"69.599"
"PK";"53.163"
"PA";"66.495"
"PE";"76.069"
"PH";"62.353"
"PG";"70.012"
"PL";"56.681"
"PR";"41.712"
"KP";"80.509"
"PT";"58.632"
"PY";"69.573"
"PS";"45.402"
"PF";"55.379"
"QA";"87.56"
"RO";"54.318"
"RU";"63.658"
"RW";"86.416"
"SA";"55.632"
"SD";"46.694"
"SN";"56.934"
"SG";"68.9"
"SB";"71.559"
"SL";"58.197"
"SV";"61.418"
"SO";"46.035"
"RS";"52.009"
"SS";"72.413"
"ST";"58.211"
"SR";"53.59"
"SK";"59.601"
"SI";"57.367"
"SE";"63.943"
"SZ";"53.759"
"SY";"41.586"
"TG";"77.825"
"TH";"69.069"
"TJ";"59.19"
"TM";"65.436"
"TL";"39.22"
"TO";"59.52"
"TT";"62.726"
"TN";"47.206"
"TR";"51.007"
"TW";"58.866"
"TZ";"83.367"
"UG";"70.72"
"UA";"54.57"
"UY";"64.948"
"US";"62.014"
"UZ";"65.377"
"VC";"69.514"
"VE";"64.283"
"VI";"61.175"
"VN";"78.499"
"VU";"70.59"
"WS";"31.982"
"YE";"37.569"
"ZA";"54.648"
"ZM";"74.943"
"ZW";"83.241"
