"ref_area";"time";"obs_value"
"AFG";1990;51,392
"AFG";1991;51,531
"AFG";1992;51,68
"AFG";1993;51,786
"AFG";1994;51,843
"AFG";1995;51,884
"AFG";1996;51,807
"AFG";1997;51,714
"AFG";1998;51,646
"AFG";1999;51,623
"AFG";2000;51,642
"AFG";2001;51,921
"AFG";2002;52,249
"AFG";2003;52,567
"AFG";2004;52,827
"AFG";2005;53,013
"AFG";2006;52,671
"AFG";2007;52,311
"AFG";2008;51,985
"AFG";2009;51,755
"AFG";2010;51,654
"AFG";2011;51,949
"AFG";2012;52,361
"AFG";2013;52,856
"AFG";2014;53,383
"AFG";2015;53,907
"AFG";2016;54,234
"AFG";2017;54,238
"AFG";2018;54,242
"AFG";2019;54,246
"AFG";2020;54,252
"AFG";2021;54,265
"AFG";2022;54,279
"AFG";2023;54,295
"AFG";2024;54,319
"AFG";2025;54,352
"AFG";2026;54,392
"AFG";2027;54,441
"AFG";2028;54,491
"AFG";2029;54,533
"AFG";2030;54,562
"AGO";1990;78,261
"AGO";1991;78,279
"AGO";1992;78,22
"AGO";1993;78,152
"AGO";1994;78,007
"AGO";1995;77,854
"AGO";1996;77,847
"AGO";1997;77,825
"AGO";1998;77,785
"AGO";1999;77,732
"AGO";2000;77,668
"AGO";2001;77,699
"AGO";2002;77,721
"AGO";2003;77,698
"AGO";2004;77,662
"AGO";2005;77,614
"AGO";2006;77,67
"AGO";2007;77,691
"AGO";2008;77,715
"AGO";2009;77,758
"AGO";2010;77,784
"AGO";2011;77,864
"AGO";2012;77,899
"AGO";2013;77,89
"AGO";2014;77,846
"AGO";2015;77,762
"AGO";2016;77,676
"AGO";2017;77,629
"AGO";2018;77,573
"AGO";2019;77,514
"AGO";2020;77,455
"AGO";2021;77,397
"AGO";2022;77,34
"AGO";2023;77,292
"AGO";2024;77,262
"AGO";2025;77,255
"AGO";2026;77,266
"AGO";2027;77,297
"AGO";2028;77,342
"AGO";2029;77,397
"AGO";2030;77,459
"ALB";1990;64,222
"ALB";1991;65,423
"ALB";1992;65,451
"ALB";1993;64,811
"ALB";1994;64,142
"ALB";1995;63,241
"ALB";1996;62,968
"ALB";1997;63,617
"ALB";1998;63,397
"ALB";1999;62,951
"ALB";2000;62,701
"ALB";2001;62,125
"ALB";2002;61,663
"ALB";2003;60,384
"ALB";2004;59,119
"ALB";2005;57,903
"ALB";2006;56,863
"ALB";2007;55,922
"ALB";2008;55,056
"ALB";2009;54,534
"ALB";2010;54,271
"ALB";2011;55,715
"ALB";2012;57,444
"ALB";2013;53,652
"ALB";2014;54,358
"ALB";2015;56,451
"ALB";2016;56,278
"ALB";2017;56,07
"ALB";2018;55,885
"ALB";2019;55,702
"ALB";2020;55,502
"ALB";2021;55,325
"ALB";2022;55,143
"ALB";2023;54,933
"ALB";2024;54,665
"ALB";2025;54,322
"ALB";2026;53,945
"ALB";2027;53,494
"ALB";2028;52,99
"ALB";2029;52,474
"ALB";2030;51,976
"ARE";1990;73,134
"ARE";1991;73,275
"ARE";1992;73,645
"ARE";1993;74,206
"ARE";1994;74,695
"ARE";1995;75,147
"ARE";1996;74,707
"ARE";1997;74,561
"ARE";1998;74,784
"ARE";1999;75,281
"ARE";2000;75,874
"ARE";2001;75,405
"ARE";2002;75,464
"ARE";2003;76,022
"ARE";2004;77,053
"ARE";2005;78,391
"ARE";2006;78,571
"ARE";2007;79,307
"ARE";2008;80,293
"ARE";2009;81,207
"ARE";2010;82,239
"ARE";2011;82,022
"ARE";2012;81,746
"ARE";2013;81,492
"ARE";2014;81,337
"ARE";2015;81,279
"ARE";2016;80,376
"ARE";2017;79,654
"ARE";2018;79,146
"ARE";2019;78,818
"ARE";2020;78,592
"ARE";2021;77,616
"ARE";2022;76,777
"ARE";2023;76,117
"ARE";2024;75,646
"ARE";2025;75,316
"ARE";2026;74,416
"ARE";2027;73,642
"ARE";2028;73,036
"ARE";2029;72,617
"ARE";2030;72,346
"ARG";1990;59,375
"ARG";1991;59,733
"ARG";1992;60,128
"ARG";1993;60,321
"ARG";1994;60,566
"ARG";1995;60,451
"ARG";1996;60,74
"ARG";1997;61,201
"ARG";1998;61,516
"ARG";1999;61,532
"ARG";2000;61,672
"ARG";2001;61,651
"ARG";2002;61,293
"ARG";2003;61,829
"ARG";2004;62,367
"ARG";2005;62,05
"ARG";2006;62,336
"ARG";2007;61,594
"ARG";2008;60,858
"ARG";2009;61,236
"ARG";2010;59,718
"ARG";2011;60,838
"ARG";2012;60,692
"ARG";2013;60,403
"ARG";2014;59,861
"ARG";2015;60
"ARG";2016;59,964
"ARG";2017;59,848
"ARG";2018;59,724
"ARG";2019;59,601
"ARG";2020;59,483
"ARG";2021;59,362
"ARG";2022;59,251
"ARG";2023;59,146
"ARG";2024;59,04
"ARG";2025;58,928
"ARG";2026;58,809
"ARG";2027;58,69
"ARG";2028;58,569
"ARG";2029;58,448
"ARG";2030;58,326
"ARM";1990;59,167
"ARM";1991;59,129
"ARM";1992;58,993
"ARM";1993;58,771
"ARM";1994;58,485
"ARM";1995;58,152
"ARM";1996;57,804
"ARM";1997;57,462
"ARM";1998;57,124
"ARM";1999;56,783
"ARM";2000;56,438
"ARM";2001;56,241
"ARM";2002;56,05
"ARM";2003;55,897
"ARM";2004;55,832
"ARM";2005;55,88
"ARM";2006;56,022
"ARM";2007;56,26
"ARM";2008;56,353
"ARM";2009;57,106
"ARM";2010;59,573
"ARM";2011;60,616
"ARM";2012;60,375
"ARM";2013;60,771
"ARM";2014;60,504
"ARM";2015;59,804
"ARM";2016;59,901
"ARM";2017;60,139
