,indicadoressociais_12
"AW",""
"AF","30.1"
"AO","51.8"
"AL","10.8"
"AD",""
"AE","4.9"
"AR","4.4"
"AM","6.1"
"AS",""
"AG",""
"AU","2.5"
"AT","2.5"
"AZ","3.7"
"BI",""
"BE","2.5"
"BJ","14.3"
"BF","24.2"
"BD","16.3"
"BG","6.3"
"BH",""
"BS",""
"BA","2.9"
"BY","2.5"
"BZ","4.9"
"BM",""
"BO","28.7"
"BR","3.9"
"BB","5.6"
"BN","2.5"
"BT",""
"BW","32.2"
"CF","37.6"
"CA","2.5"
"CH","2.5"
"CL","3.8"
"CN","14.8"
"CI","20"
"CM","18.2"
"CD",""
"CG","41.6"
"CO","9.6"
"KM",""
"CV","13.9"
"CR","5.1"
"CU","2.5"
"CW",""
"KY",""
"CY","5.6"
"CZ","2.5"
"DE","2.5"
"DJ","28.6"
"DM","5.6"
"DK","2.5"
"DO","21.9"
"DZ","8.4"
"EC","16.2"
"EG","5.1"
"ER",""
"ES","2.5"
"EE","3.7"
"ET","38.5"
"FI","2.5"
"FJ","4.2"
"FR","2.5"
"FO",""
"FM",""
"GA","11"
"GB","2.5"
"GE","7"
"GH","8.3"
"GI",""
"GN","20.2"
"GM","14.5"
"GW","24.1"
"GQ",""
"GR","2.5"
"GD",""
"GL",""
"GT","15.8"
"GU",""
"GY","10"
"HK","2.5"
"HN","16.3"
"HR","2.5"
"HT","55.9"
"HU","2.5"
"ID","18.3"
"IM",""
"IN","20.7"
"IE","2.5"
"IR","6.4"
"IQ","29.3"
"IS","2.5"
"IL","2.5"
"IT","2.5"
"JM","7.3"
"JO","6.8"
"JP","2.5"
"KZ","5.2"
"KE","26.4"
"KG","10.1"
"KH","19.2"
"KI","4.6"
"KN",""
"KR","2.5"
"KW","2.5"
"LA","25.9"
"LB","3.4"
"LR","39"
"LY",""
"LC",""
"LI",""
"LK","17.4"
"LS","11.7"
"LT","2.5"
"LU","2.5"
"LV","2.5"
"MO","14"
"MF",""
"MA","5.6"
"MC",""
"MD",""
"MG","33.5"
"MV","18.1"
"MX","5"
"MH",""
"MK","5.3"
"ML","9.8"
"MT","2.5"
"MM","28.5"
"ME","2.5"
"MN","29.1"
"MP",""
"MZ","35.9"
"MR","11.5"
"MU","5.2"
"MW","24.5"
"MY","4.1"
"NA","26.7"
"NC","8.2"
"NE","14.4"
"NG","6.1"
"NI","23.4"
"NL","2.5"
"NO","2.5"
"NP","15.2"
"NR",""
"NZ","2.5"
"OM","9.5"
"PK","22.4"
"PA","21"
"PE","17.6"
"PH","15.2"
"PW",""
"PG",""
"PL","2.5"
"PR",""
"KP","37.3"
"PT","2.5"
"PY","12.4"
"PS",""
"PF","4"
"QA",""
"RO","2.5"
"RU","2.5"
"RW","44"
"SA","7.7"
"SD",""
"SN","19.2"
"SG",""
"SB","11.4"
"SL","34.6"
"SV","10.8"
"SM",""
"SO",""
"RS","6"
"SS",""
"ST","9.4"
"SR","10.3"
"SK","6.1"
"SI","2.5"
"SE","2.5"
"SZ","19.1"
"SX",""
"SC",""
"SY",""
"TC",""
"TD","39.8"
"TG","24.9"
"TH","11"
"TJ",""
"TM","4.6"
"TL","31.5"
"TO",""
"TT","11.3"
"TN","5.5"
"TR","2.5"
"TV",""
"TZ","33.4"
"UG","25.8"
"UA","2.5"
"UY","4"
"US","2.5"
"UZ","12.4"
"VC","8.4"
"VE","8.4"
"VG",""
"VI",""
"VN","17.6"
"VU","6.6"
"WS","3.5"
"YE","28.9"
"ZA","4.5"
"ZM","52.6"
"ZW","42.1"
