;indicadoressociais_12
"AW";""
"AF";"23.4"
"AO";"35.1"
"AL";"6"
"AD";""
"AE";"5.1"
"AR";"3.7"
"AM";"5.1"
"AS";""
"AG";""
"AU";"2.5"
"AT";"2.5"
"AZ";"2.5"
"BI";""
"BE";"2.5"
"BJ";"10.8"
"BF";"20.3"
"BD";"17"
"BG";"5"
"BH";""
"BS";""
"BA";"2.5"
"BY";"2.5"
"BZ";"6.3"
"BM";""
"BO";"22.9"
"BR";"2.5"
"BB";"4.7"
"BN";"2.8"
"BT";""
"BW";"25.2"
"CF";"38.6"
"CA";"2.5"
"CH";"2.5"
"CL";"3.8"
"CN";"10.4"
"CI";"21.5"
"CM";"8.7"
"CD";""
"CG";"39.2"
"CO";"10"
"KM";""
"CV";"14.7"
"CR";"5.4"
"CU";"2.5"
"CW";""
"KY";""
"CY";"4.3"
"CZ";"2.5"
"DE";"2.5"
"DJ";"20.2"
"DM";"5.9"
"DK";"2.5"
"DO";"13.4"
"DZ";"5"
"EC";"8.3"
"EG";"4.4"
"ER";""
"ES";"2.5"
"EE";"2.9"
"ET";"29"
"FI";"2.5"
"FJ";"4.4"
"FR";"2.5"
"FO";""
"FM";""
"GA";"9.4"
"GB";"2.5"
"GE";"8"
"GH";"5.9"
"GI";""
"GN";"16.9"
"GM";"9.4"
"GW";"22.8"
"GQ";""
"GR";"2.5"
"GD";""
"GL";""
"GT";"16.4"
"GU";""
"GY";"9.5"
"HK";"2.5"
"HN";"15.3"
"HR";"2.5"
"HT";"49.6"
"HU";"2.5"
"ID";"8.5"
"IM";""
"IN";"17.2"
"IE";"2.5"
"IR";"5.6"
"IQ";"26.8"
"IS";"2.5"
"IL";"2.5"
"IT";"2.5"
"JM";"9.2"
"JO";"9.5"
"JP";"2.5"
"KZ";"2.5"
"KE";"21.6"
"KG";"7.3"
"KH";"18.8"
"KI";"3.1"
"KN";""
"KR";"2.5"
"KW";"2.5"
"LA";"18.7"
"LB";"7.6"
"LR";"37.2"
"LY";""
"LC";""
"LI";""
"LK";"12.3"
"LS";"13.3"
"LT";"2.5"
"LU";"2.5"
"LV";"2.5"
"MO";"12.6"
"MF";""
"MA";"4.6"
"MC";""
"MD";""
"MG";"33.3"
"MV";"11"
"MX";"4.6"
"MH";""
"MK";"4.6"
"ML";"6.4"
"MT";"2.5"
"MM";"13.9"
"ME";"2.5"
"MN";"18.6"
"MP";""
"MZ";"28.6"
"MR";"7.2"
"MU";"5.4"
"MW";"21.7"
"MY";"3.4"
"NA";"33.5"
"NC";"7.3"
"NE";"10.6"
"NG";"6.7"
"NI";"19"
"NL";"2.5"
"NO";"2.5"
"NP";"9.2"
"NR";""
"NZ";"2.5"
"OM";"5.1"
"PK";"21"
"PA";"10.5"
"PE";"9.5"
"PH";"14.1"
"PW";""
"PG";""
"PL";"2.5"
"PR";""
"KP";"41.6"
"PT";"2.5"
"PY";"12"
"PS";""
"PF";"4.1"
"QA";""
"RO";"2.5"
"RU";"2.5"
"RW";"32.3"
"SA";"5.7"
"SD";"25.4"
"SN";"12.7"
"SG";""
"SB";"12.1"
"SL";"24.5"
"SV";"12.3"
"SM";""
"SO";""
"RS";"6.1"
"SS";""
"ST";"14.8"
"SR";"8.2"
"SK";"3.9"
"SI";"2.5"
"SE";"2.5"
"SZ";"22.1"
"SX";""
"SC";""
"SY";""
"TC";""
"TD";"37.7"
"TG";"19.1"
"TH";"8.8"
"TJ";""
"TM";"4.9"
"TL";"26.8"
"TO";""
"TT";"7.5"
"TN";"4.5"
"TR";"2.5"
"TV";""
"TZ";"33"
"UG";"32.4"
"UA";"2.5"
"UY";"2.5"
"US";"2.5"
"UZ";"7.6"
"VC";"6.1"
"VE";"4.7"
"VG";""
"VI";""
"VN";"12.6"
"VU";"6.3"
"WS";"3.1"
"YE";"25.9"
"ZA";"4.5"
"ZM";"47.7"
"ZW";"41.9"
