;indicadoressociais_17
"AF"; "" 
"AX"; "" 
"AL"; "85.78606" 
"DZ"; "" 
"AS"; "" 
"AD"; "" 
"AO"; "" 
"AI"; "" 
"AG"; "" 
"AR"; "" 
"AM"; "" 
"AW"; "" 
"AU"; "" 
"AT"; "" 
"AZ"; "75.89412" 
"BS"; "" 
"BH"; "89.24182" 
"BD"; "65.98008" 
"BB"; "" 
"BY"; "98.40377" 
"BE"; "" 
"BZ"; "76.93712" 
"BJ"; "" 
"BM"; "" 
"BT"; "" 
"BO"; "" 
"BA"; "" 
"BW"; "" 
"BR"; "" 
"VG"; "" 
"BN"; "78.91429" 
"BG"; "" 
"BF"; "53.50909" 
"BI"; "71.1793" 
"KH"; "" 
"CM"; "" 
"CA"; "" 
"CV"; "69.28598" 
"KY"; "" 
"CF"; "" 
"TD"; "" 
"CL"; "" 
"CN"; "82.28763" 
"HK"; "" 
"MO"; "95.56871" 
"CO"; "90.84761" 
"KM"; "" 
"CG"; "" 
"CK"; "" 
"CR"; "" 
"CI"; "" 
"HR"; "" 
"CU"; "" 
"CW"; "" 
"CY"; "" 
"CZ"; "" 
"KP"; "" 
"CD"; "" 
"DK"; "" 
"DJ"; "" 
"DM"; "" 
"DO"; "" 
"EC"; "" 
"EG"; "" 
"SV"; "" 
"GQ"; "" 
"ER"; "" 
"EE"; "" 
"ET"; "" 
"FK"; "" 
"FJ"; "" 
"FI"; "" 
"FR"; "" 
"GF"; "" 
"PF"; "" 
"GA"; "" 
"GM"; "" 
"GE"; "90.54162" 
"DE"; "" 
"GH"; "69.78844" 
"GI"; "" 
"GR"; "" 
"GL"; "" 
"GD"; "99.84911" 
"GP"; "" 
"GU"; "" 
"GT"; "" 
"GG"; "" 
"GN"; "" 
"GW"; "" 
"GY"; "" 
"HT"; "" 
"VA"; "" 
"HN"; "" 
"HU"; "" 
"IS"; "" 
"IN"; "" 
"ID"; "78.95638" 
"IR"; "" 
"IQ"; "" 
"IE"; "" 
"IM"; "" 
"IL"; "" 
"IT"; "" 
"JM"; "" 
"JP"; "" 
"JE"; "" 
"JO"; "" 
"KZ"; "96.33911" 
"KE"; "" 
"KI"; "" 
"KW"; "" 
"KG"; "84.15587" 
"LA"; "65.46715" 
"LV"; "" 
"LB"; "64.20031" 
"LS"; "" 
"LR"; "" 
"LY"; "" 
"LI"; "" 
"LT"; "" 
"LU"; "" 
"MG"; "" 
"MW"; "" 
"MY"; "77.30649" 
"MV"; "" 
"ML"; "" 
"MT"; "" 
"MH"; "" 
"MQ"; "" 
"MR"; "50.14191" 
"MU"; "81.55549" 
"YT"; "" 
"MX"; "" 
"FM"; "" 
"MC"; "" 
"MN"; "" 
"ME"; "82.87557" 
"MS"; "" 
"MA"; "79.42065" 
"MZ"; "61.82221" 
"MM"; "64.28465" 
"NA"; "" 
"NR"; "" 
"NP"; "71.84662" 
"NL"; "" 
"NC"; "" 
"NZ"; "" 
"NI"; "" 
"NE"; "42.62498" 
"NG"; "" 
"NU"; "" 
"NF"; "" 
"MP"; "" 
"NO"; "" 
"OM"; "" 
"PK"; "52.16255" 
"PW"; "" 
"PS"; "76.14691" 
"PA"; "" 
"PG"; "" 
"PY"; "" 
"PE"; "" 
"PH"; "" 
"PN"; "" 
"PL"; "" 
"PT"; "" 
"PR"; "" 
"QA"; "62.23462" 
"KR"; "" 
"MD"; "71.44645" 
"RE"; "" 
"RO"; "" 
"RU"; "" 
"RW"; "71.04573" 
"SH"; "" 
"KN"; "" 
"LC"; "" 
"PM"; "" 
"VC"; "" 
"WS"; "" 
"SM"; "" 
"ST"; "" 
"SA"; "" 
"SN"; "53.02587" 
"RS"; "87.32063" 
"SC"; "" 
"SL"; "" 
"SG"; "" 
"SX"; "" 
"SK"; "" 
"SI"; "" 
"SB"; "" 
"SO"; "" 
"ZA"; "" 
"SS"; "" 
"ES"; "" 
"LK"; "78.80699" 
"SD"; "" 
"SR"; "" 
"SJ"; "" 
"SE"; "" 
"CH"; "" 
"SY"; "" 
"TJ"; "" 
"TH"; "" 
"MK"; "" 
"TL"; "" 
"TG"; "75.28506" 
"TK"; "" 
"TO"; "" 
"TT"; "" 
"TN"; "" 
"TR"; "" 
"TM"; "" 
"TC"; "" 
"TV"; "" 
"UG"; "" 
"UA"; "" 
"AE"; "" 
"GB"; "" 
"TZ"; "" 
"US"; "" 
"VI"; "" 
"UY"; "" 
"UZ"; "68.54121" 
"VU"; "" 
"VE"; "" 
"VN"; "" 
"WF"; "" 
"EH"; "" 
"YE"; "" 
"ZM"; "" 
"ZW"; "" 
"AQ";""
"BQ";""
"BV";""
"IO";""
"CX";""
"CC";""
"FO";""
"TF";""
"HM";""
"BL";""
"MF";""
"GS";""
"SZ";""
"TW";""
"UM";""
