;populacao_7
"BI"; "2.964" 
"KM"; "2.404" 
"DJ"; "1.751" 
"ER"; "3.137" 
"ET"; "2.85" 
"KE"; "2.729" 
"MG"; "3.02" 
"MW"; "2.73" 
"MU"; "0.613" 
"YT"; "3.391" 
"MZ"; "2.935" 
"RE"; "1.437" 
"RW"; "2.273" 
"SC"; "1.789" 
"SO"; "2.885" 
"SS"; "3.815" 
"UG"; "3.435" 
"TZ"; "2.849" 
"ZM"; "2.698" 
"ZW"; "1.141" 
"AO"; "3.467" 
"CM"; "2.63" 
"CF"; "1.894" 
"TD"; "3.758" 
"CG"; "2.842" 
"CD"; "3.021" 
"GQ"; "4.185" 
"GA"; "2.616" 
"ST"; "2.316" 
"DZ"; "1.306" 
"EG"; "1.875" 
"LY"; "1.568" 
"MA"; "1.126" 
"SD"; "2.521" 
"TN"; "0.815" 
"EH"; "6.627" 
"BW"; "1.424" 
"LS"; "0.847" 
"NA"; "1.353" 
"ZA"; "1.309" 
"SZ"; "0.82" 
"BJ"; "3.013" 
"BF"; "2.904" 
"CV"; "1.737" 
"CI"; "1.886" 
"GM"; "3.181" 
"GH"; "2.576" 
"GN"; "1.886" 
"GW"; "2.1" 
"LR"; "2.455" 
"ML"; "3.088" 
"MR"; "2.891" 
"NE"; "3.639" 
"NG"; "2.543" 
"SH"; "-3.585" 
"SN"; "2.591" 
"SL"; "4.297" 
"TG"; "2.681" 
"CN"; "0.59" 
"HK"; "0.487" 
"MO"; "2.401" 
"JP"; "0.125" 
"MN"; "1.048" 
"KR"; "0.55" 
"KZ"; "0.633" 
"KG"; "0.619" 
"TJ"; "1.954" 
"TM"; "1.029" 
"UZ"; "1.296" 
"AF"; "4.426" 
"BD"; "1.725" 
"BT"; "2.71" 
"IN"; "1.659" 
"IR"; "1.257" 
"MV"; "2.57" 
"NP"; "1.539" 
"PK"; "2.107" 
"LK"; "0.776" 
"BN"; "1.83" 
"KH"; "1.76" 
"ID"; "1.385" 
"LA"; "1.534" 
"MY"; "2.028" 
"MM"; "1.01" 
"PH"; "2.019" 
"SG"; "2.751" 
"TH"; "0.769" 
"TL"; "3.271" 
"VN"; "0.978" 
"AM"; "-0.584" 
"AZ"; "0.999" 
"BH"; "5.822" 
"CY"; "1.713" 
"GE"; "-1.023" 
"IQ"; "2.727" 
"IL"; "1.869" 
"JO"; "2.262" 
"KW"; "2.09" 
"LB"; "4.177" 
"OM"; "2.038" 
"QA"; "7.572" 
"SA"; "2.818" 
"PS"; "2.08" 
"SY"; "2.173" 
"TR"; "1.423" 
"AE"; "7.453" 
"YE"; "2.821" 
"BY"; "-0.638" 
"BG"; "-0.801" 
"CZ"; "-0.061" 
"HU"; "-0.265" 
"PL"; "-0.098" 
"MD"; "-0.208" 
"RO"; "-0.64" 
"RU"; "-0.383" 
"SK"; "-0.001" 
"UA"; "-0.814" 
"DK"; "0.299" 
"EE"; "-0.631" 
"FI"; "0.272" 
"IS"; "1.011" 
"IE"; "1.808" 
"IM"; "0.958" 
"LV"; "-1.141" 
"LT"; "-0.921" 
"NO"; "0.583" 
"SE"; "0.35" 
"GB"; "0.448" 
"AL"; "-0.276" 
"AD"; "3.748" 
"BA"; "0.079" 
"HR"; "-0.227" 
"GI"; "0.572" 
"GR"; "0.284" 
"VA"; "0.278" 
"IT"; "0.522" 
"MT"; "0.504" 
"ME"; "0.092" 
"PT"; "0.403" 
"SM"; "1.287" 
"RS"; "-0.583" 
"SI"; "0.078" 
"ES"; "1.479" 
"AT"; "0.452" 
"BE"; "0.509" 
"FR"; "0.538" 
"DE"; "0.045" 
"LI"; "0.922" 
"LU"; "0.973" 
"MC"; "1.044" 
"NL"; "0.546" 
"CH"; "0.667" 
"AI"; "2.646" 
"AG"; "1.312" 
"AW"; "1.923" 
"BS"; "2.001" 
"BB"; "0.307" 
"VG"; "2.309" 
"KY"; "3.079" 
"CU"; "0.238" 
"CW"; "-0.413" 
"DM"; "0.27" 
"DO"; "1.517" 
"GD"; "0.26" 
"GP"; "0.69" 
"HT"; "1.605" 
"JM"; "0.65" 
"MQ"; "0.512" 
"MS"; "-0.74" 
"PR"; "-0.167" 
"KN"; "1.375" 
"LC"; "0.844" 
"VC"; "0.157" 
"SX"; "0.44" 
"TT"; "0.452" 
"TC"; "6.747" 
"VI"; "-0.173" 
"BZ"; "2.716" 
"CR"; "1.579" 
"SV"; "0.542" 
"GT"; "2.339" 
"HN"; "2.447" 
"MX"; "1.285" 
"NI"; "1.356" 
"PA"; "1.889" 
"AR"; "1.096" 
"BO"; "1.801" 
"BR"; "1.285" 
"CL"; "1.126" 
"CO"; "1.378" 
"EC"; "1.68" 
"FK"; "0.419" 
"GF"; "4.451" 
"GY"; "-0.062" 
"PY"; "1.777" 
"PE"; "1.268" 
"SR"; "1.094" 
"UY"; "0.026" 
"VE"; "1.792" 
"BM"; "0.337" 
"CA"; "0.985" 
"GL"; "0.275" 
"PM"; "-0.038" 
"US"; "0.911" 
"AU"; "1.194" 
"NZ"; "1.383" 
"FJ"; "0.26" 
"NC"; "1.78" 
"PG"; "2.502" 
"SB"; "2.6" 
"VU"; "2.469" 
"FM"; "0.204" 
"GU"; "0.392" 
"KI"; "1.794" 
"MH"; "-0.04" 
"NR"; "0.145" 
"MP"; "-1.612" 
"PW"; "0.75" 
"AS"; "0.547" 
"CK"; "1.683" 
"PF"; "1.432" 
"NU"; "-2.39" 
"WS"; "0.599" 
"TK"; "-4.978" 
"TO"; "0.594" 
"TV"; "1.245" 
"WF"; "0.102" 
"AX";""
"AQ";""
"BQ";""
"BV";""
"IO";""
"CX";""
"CC";""
"FO";""
"TF";""
"GG";""
"HM";""
"JE";""
"KP";""
"MK";""
"NF";""
"PN";""
"BL";""
"MF";""
"GS";""
"SJ";""
"TW";""
"UM";""
