;redes_31
"AF";"5,00"
"AL";"49,00"
"DZ";"14,90"
"AS";"99999999999998"
"AD";"81,00"
"AO";"3,10"
"AI";"53,64"
"AG";"52,00"
"AR";"51,00"
"AM";"32,00"
"AW";"69,00"
"99999999999998";"36,00"
"AU";"79,49"
"AT";"78,74"
"AZ";"50,00"
"BS";"65,00"
"BH";"77,00"
"BD";"4,50"
"BB";"66,50"
"BY";"39,65"
"BE";"81,61"
"BZ";"30,70"
"BJ";"4,15"
"BM";"88,34"
"BT";"14,40"
"BO";"30,00"
"BA";"43,89"
"BW";"9,00"
"BR";"45,69"
"VG";"37,40"
"BN";"56,00"
"BG";"47,98"
"BF";"3,00"
"BI";"1,11"
"KH";"3,10"
"CM";"5,00"
"CA";"83,00"
"CV";"32,00"
"KY";"69,47"
"CF";"2,20"
"TD";"1,90"
"CL";"52,25"
"CN";"38,30"
"CO";"40,35"
"KM";"5,50"
"CD";"1,20"
"CG";"5,60"
"CK";"39,03"
"CR";"39,21"
"CI";"2,90"
"HR";"57,79"
"CU";"16,02"
"CY";"56,86"
"CZ";"70,49"
"KP";"0,00"
"DK";"89,81"
"DJ";"7,00"
"DM";"48,60"
"DO";"38,00"
"EC";"31,37"
"EG";"25,60"
"SV";"18,90"
"GQ";"11,50"
"ER";"0,70"
"EE";"76,50"
"ET";"1,10"
"FK";"96,38"
"FO";"80,73"
"FJ";"28,00"
"FI";"88,71"
"FR";"77,82"
"GF";"99999999999998"
"PF";"49,00"
"GA";"18,00"
"GM";"10,87"
"GE";"31,52"
"DE";"81,27"
"GH";"9,00"
"GI";"65,00"
"GR";"51,65"
"GL";"64,00"
"GD";"30,00"
"GP";"99999999999998"
"GU";"57,70"
"GT";"12,30"
"GG";"83,63"
"GN";"2,00"
"GW";"2,67"
"GY";"30,00"
"HT";"9,00"
"HN";"15,90"
"HK";"72,20"
"HU";"68,02"
"IS";"94,82"
"IN";"10,07"
"ID";"12,28"
"IR";"19,00"
"IQ";"5,00"
"IE";"74,89"
"IL";"68,87"
"IT";"54,39"
"JM";"37,44"
"JP";"79,05"
"JE";"36,00"
"JO";"34,90"
"KZ";"50,60"
"KE";"8,80"
"KI";"10,00"
"KR";"83,76"
"KW";"65,77"
"KG";"17,50"
"LA";"9,00"
"LV";"69,75"
"LB";"52,00"
"LS";"7,00"
"LR";"2,50"
"LY";"14,00"
"LI";"85,00"
"LT";"63,64"
"LU";"90,03"
"MO";"60,20"
"MG";"1,90"
"MW";"3,33"
"MY";"61,00"
"MV";"34,00"
"ML";"2,20"
"MT";"68,02"
"MH";"10,00"
"MQ";"99999999999998"
"MR";"4,50"
"MU";"34,95"
"YT";"99999999999998"
"MX";"37,18"
"FM";"22,80"
"MD";"38,00"
"MC";"80,30"
"MN";"12,50"
"ME";"35,61"
"MS";"54,55"
"MA";"46,11"
"MZ";"4,30"
"MM";"0,98"
"NA";"12,00"
"NR";"54,00"
"NP";"9,00"
"AN";"99999999999998"
"NL";"91,42"
"NC";"50,00"
"NZ";"81,23"
"NI";"10,60"
"NE";"1,30"
"NG";"13,80"
"NU";"79,56"
"MP";"99999999999998"
"NO";"93,49"
"OM";"48,00"
"PK";"9,00"
"PS";"41,08"
"PA";"42,70"
"PG";"2,00"
"PY";"24,76"
"PE";"36,01"
"PH";"29,00"
"PL";"61,95"
"PT";"55,25"
"PR";"48,00"
"QA";"69,00"
"RE";"99999999999998"
"RO";"40,01"
"RU";"49,00"
"RW";"7,00"
"ST";"20,16"
"WS";"11,00"
"SM";"49,60"
"SA";"47,50"
"SN";"9,80"
"RS";"42,20"
"SC";"43,16"
"SL";"0,90"
"SG";"71,00"
"SK";"74,44"
"SI";"67,34"
"SB";"6,00"
"SO";"1,25"
"ZA";"33,97"
"ES";"67,09"
"LK";"15,00"
"SH";"33,00"
"KN";"63,20"
"LC";"34,00"
"PM";"99999999999998"
"VC";"36,70"
"SD";"17,46"
"SR";"32,00"
"SZ";"18,13"
"SE";"92,77"
"CH";"85,19"
"SY";"22,50"
"TW";"72,00"
"TJ";"13,03"
"TZ";"3,20"
"MK";"56,70"
"TH";"23,67"
"TL";"4,00"
"TG";"3,50"
"TK";"99999999999998"
"TO";"25,00"
"TT";"55,20"
"TN";"39,10"
"TR";"43,07"
"TM";"5,00"
"TC";"99999999999998"
"TV";"30,00"
"UG";"13,01"
"UA";"28,71"
"AE";"78,00"
"GB";"85,38"
"US";"69,73"
"UY";"51,40"
"UZ";"18,60"
"VU";"9,20"
"VE";"40,22"
"VN";"35,07"
"VI";"35,60"
"WF";"8,68"
"YE";"14,90"
"ZM";"11,50"
"ZW";"8,40"
