;indicadoressociais_14
"AW";"95.90"
"AF";"37.28"
"AO";"39.02"
"AI";"94.82"
"AL";"87.90"
"AD";"100.00"
"AE";"99.64"
"AR";"99.24"
"AM";"96.75"
"AS";"98.80"
"AG";"97.67"
"AU";"99.80"
"AT";"100.00"
"AZ";"79.14"
"BI";"53.58"
"BE";"100.00"
"BJ";"62.44"
"BF";"48.80"
"BD";"95.60"
"BG";"99.66"
"BH";"99.95"
"BS";"98.14"
"BA";"96.72"
"BY";"97.91"
"BZ";"90.73"
"BM";"99.96"
"BO";"83.87"
"BR";"95.06"
"BB";"98.40"
"BN";"99999999999998"
"BT";"87.78"
"BW";"77.85"
"CF";"52.76"
"CA";"99.90"
"CH";"100.00"
"CL";"99999999999998"
"CL";"97.29"
"CN";"84.30"
"CI";"72.13"
"CM";"58.74"
"CD";"36.85"
"CG";"59.75"
"CK";"99.89"
"CO";"92.39"
"KM";"85.42"
"CV";"79.89"
"CR";"96.41"
"CU";"93.81"
"CW";"99999999999998"
"KY";"96.13"
"CY";"100.00"
"CZ";"99.83"
"DE";"100.00"
"DJ";"75.57"
"DM";"94.85"
"DK";"100.00"
"DO";"92.35"
"DZ";"91.18"
"EC";"86.32"
"EG";"98.28"
"ER";"17.38"
"ES";"100.00"
"EE";"99.30"
"ET";"24.02"
"FI";"100.00"
"FJ";"94.44"
"FK";"99999999999998"
"FR";"99.94"
"FO";"100.00"
"FM";"90.83"
"GA";"82.45"
"GB";"100.00"
"GE";"90.06"
"GH";"69.02"
"GI";"99.62"
"GN";"58.73"
"GP";"99.12"
"GM";"76.01"
"GW";"58.30"
"GQ";"48.98"
"GR";"99.66"
"GD";"94.47"
"GL";"100.00"
"GT";"88.29"
"GF";"93.21"
"GU";"99.52"
"GY";"90.40"
"HK";"99.16"
"HN";"85.73"
"HR";"98.89"
"HT";"59.49"
"HU";"99.97"
"ID";"79.79"
"IM";"99999999999998"
"IN";"82.88"
"IE";"97.09"
"IR";"95.22"
"IQ";"78.89"
"IS";"100.00"
"IL";"100.00"
"IT";"100.00"
"JM";"91.55"
"JO";"99.24"
"JP";"98.52"
"KZ";"87.88"
"KE";"50.59"
"KG";"82.33"
"KH";"59.90"
"KI";"62.25"
"KN";"98.63"
"KR";"98.53"
"KW";"100.00"
"LA";"58.07"
"LB";"87.68"
"LR";"64.52"
"LY";"99999999999998"
"LC";"90.78"
"LI";"100.00"
"LK";"82.41"
"LS";"68.14"
"LT";"92.63"
"LU";"99.93"
"LV";"97.92"
"MO";"100.00"
"MA";"70.60"
"MC";"100.00"
"MD";"84.95"
"MG";"40.82"
"MV";"94.32"
"MX";"92.47"
"MH";"78.96"
"MK";"97.39"
"ML";"57.69"
"MT";"100.00"
"MM";"59.05"
"ME";"99999999999998"
"MN";"71.95"
"MP";"98.99"
"MZ";"30.25"
"MR";"59.43"
"MS";"97.85"
"MQ";"99.63"
"MU";"99.50"
"MW";"56.82"
"MY";"97.55"
"YT";"99999999999998"
"NA";"77.59"
"NC";"95.55"
"NE";"40.47"
"NG";"53.57"
"NI";"81.09"
"NU";"99.11"
"NL";"100.00"
"NO";"100.00"
"NP";"82.41"
"NR";"97.08"
"NZ";"100.00"
"OM";"76.58"
"PK";"88.88"
"PA";"90.55"
"PE";"83.91"
"PH";"87.53"
"PW";"95.07"
"PG";"36.65"
"PL";"97.92"
"PR";"97.08"
"KP";"99.81"
"PT";"99.06"
"PY";"83.54"
"PS";"88.12"
"PF";"100.00"
"QA";"100.00"
"RE";"99.50"
"RO";"100.00"
"RU";"95.62"
"RW";"50.22"
"SA";"97.76"
"SD";"44.88"
"SN";"66.16"
"SG";"100.00"
"SH";"98.50"
"SB";"78.84"
"SL";"44.53"
"SV";"84.45"
"SM";"100.00"
"SO";"26.92"
"PM";"99999999999998"
"RS";"91.30"
"SS";"99999999999998"
"ST";"71.34"
"SR";"91.34"
"SK";"97.97"
"SI";"99.58"
"SE";"100.00"
"SZ";"57.20"
"SX";"99999999999998"
"SC";"94.46"
"SY";"95.68"
"TC";"89.29"
"TD";"40.12"
"TG";"51.21"
"TH";"95.78"
"TJ";"63.19"
"TK";"98.60"
"TM";"87.64"
"TL";"56.06"
"TO";"98.63"
"TT";"94.18"
"TN";"90.14"
"TR";"96.69"
"TV";"97.92"
"TZ";"37.63"
"UG";"32.86"
"UA";"96.31"
"UY";"97.28"
"US";"99.15"
"UZ";"89.40"
"VC";"93.86"
"VE";"96.62"
"VG";"97.20"
"VI";"100.00"
"VN";"82.23"
"VU";"82.62"
"WF";"99.64"
"WS";"93.33"
"YE";"49.81"
"ZA";"79.74"
"ZM";"52.85"
"ZW";"69.58"
