;z2
"AF";"65286"
"AL";"2740"
"DZ";"238174"
"AS";"20"
"AD";"47"
"AO";"124670"
"AI";"9"
"AG";"44"
"AR";"273669"
"AM";"2847"
"AW";"18"
"AU";"768230"
"AT";"8258"
"AZ";"8270,5"
"BS";"1001"
"BH";"71"
"BD";"13017"
"BB";"43"
"BY";"20284"
"BE";"99999999999998"
"BZ";"2281"
"BJ";"11276"
"BM";"5"
"BT";"3980"
"BO";"108330"
"BA";"5120"
"BW";"56673"
"BR";"835814"
"VG";"15"
"BN";"527"
"BG";"11063"
"BF";"27360"
"BI";"2568"
"CV";"403"
"KH";"17652"
"CM";"47271"
"CA";"909351"
"KY";"24"
"CF";"62298"
"TD";"125920"
"CL";"74353,2"
"CN";"942471"
"HK";"105"
"MO";"2"
"CO";"110950"
"KM";"186,1"
"CG";"34150"
"CK";"24"
"CR";"5106"
"CI";"31800"
"HR";"5591"
"CU";"10740"
"CY";"924"
"CZ";"7727"
"KP";"12041"
"CD";"226705"
"DK";"4243"
"DJ";"2318"
"DM";"75"
"DO";"4831"
"EC";"24836"
"EG";"99545"
"SV";"2072"
"GQ";"2805"
"ER";"10100"
"EE";"4239"
"ET";"100000"
"FK";"1217"
"FO";"139,6"
"FJ";"1827"
"FI";"30459"
"FR";"54756,6"
"GF";"8220"
"PF";"366"
"GA";"25767"
"GM";"1012"
"GE";"6949"
"DE";"34898"
"GH";"22754"
"GI";"1"
"GR";"12890"
"GL";"41045"
"GD";"34"
"GP";"169"
"GU";"54"
"GT";"10716"
"GN";"24572"
"GW";"2812"
"GY";"19685"
"HT";"2756"
"HN";"11189"
"HU";"8980"
"IS";"10025"
"IN";"297319"
"ID";"181157"
"IR";"162876"
"IQ";"43737"
"IE";"6889"
"IM";"57"
"IL";"2164"
"IT";"29411"
"JM";"1083"
"JP";"36450"
"JO";"8824"
"KZ";"269970"
"KE";"56914"
"KI";"81"
"KW";"1782"
"KG";"19180"
"LA";"23080"
"LV";"6219,6"
"LB";"1023"
"LS";"3036"
"LR";"9632"
"LY";"175954"
"LI";"16"
"LT";"6268"
"LU";"99999999999998"
"MG";"58154"
"MW";"9428"
"MY";"32855"
"MV";"30"
"ML";"122019"
"MT";"32"
"MH";"18"
"MQ";"106"
"MR";"103070"
"MU";"203"
"YT";"37,4"
"MX";"194395"
"FM";"70"
"MN";"155356"
"ME";"99999999999998"
"MS";"10"
"MA";"44630"
"MZ";"78638"
"MM";"65354"
"NA";"82329"
"NR";"2"
"NP";"14300"
"NL";"3376"
"NC";"1828"
"NZ";"26331"
"NI";"12034"
"NE";"126670"
"NG";"91077"
"NU";"26"
"NF";"4"
"MP";"46"
"NO";"36524,5"
"OM";"30950"
"PK";"77088"
"PW";"46"
"PA";"7434"
"PG";"45286"
"PY";"39730"
"PE";"128000"
"PH";"29817"
"PN";"4,7"
"PL";"30629"
"PT";"9150"
"PR";"887"
"QA";"1161"
"KR";"9646"
"MD";"3290"
"RE";"250"
"RO";"22960"
"RU";"1638851"
"RW";"2467"
"SH";"39"
"KN";"26"
"LC";"61"
"PM";"23"
"VC";"39"
"WS";"283"
"SM";"6"
"ST";"96"
"SA";"214969"
"SN";"19253"
"RS";"99999999999998"
"SC";"46"
"SL";"7218"
"SG";"67"
"SK";"4810"
"SI";"2014"
"SB";"2799"
"SO";"62734"
"ZA";"121309"
"SS";"99999999999998"
"ES";"49944"
"LK";"6271"
"SD";"99999999999998"
"SR";"15600"
"SZ";"1720"
"SE";"41034"
"CH";"3952,5"
"SY";"18378"
"TJ";"13996"
"TH";"51089"
"MK";"2543"
"TL";"1487"
"TG";"5439"
"TK";"1"
"TO";"72"
"TT";"513"
"TN";"15536"
"TR";"76963"
"TM";"46993"
"TC";"95"
"TV";"3"
"UG";"19981"
"UA";"57935"
"AE";"8360"
"GB";"24193"
"TZ";"88580"
"US";"915896"
"VI";"35"
"UY";"17502"
"UZ";"42540"
"VU";"1219"
"VE";"88205"
"VN";"32549"
"WF";"14"
"EH";"26600"
"YE";"52797"
"ZM";"74339"
"ZW";"38685"
