;meioambiente_34
"AF";"0,46"
"AL";"0,15"
"DZ";"0,13"
"AS";"99999999999998"
"AD";"0,47"
"AO";"0,43"
"AI";"99999999999998"
"AG";"0,09"
"AR";"0,36"
"AM";"0,23"
"AW";"99999999999998"
"AU";"0,53"
"AT";"0,18"
"AZ";"0,28"
"BS";"0,00"
"BH";"0,06"
"BD";"0,04"
"BB";"0,05"
"BY";"0,15"
"BE";"99999999999998"
"BZ";"0,02"
"BJ";"0,05"
"BM";"99999999999998"
"BT";"0,07"
"BO";"0,31"
"BA";"0,23"
"BW";"0,44"
"BR";"0,22"
"VG";"0,33"
"BN";"0,01"
"BG";"0,16"
"BF";"0,22"
"BI";"0,30"
"CV";"0,06"
"KH";"0,04"
"CM";"0,04"
"CA";"0,02"
"KY";"0,08"
"CF";"0,05"
"TD";"0,35"
"CL";"0,17"
"CN";"0,40"
"HK";"0,01"
"MO";"99999999999998"
"CO";"0,35"
"KM";"0,08"
"CG";"0,29"
"CK";"99999999999998"
"CR";"0,32"
"CI";"0,40"
"HR";"0,19"
"CU";"0,24"
"CY";"0,00"
"CZ";"0,11"
"KP";"0,00"
"CD";"0,08"
"DK";"0,05"
"DJ";"0,60"
"DM";"0,03"
"DO";"0,25"
"EC";"0,18"
"EG";"99999999999998"
"SV";"0,29"
"GQ";"0,04"
"ER";"0,59"
"EE";"0,05"
"ET";"0,18"
"FK";"0,99"
"FO";"99999999999998"
"FJ";"0,10"
"FI";"0,00"
"FR";"0,20"
"GF";"0,00"
"PF";"0,05"
"GA";"0,18"
"GM";"0,35"
"GE";"0,29"
"DE";"0,15"
"GH";"0,35"
"GI";"99999999999998"
"GR";"0,40"
"GL";"0,01"
"GD";"0,03"
"GP";"0,14"
"GU";"0,15"
"GT";"0,24"
"GN";"0,44"
"GW";"0,30"
"GY";"0,06"
"HT";"0,18"
"HN";"0,14"
"HU";"0,12"
"IS";"0,17"
"IN";"0,03"
"ID";"0,06"
"IR";"0,26"
"IQ";"0,09"
"IE";"0,48"
"IM";"0,37"
"IL";"0,07"
"IT";"0,15"
"JM";"0,21"
"JP";"0,01"
"JO";"0,09"
"KZ";"0,68"
"KE";"0,37"
"KI";"99999999999998"
"KW";"0,08"
"KG";"0,44"
"LA";"0,03"
"LV";"0,12"
"LB";"0,29"
"LS";"0,66"
"LR";"0,18"
"LY";"0,08"
"LI";"0,19"
"LT";"0,07"
"LU";"99999999999998"
"MG";"0,56"
"MW";"0,16"
"MY";"0,01"
"MV";"0,03"
"ML";"0,24"
"MT";"99999999999998"
"MH";"0,17"
"MQ";"0,12"
"MR";"0,38"
"MU";"0,03"
"YT";"99999999999998"
"MX";"0,41"
"FM";"0,04"
"MN";"0,75"
"ME";"99999999999998"
"MS";"0,10"
"MA";"0,47"
"MZ";"0,55"
"MM";"0,01"
"NA";"0,46"
"NR";"99999999999998"
"NP";"0,12"
"NL";"0,26"
"NC";"0,12"
"NZ";"0,52"
"NI";"0,20"
"NE";"0,17"
"NG";"0,33"
"NU";"0,04"
"NF";"0,25"
"MP";"0,04"
"NO";"0,00"
"OM";"0,03"
"PK";"0,06"
"PW";"0,04"
"PA";"0,20"
"PG";"0,00"
"PY";"0,37"
"PE";"0,14"
"PH";"0,04"
"PN";"99999999999998"
"PL";"0,13"
"PT";"0,10"
"PR";"0,26"
"QA";"0,04"
"KR";"0,01"
"MD";"0,11"
"RE";"0,05"
"RO";"0,20"
"RU";"0,05"
"RW";"0,23"
"SH";"0,21"
"KN";"0,08"
"LC";"0,03"
"PM";"99999999999998"
"VC";"0,05"
"WS";"0,01"
"SM";"99999999999998"
"ST";"0,01"
"SA";"0,79"
"SN";"0,29"
"RS";"99999999999998"
"SC";"99999999999998"
"SL";"0,30"
"SG";"99999999999998"
"SK";"0,17"
"SI";"0,16"
"SB";"0,00"
"SO";"0,67"
"ZA";"0,68"
"SS";"99999999999998"
"ES";"0,21"
"LK";"0,07"
"SD";"99999999999998"
"SR";"0,00"
"SZ";"0,59"
"SE";"0,01"
"CH";"0,28"
"SY";"0,44"
"TJ";"0,25"
"TH";"0,02"
"MK";"0,25"
"TL";"0,10"
"TG";"0,18"
"TK";"99999999999998"
"TO";"0,05"
"TT";"0,01"
"TN";"0,27"
"TR";"0,16"
"TM";"0,69"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"0,21"
"UA";"0,12"
"AE";"0,03"
"GB";"0,47"
"TZ";"0,24"
"US";"0,25"
"VI";"0,14"
"UY";"0,77"
"UZ";"0,51"
"VU";"0,03"
"VE";"0,20"
"VN";"0,01"
"WF";"99999999999998"
"EH";"0,19"
"YE";"0,42"
"ZM";"0,24"
"ZW";"0,27"
