;
"AF","President of the Islamic Republic of Afghanistan Ashraf GHANI Ahmadzai (since 29 September 2014); CEO Abdullah ABDULLAH, Dr. (since 29 September 2014); First Vice President Abdul Rashid DOSTAM (since 29 September 2014); Second Vice President Sarwar DANESH (since 29 September 2014); First Deputy CEO Khyal Mohammad KHAN; Second Deputy CEO Mohammad MOHAQQEQ; note - the president is both chief of state and head of government"
"AL","President of the Republic Ilir META (since 24 July 2017)"
"DZ","President Abdelaziz BOUTEFLIKA (since 28 April 1999)"
"AS","President Donald J. TRUMP (since 20 January 2017); Vice President Michael R. PENCE (since 20 January 2017)"
"AD","Co-prince Emmanuel MACRON (since 14 May 2017); represented by Patrick STROZDA (since 14 May 2017); and Co-prince Archbishop Joan-Enric VIVES i Sicilia (since 12 May 2003); represented by Josep Maria MAURI (since 20 July 2012)"
"AO","President Joao Manuel Goncalves LOURENCO (since 26 September 2017); Vice President Bornito De Sousa Baltazar DIOGO (since 26 September 2017); note - the president is both chief of state and head of government"
"AI","Queen ELIZABETH II (since 6 February 1952); represented by Governor Tim FOY (since August 2017)"
"AG","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Rodney WILLIAMS (since 14 August 2014)"
"AR","President Mauricio MACRI (since 10 December 2015); Vice President Gabriela MICHETTI (since 10 December 2015); note - the president is both chief of state and head of government"
"AM","President Armen SARKISSIAN (since 9 April 2018)"
"AW","King WILLEM-ALEXANDER of the Netherlands (since 30 April 2013); represented by Governor General Alfonso BOEKHOUDT (since 1 January 2017)"
"AU","Queen of Australia ELIZABETH II (since 6 February 1952); represented by Governor Gen. Sir Peter COSGROVE (since 28 March 2014)"
"AT","President Alexander VAN DER BELLEN (since 26 January 2017)"
"AZ","President Ilham ALIYEV (since 31 October 2003); First Vice President Mehriban ALIYEVA (since 21 February 2017)"
"BS","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Dame Marguerite PINDLING (since 8 July 2014)"
"BH","King HAMAD bin Isa Al-Khalifa (since 6 March 1999); Crown Prince SALMAN bin Hamad Al-Khalifa (son of the monarch, born 21 October 1969)"
"BD","President Abdul HAMID (since 24 April 2013); note - Abdul HAMID served as acting president following the death of Zillur RAHMAN in March 2013; HAMID was subsequently indirectly elected by the National Parliament and sworn in 24 April 2013"
"BB","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Sandra MASON (since 8 January 2018)"
"BY","President Aleksandr LUKASHENKO (since 20 July 1994)"
"BE","King PHILIPPE (since 21 July 2013); Heir Apparent Princess ELISABETH (daughter of the monarch, born 25 October 2001)"
"BZ","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Sir Colville Norbert YOUNG, Sr. (since 17 November 1993)"
"BJ","President Patrice TALON (since 6 April 2016); note - the president is both chief of state and head of government"
"BM","Queen ELIZABETH II (since 6 February 1952); represented by Governor John RANKIN (since 5 December 2016)"
"BT","King Jigme Khesar Namgyel WANGCHUCK (since 14 December 2006); note - King Jigme Singye WANGCHUCK abdicated the throne on 14 December 2006 to his son"
"BO","President Juan Evo MORALES Ayma (since 22 January 2006); Vice President Alvaro GARCIA Linera (since 22 January 2006); note - the president is both chief of state and head of government"
"BA","Chairman of the Presidency Bakir IZETBEGOVIC (chairman since 17 March 2018, presidency member since 10 November 2010 - Bosniak); Mladen IVANIC (presidency member since 17 November 2014 - Serb); Dragan COVIC (presidency member since 17 November 2014 - Croat)"
"BW","President Mokgweetse Eric MASISI (since 1 April 2018); Vice President Slumber TSOGWANE (since 4 April 2018); note - the president is both chief of state and head of government"
"BR","President Michel Miguel Elias TEMER Lulia (since 31 August 2016); Vice President (vacant); note - the president is both chief of state and head of government"
"IO","Queen ELIZABETH II (since 6 February 1952)"
"VG","Queen ELIZABETH II (since 6 February 1952); represented by Governor Gus JASPERT (since 22 August 2017)"
"BN","Sultan and Prime Minister Sir HASSANAL Bolkiah (since 5 October 1967); note - the monarch is both chief of state and head of government"
"BG","President Rumen RADEV (since 22 January 2017); Vice President Iliana IOTOVA (since 22 January 2017)"
"BF","President Roch Marc Christian KABORE (since 29 December 2015)"
"MM","President WIN MYINT (since 30 March 2018); Vice Presidents MYINT SWE (since 16 March 2016) and HENRY VAN THIO (since 30 March 2016); note - President HTIN KYAW (since 30 March 2016) resigned on 21 March 2018; the president is both chief of state and head of government"
"BI","President Pierre NKURUNZIZA (since 26 August 2005); First Vice President Gaston SINDIMWO (since 20 August 2015); Second Vice President Joseph BUTORE (since 20 August 2015); note - the president is both chief of state and head of government"
"CV","President Jorge Carlos FONSECA (since 9 September 2011)"
"KH","King Norodom SIHAMONI (since 29 October 2004)"
"CM","President Paul BIYA (since 6 November 1982)"
"CA","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Julie PAYETTE (since 2 October 2017)"
"KY","Queen ELIZABETH II (since 6 February 1952); represented by acting Governor Franz MANDERSON (since 13 June 2018); note - Anwar CHOUDHURY was suspended from office as governor on 13 June 2018"
"CF","President Faustin-Archange TOUADERA (since 30 March 2016)"
"TD","President Idriss DEBY Itno, Lt. Gen. (since 4 December 1990)"
"CL","President Sebastian PINERA Echenique (since 11 March 2018); note - the president is both chief of state and head of government"
"CN","President XI Jinping (since 14 March 2013); Vice President WANG Quishan (since 17 March 2018)
head of government: Premier LI Keqiang (since 16 March 2013); Executive Vice Premiers HAN Zheng (since 19 March 2018), SUN Chunlan (since 19 March 2018), LIU He (since 19 March 2018), HU Chunhua (since 19 March 2018)
cabinet: State Council appointed by National People's Congress
elections/appointments: president and vice president indirectly elected by National People's Congress for a 5-year term (unlimited terms); election last held on 17 March 2018 (next to be held in March 2023); premier nominated by president, confirmed by National People's Congress
election results: XI Jinping reelected president; National People's Congress vote - 2,970 (unanimously); WANG Quishan elected vice president with 2,969 votes"
"CX","Queen ELIZABETH II (since 6 February 1952); represented by Governor General of the Commonwealth of Australia General Sir Peter COSGROVE (since 28 March 2014)"
"CC","Queen ELIZABETH II (since 6 February 1952); represented by Governor General of the Commonwealth of Australia General Sir Peter COSGROVE (since 28 March 2014)"
"CO","President Ivan DUQUE Marquez (since 7 August 2018); Vice President Marta Lucia RAMIREZ Blanco (since 7 August 2018); the president is both chief of state and head of government"
"KM","President AZALI Assoumani(since 26 May 2016); note - the president is both chief of state and head of government; Abdallah Said SAROUMA (since 26 May 2016), is vice president of Transportation, Posts, Telecommunication, etc.; Djaffer Ahmed SAID (since 26 May 2016), is vice president of Economy, Planning, Industry Crafts,etc.; Moustadroine ABDOU (since 26 May 2016), is vice president of Agriculture, Fishing, and the Environment"
"CD","President Joseph KABILA (since 17 January 2001)"
"CG","President Denis SASSOU-Nguesso (since 25 October 1997)"
"CK","Queen ELIZABETH II (since 6 February 1952); represented by Tom J. MARSTERS (since 9 August 2013); New Zealand High Commissioner Peter MARSHALL (since 10 January 2017)"
"CR","President Carlos ALVARADO Quesada (since 8 May 2018); First Vice President Epsy CAMPBELL Barr (since 8 May 2018); Second Vice President Marvin RODRIGUEZ Cordero (since 8 May 2018); note - the president is both chief of state and head of government"
"CI","President Alassane Dramane OUATTARA (since 4 December 2010); Vice President Daniel Kablan DUNCAN (since 16 January 2017); note - the 2016 constitution calls for the establishment of the position of vice-president"
"HR","President Kolinda GRABAR-KITAROVIC (since 19 February 2015)"
"CU","President of the Council of State and President of the Council of Ministers Miguel DIAZ-CANEL Bermudez (since 19 April 2018); First Vice President of the Council of State and First Vice President of the Council of Ministers Salvador Antonio VALDES Mesa (since 19 April 2018); note - the president is both chief of state and head of government"
"CW","King WILLEM-ALEXANDER of the Netherlands (since 30 April 2013); represented by Governor Lucille A. GEORGE-WOUT (since 4 November 2013)"
"CY","President Nikos ANASTASIADES (since 28 February 2013); the president is both chief of state and head of government; note - vice presidency reserved for a Turkish Cypriot, but vacant since 1974 because Turkish Cypriots do not participate in the Cyprus Government"
"CZ","President Milos ZEMAN (since 8 March 2013)"
"DK","Queen MARGRETHE II (since 14 January 1972); Heir Apparent Crown Prince FREDERIK (elder son of the monarch, born on 26 May 1968)"
"DJ","President Ismail Omar GUELLEH (since 8 May 1999)"
"DM","President Charles A. SAVARIN (since 2 October 2013)"
"DO","President Danilo MEDINA Sanchez (since 16 August 2012); Vice President Margarita CEDENO DE FERNANDEZ (since 16 August 2012); note - the president is both chief of state and head of government"
"EC","President Lenin MORENO Garces (since 24 May 2017); Vice President Maria Alejandra VICUNA Munoz (since 6 January 2018); note - Vice President Jorge GLAS Espinel (since 24 May 2013) was jailed for corruption and absent from office for more than 3 months, causing him to be constitutionally stripped of his office; president is both chief of state and head of government"
"EG","President Abdelfattah ELSISI (since 8 June 2014)"
"SV","President Salvador SANCHEZ CEREN (since 1 June 2014); Vice President Salvador Oscar ORTIZ (since 1 June 2014); note - the president is both chief of state and head of government"
"GQ","President Brig. Gen. (Ret.) Teodoro OBIANG Nguema Mbasogo (since 3 August 1979 when he seized power in a military coup); Vice President Teodoro OBIANG Nguema Mangue(since 2012)"
"ER","President ISAIAS Afworki (since 8 June 1993); note - the president is both chief of state and head of government and is head of the State Council and National Assembly"
"EE","President Kersti KALJULAID (since 10 October 2016)"
"ET","President MULATU Teshome Wirtu (since 7 October 2013)"
"FK","Queen ELIZABETH II (since 6 February 1952); represented by Governor Nigel PHILLIPS (since 12 September 2017)"
"FO","Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Dan Michael KNUDSEN, chief administrative officer (since 1 January 2008)"
"FJ","President Jioji Konousi KONROTE (since 12 November 2015)"
"FI","President Sauli NIINISTO (since 1 March 2012)"
"FR","President Emmanuel MACRON (since 14 May 2017)"
"PF","President Emmanuel MACRON (since 14 May 2017), represented by High Commissioner of the Republic Rene BIDALL (since 30 May 2016)"
"TF","President Emmanuel MACRON (since 14 May 2017), represented by Prefect Cecile POZZO DI BORGO (since 13 October 2014)"
"GA","President Ali BONGO Ondimba (since 16 October 2009)"
"GM","President Adama BARROW (since 19 January 2017); Vice President Fatoumata JALLOW-TAMBAJANG (since 23 January 2017); note - the president is both chief of state and head of government"
"GE","President Giorgi MARGVELASHVILI (since 17 November 2013)"
"DE","President Frank-Walter STEINMEIER (since 19 March 2017)"
"GH","President Nana Addo Dankwa AKUFO-ADDO (since 7 January 2017); Vice President Mahamudu BAWUMIA (since 7 January 2017); the president is both chief of state and head of government"
"GI","Queen ELIZABETH II (since 6 February 1952); represented by Governor Lt. Gen. Edward DAVIS (since 19 January 2016)"
"GR","President Prokopios (Prokopis) PAVLOPOULOS (since 13 March 2015)"
"GL","Queen MARGRETHE II of Denmark (since 14 January 1972), represented by High Commissioner Mikaela ENGELL (since April 2011)"
"GD","Queen ELIZABETH II (since 6 February 1952); represented by Governor General Cecile LA GRENADE (since 7 May 2013)"
"GU","President Donald J. TRUMP (since 20 January 2017); Vice President Michael R. PENCE (since 20 January 2017)"
"GT","President Jimmy Ernesto MORALES Cabrera (since 14 January 2016); Vice President Jafeth CABRERA Franco (since 14 January 2016); note - the president is both chief of state and head of government"
"GG","Queen ELIZABETH II (since 6 February 1952); represented by Lieutenant Governor Vice Admiral Ian CORDER (since 14 March 2016)"
"GN","President Alpha CONDE (since 21 December 2010)"
"GW","President Jose Mario VAZ (since 17 June 2014)"
"GY","President David GRANGER (since 16 May 2015); Vice Presidents Sydney ALLICOCK, Carl Barrington GREENIDGE, Moses Veerasammy NAGAMOOTOO, and Hemraj RAMJATTAN (since 20 May 2015); Prime Minister Moses Veerasammy NAGAMOOTOO (since 20 May 2015); note - the president is both chief of state and head of government"
"HT","President Jovenel MOISE (since 7 February 2017)"
"VA","Pope FRANCIS (since 13 March 2013)"
"HN","President Juan Orlando HERNANDEZ Alvarado (since 27 January 2014); Vice Presidents Ricardo ALVAREZ, Maria RIVERA, and Olga ALVARADO (since 26 January 2018); note - the president is both chief of state and head of government"
"HK","President of China XI Jinping (since 14 March 2013)"
"HU","President Janos ADER (since 10 May 2012)"
"IS","President Gudni Thorlacius JOHANNESSON (since 1 August 2016)"
"IN","President Ram Nath KOVIND (since 25 July 2017); Vice President M. Venkaiah NAIDU (since 11 August 2017)"
"ID","President Joko WIDODO (since 20 October 2014); Vice President Jusuf KALLA (since 20 October 2014); note - the president is both chief of state and head of government"
"IR","Supreme Leader Ali Hoseini-KHAMENEI (since 4 June 1989)"
