;
"AF","President of the Islamic Republic of Afghanistan Ashraf GHANI Ahmadzai (since 29 September 2014); CEO Abdullah ABDULLAH, Dr. (since 29 September 2014); First Vice President Abdul Rashid DOSTAM (since 29 September 2014); Second Vice President Sarwar DANESH (since 29 September 2014); First Deputy CEO Khyal Mohammad KHAN; Second Deputy CEO Mohammad MOHAQQEQ"
"AL","Prime Minister Edi RAMA (since 10 September 2013); Deputy Prime Minister Senida MESI (since 13 September 2017)"
"DZ","Prime Minister Ahmed OUYAHIA (since 16 August 2017)"
"AS","Governor Lolo Matalasi MOLIGA (since 3 January 2013)"
"AD","Head of Government (or Cap de Govern) Antoni MARTI PETIT (since 1 April 2015)"
"AO","President Joao Manuel Goncalves LOURENCO (since 26 September 2017); Vice President Bornito De Sousa Baltazar DIOGO (since 26 September 2017)"
"AI","Chief Minister Victor BANKS (since 23 April 2015)"
"AG","Prime Minister Gaston BROWNE (since 13 June 2014)"
"AR","President Mauricio MACRI (since 10 December 2015); Vice President Gabriela MICHETTI (since 10 December 2015)"
"AM","Prime Minister Nikol PASHINYAN (since 8 May 2018); First Deputy Prime Minister Ararat MIRZOYAN (since 11 May 2018)"
"AW","Prime Minister Evelyn WEVER-CROES (since 17 November 2017)"
"AU","Prime Minister Scott MORRISON (since 24 August 2018)"
"AT","Chancellor Sebastian KURZ (since 18 December 2017); Vice Chancellor Heinz-Christian STRACHE (since 18 December 2017)"
"AZ","Prime Minister Novruz MAMMADOV (since 21 April 2018); First Deputy Prime Minister Yaqub EYYUBOV (since June 2006)"
"BS","Prime Minister Hubert MINNIS (since 11 May 2017)"
"BH","Prime Minister KHALIFA bin Salman Al-Khalifa (since 1971); First Deputy Prime Minister SALMAN bin Hamad Al Khalifa (since 11 March 2013); Deputy Prime Ministers MUHAMMAD bin Mubarak Al-Khalifa (since September 2005), Jawad bin Salim al-ARAIDH, ALI bin Khalifa bin Salman Al-Khalifa (since 11 December 2006), KHALID bin Abdallah Al Khalifa (since November 2010)"
"BD","Prime Minister Sheikh HASINA (since 6 January 2009)"
"BB","Prime Minister Mia MOTTLEY (since 25 May 2018)"
"BY","Prime Minister Sergey RUMAS (since 18 August 2018); First Deputy Prime Minister Aleksandr TURCHIN (since 18 August 2018); Deputy Prime Ministers Igor LYASHENKO, Vladimir KUKHAREV, Igor PETRISHENKO (since 18 August 2018), Mikhail RUSYY (since 2012)"
"BE","Prime Minister Charles MICHEL (since 11 October 2014); Deputy Prime Ministers Alexander DE CROO (since 22 October 2012), Jan JAMBON (since 11 October 2014), Kris PEETERS (since 11 October 2014), Didier REYNDERS (since 30 December 2008)"
"BZ","Prime Minister Dean Oliver BARROW (since 8 February 2008); Deputy Prime Minister Patrick FABER (since 7 June 2016)"
"BJ","President Patrice TALON (since 6 April 2016); prime minister position abolished"
"BM","Premier David BURT (since 19 July 2017)"
"BT","Prime Minister Tshering TOBGAY (since 27 July 2013)"
"BO","President Juan Evo MORALES Ayma (since 22 January 2006); Vice President Alvaro GARCIA Linera (since 22 January 2006)"
"BA","Chairman of the Council of Ministers Denis ZVIZDIC (since 11 February 2015)"
"BW","President Mokgweetse Eric MASISI (since 1 April 2018); Vice President Slumber TSOGWANE (since 4 April 2018); note - the president is both chief of state and head of government"
"BR","President Michel Miguel Elias TEMER Lulia (since 31 August 2016); Vice President (vacant)"
"IO","Commissioner Dr. Peter HAYES (since 17 October 2012); Administrator John MCMANUS (since April 2011); note - both reside in the UK and are represented by the officer commanding British Forces on Diego Garcia"
"VG","Premier Orlando SMITH (since 9 November 2011)"
"BN","Sultan and Prime Minister Sir HASSANAL Bolkiah (since 5 October 1967)"
"BG","Prime Minister Boyko BORISSOV (since 4 May 2017); note - BORISSOV served 2 previous terms as prime minister (27 July 2009-13 March 2013 and 7 November 2014-27 January 2017)"
"BF","Prime Minister Paul Kaba THIEBA (since 6 January 2016)"
"MM","President WIN MYINT (since 30 March 2018); Vice Presidents MYINT SWE (since 16 March 2016) and HENRY VAN THIO (since 30 March 2016
note: a parliamentary bill creating the position of "state counsellor" was signed into law by former President HTIN KYAW on 6 April 2016; a state counsellor serves the equivalent term of the president and is similar to a prime minister in that the holder acts as a link between the parliament and the executive branch
state counsellor: State Counselor AUNG SAN SUU KYI (since 6 April 2016); she concurrently serves as minister of foreign affairs and minister for the office of the president"
"BI","President Pierre NKURUNZIZA (since 26 August 2005); First Vice President Gaston SINDIMWO (since 20 August 2015); Second Vice President Joseph BUTORE (since 20 August 2015)"
"CV","Prime Minister Ulisses CORREIA E. SILVA (since 22 April 2016)"
"KH","Prime Minister HUN SEN (since 14 January 1985); Permanent Deputy Prime Minister MEN SAM AN (since 25 September 2008); Deputy Prime Ministers SAR KHENG (since 3 February 1992), TEA BANH, Gen., HOR NAMHONG, NHEK BUNCHHAY (all since 16 July 2004), BIN CHHIN (since 5 September 2007), KEAT CHHON, YIM CHHAI LY (since 24 September 2008), KE KIMYAN (since 12 March 2009)"
"CM","Prime Minister Philemon YANG (since 30 June 2009); Deputy Prime Minister Amadou ALI (since 2014)"
"CA","Prime Minister Justin Pierre James TRUDEAU (Liberal Party) (since 4 November 2015)"
"KY","Premier Alden MCLAUGHLIN (since 29 May 2013)"
"CF","Prime Minister Simplice SARANDJI (since 2 April 2016)"
"TD","President Idriss DEBY Itno, Lt. Gen. (since 4 December 1990); prime minister position eliminated under the 2018 constitution"
"CL","President Sebastian PINERA Echenique (since 11 March 2018)"
"CN","President XI Jinping (since 14 March 2013); Vice President WANG Quishan (since 17 March 2018)
head of government: Premier LI Keqiang (since 16 March 2013); Executive Vice Premiers HAN Zheng (since 19 March 2018), SUN Chunlan (since 19 March 2018), LIU He (since 19 March 2018), HU Chunhua (since 19 March 2018)
cabinet: State Council appointed by National People's Congress
elections/appointments: president and vice president indirectly elected by National People's Congress for a 5-year term (unlimited terms); election last held on 17 March 2018 (next to be held in March 2023); premier nominated by president, confirmed by National People's Congress
election results: XI Jinping reelected president; National People's Congress vote - 2,970 (unanimously); WANG Quishan elected vice president with 2,969 votes"
