;populacao_6
"BI";"244,5"
"KM";"284,2"
"DJ";"30,2"
"ER";"32,7"
"ET";"64,6"
"KE";"53,8"
"MG";"26,3"
"MW";"117,1"
"MU";"579,1"
"YT";"386,5"
"MZ";"22,4"
"RE";"289,8"
"RW";"307,8"
"SC";"174,0"
"SO";"13,9"
"SS";"10,5"
"UG";"116,5"
"TZ";"37,6"
"ZM";"13,8"
"ZW";"31,2"
"AO";"12,8"
"CM";"31,5"
"CF";"5,9"
"TD";"6,4"
"CG";"9,2"
"CD";"20,3"
"GQ";"21,0"
"GA";"4,7"
"ST";"141,6"
"DZ";"12,9"
"EG";"68,9"
"LY";"3,0"
"MA";"63,9"
"SD";"15,1"
"TN";"61,8"
"EH";"1,1"
"BW";"3,0"
"LS";"61,0"
"NA";"2,3"
"ZA";"37,1"
"SZ";"60,8"
"BJ";"59,1"
"BF";"41,2"
"CV";"105,8"
"CI";"51,3"
"GM";"118,1"
"GH";"81,2"
"GN";"35,2"
"GW";"43,4"
"LR";"28,4"
"ML";"8,7"
"MR";"2,6"
"NE";"8,6"
"NG";"131,0"
"SH";"13,3"
"SN";"50,1"
"SL";"61,5"
"TG";"88,7"
"CN";"135,9"
"HK";"6.266,3"
"MO";"14.000,1"
"TW";"613,2"
"KP";"188,8"
"JP";"349,3"
"MN";"1,5"
"KR";"483,6"
"KZ";"5,6"
"KG";"25,3"
"TJ";"43,7"
"TM";"9,5"
"UZ";"57,6"
"AF";"29,7"
"BD";"991,2"
"BT";"14,6"
"IN";"348,0"
"IR";"40,0"
"MV";"915,0"
"NP";"162,6"
"PK";"175,7"
"LK";"297,7"
"BN";"61,9"
"KH";"67,3"
"ID";"115,2"
"LA";"22,7"
"MY";"69,0"
"MM";"69,7"
"PH";"256,0"
"SG";"5.455,0"
"TH";"122,0"
"TL";"58,1"
"VN";"256,0"
"AM";"108,5"
"AZ";"97,4"
"BH";"837,6"
"CY";"100,2"
"GE";"68,7"
"IQ";"52,7"
"IL";"272,3"
"JO";"56,5"
"KW";"109,8"
"LB";"308,6"
"OM";"7,3"
"QA";"49,1"
"SA";"9,4"
"PS";"518,1"
"SY";"87,2"
"TR";"80,9"
"AE";"35,7"
"YE";"32,9"
"BY";"49,2"
"BG";"74,3"
"CZ";"133,4"
"HU";"113,2"
"PL";"125,9"
"MD";"128,6"
"RO";"96,8"
"RU";"9,0"
"SK";"112,3"
"UA";"85,1"
"DK";"125,4"
"EE";"33,1"
"FO";"33,6"
"FI";"17,0"
"IS";"2,8"
"IE";"55,1"
"IM";"126,2"
"LV";"38,7"
"LT";"56,3"
"NO";"12,3"
"SE";"21,6"
"GB";"242,8"
"AL";"113,7"
"AD";"137,0"
"BA";"73,7"
"HR";"79,6"
"GI";"3.099,1"
"GR";"86,0"
"VA";"1.775,0"
"IT";"194,4"
"MT";"1.230,6"
"ME";"45,7"
"PT";"112,6"
"SM";"451,6"
"RS";"109,5"
"SI";"98,7"
"ES";"81,3"
"MK";"80,3"
"AT";"97,7"
"BE";"338,7"
"FR";"108,3"
"DE";"233,8"
"LI";"205,3"
"LU";"166,5"
"MC";"21.342,3"
"NL";"469,6"
"CH";"180,7"
"AI";"119,9"
"AG";"186,0"
"AW";"494,5"
"BS";"29,3"
"BB";"625,4"
"VG";"134,6"
"KY";"165,9"
"CU";"104,4"
"CW";"302,5"
"DM";"93,2"
"DO";"174,4"
"GD";"298,4"
"GP";"248,9"
"HT";"305,0"
"JM";"243,3"
"MQ";"361,8"
"MS";"57,9"
"PR";"426,9"
"KN";"172,4"
"LC";"254,4"
"VC";"276,6"
"SX";"929,9"
"TT";"246,5"
"TC";"18,8"
"VI";"310,5"
"BZ";"10,5"
"CR";"75,4"
"SV";"281,1"
"GT";"106,3"
"HN";"56,8"
"MX";"51,6"
"NI";"41,1"
"PA";"40,0"
"AR";"13,4"
"BO";"7,6"
