;economia_25
"AF";"99999999999998"
"AL";"4,070.00"
"DZ";"2,039.00"
"AS";"20.10"
"AD";"2,831.00"
"AO";"397.00"
"AG";"265.00"
"AR";"5,559.00"
"AM";"1,260.00"
"AW";"1,102.00"
"AU";"8,263.00"
"AT";"28,121.00"
"AZ";"2,044.00"
"BS";"1,482.00"
"BH";"10,158.00"
"BD";"99999999999998"
"BB";"632.00"
"BY";"9,423.50"
"BE";"7,481.00"
"BZ";"386.00"
"BJ";"267.00"
"BM";"244.00"
"BT";"210.00"
"BO";"959.00"
"BA";"777.00"
"BW";"99999999999998"
"BR";"6,578.00"
"VG";"408.00"
"BN";"219.00"
"BG";"8,252.00"
"BF";"152.00"
"BI";"187.00"
"CV";"598.00"
"KH";"5,012.00"
"CM";"99999999999998"
"CA";"19,824.00"
"KY";"385.00"
"CF";"99999999999998"
"TD";"99999999999998"
"CL";"5,641.00"
"CN";"59,270.00"
"CO";"3,317.00"
"KM";"26.80"
"CD";"99999999999998"
"CG";"224.00"
"CR";"2,925.00"
"CI";"1,583.00"
"HR";"13,809.00"
"CU";"3,968.00"
"CW";"441.00"
"CY";"3,187.00"
"CZ";"9,321.00"
"DK";"10,781.00"
"DJ";"99999999999998"
"DM";"78.00"
"DO";"5,959.30"
"EC";"1,418.00"
"EG";"5,258.00"
"SV";"1,434.00"
"GQ";"99999999999998"
"ER";"142.00"
"EE";"3,147.00"
"ET";"871.00"
"FO";"99999999999998"
"FJ";"792.00"
"FI";"2,789.00"
"FR";"82,570.00"
"PF";"192.00"
"GA";"99999999999998"
"GM";"161.00"
"GE";"6,361.00"
"DE";"35,555.00"
"GH";"99999999999998"
"GI";"99999999999998"
"GR";"24,799.00"
"GL";"99999999999998"
"GD";"156.00"
"GU";"1,535.00"
"GT";"1,906.00"
"GN";"99999999999998"
"GW";"99999999999998"
"GY";"235.00"
"HT";"99999999999998"
"HN";"99999999999998"
"HK";"26,553.00"
"HU";"5,302.00"
"IS";"1,792.00"
"IN";"14,569.00"
"ID";"11,519.00"
"IR";"4,942.00"
"IQ";"99999999999998"
"IE";"10,100.00"
"IM";"99999999999998"
"IL";"2,900.00"
"IT";"52,372.00"
"JM";"2,182.00"
"JP";"24,040.00"
"JO";"3,858.00"
"KZ";"6,509.00"
"KE";"1,268.00"
"KI";"5.70"
"KP";"99999999999998"
"KR";"17,242.00"
"XK";"99999999999998"
"KW";"99999999999998"
"KG";"2,930.00"
"LA";"3,315.00"
"LV";"1,793.00"
"LB";"1,688.00"
"LS";"1,196.00"
"LR";"99999999999998"
"LY";"99999999999998"
"LI";"60.00"
"LT";"2,296.00"
"LU";"1,054.00"
"MO";"15,703.60"
"MK";"510.00"
"MG";"293.00"
"MW";"849.00"
"MY";"26,757.00"
"MV";"1,286.00"
"ML";"173.20"
"MT";"1,966.00"
"MH";"9.80"
"MR";"99999999999998"
"MU";"1,275.00"
"MX";"35,079.00"
"FM";"29.60"
"MD";"121.00"
"MC";"336.00"
"MN";"404.00"
"ME";"1,662.00"
"MA";"10,332.00"
"MZ";"1,639.00"
"MM";"2,907.00"
"NA";"1,469.00"
"NR";"99999999999998"
"NP";"753.00"
"NL";"15,828.00"
"NC";"116.00"
"NZ";"3,370.00"
"NI";"1,504.00"
"NE";"152.00"
"NG";"1,889.00"
"MP";"531.00"
"NO";"5,960.00"
"OM";"2,292.00"
"PK";"99999999999998"
"PW";"138.00"
"PA";"2,007.00"
"PG";"99999999999998"
"PY";"1,308.00"
"PE";"3,744.00"
"PH";"5,967.00"
"PL";"17,471.00"
"PT";"11,223.00"
"PR";"3,736.00"
"QA";"2,938.20"
"RO";"10,223.00"
"RU";"24,571.00"
"RW";"932.00"
"WS";"134.00"
"SM";"60.00"
"ST";"29.00"
"SA";"18,049.00"
"SN";"99999999999998"
"RS";"1,281.00"
"SC";"303.00"
"SL";"55.00"
"SG";"12,914.00"
"SX";"528.00"
"SK";"2,027.00"
"SI";"3,032.00"
"SB";"23.20"
"SO";"99999999999998"
"ZA";"10,044.00"
"SS";"99999999999998"
"ES";"75,315.00"
"LK";"2,051.00"
"KN";"99999999999998"
"LC";"348.00"
"MF";"99999999999998"
"VC";"79.00"
"SD";"99999999999998"
"SR";"256.00"
"SE";"6,782.00"
"CH";"9,205.00"
"SY";"99999999999998"
"TJ";"99999999999998"
"TZ";"1,233.00"
"TH";"32,530.00"
"TL";"66.00"
"TG";"338.00"
"TO";"59.10"
"TT";"410.00"
"TN";"5,724.00"
"TR";"30,289.00"
"TM";"99999999999998"
"TC";"454.00"
"TV";"2.50"
"UG";"1,323.00"
"UA";"13,333.00"
"AE";"99999999999998"
"GB";"35,814.00"
"US";"75,608.00"
"UY";"3,037.00"
"UZ";"99999999999998"
"VU";"95.10"
"VE";"601.00"
"VN";"10,013.00"
"VI";"99999999999998"
"YE";"99999999999998"
"ZM";"956.00"
"ZW";"2,168.00"
