;indicadoressociais_11
"AF";"54.0"
"AL";"72.9"
"DZ";"68.9"
"AD";"77.9"
"AO";"43.1"
"AG";"72.9"
"AR";"73.2"
"AM";"69.9"
"AU";"78.6"
"AT";"77.2"
"AZ";"65.5"
"BS";"71.6"
"BH";"73.9"
"BD";"63.4"
"BB";"72.9"
"BY";"67.6"
"BE";"77.2"
"BZ";"68.8"
"BJ";"54.9"
"BT";"58.0"
"BO";"59.0"
"BA";"72.9"
"BW";"52.5"
"BR";"68.6"
"BN";"74.5"
"BG";"70.9"
"BF";"49.7"
"BI";"50.2"
"CV";"68.7"
"KH";"56.2"
"CM";"52.8"
"CA";"78.4"
"CF";"45.9"
"TD";"47.6"
"CL";"75.7"
"CN";"70.5"
"CO";"70.1"
"KM";"59.2"
"CG";"51.2"
"CD";"49.1"
"CR";"76.9"
"HR";"74.3"
"CU";"76.0"
"CY";"77.6"
"CZ";"73.8"
"CI";"48.0"
"DK";"75.9"
"DJ";"57.0"
"DM";"76.3"
"DO";"70.0"
"EC";"72.0"
"EG";"67.7"
"SV";"68.0"
"GQ";"51.1"
"ER";"54.1"
"EE";"69.2"
"ET";"50.3"
"FJ";"67.0"
"FI";"76.9"
"FR";"78.2"
"GA";"60.4"
"GM";"54.1"
"GE";"70.9"
"DE";"77.1"
"GH";"57.2"
"GR";"78.0"
"GD";"69.7"
"GT";"66.1"
"GN";"51.6"
"GW";"51.0"
"GY";"64.5"
"HT";"56.9"
"HN";"69.6"
"HK";"79.3"
"HU";"70.7"
"IS";"79.0"
"IN";"61.4"
"ID";"65.6"
"IR";"69.1"
"IQ";"69.0"
"IE";"75.9"
"IL";"78.2"
"IT";"78.5"
"JM";"72.0"
"JP";"80.4"
"JO";"71.2"
"KZ";"63.3"
"KE";"52.5"
"KI";"63.2"
"";"64.8"
"KR";"74.7"
"KW";"72.9"
"KG";"66.0"
"LA";"57.2"
"LV";"68.4"
"LB";"73.0"
"LS";"53.2"
"LR";"51.6"
"LY";"70.1"
"LI";"77.6"
"LT";"70.2"
"LU";"76.9"
"MG";"56.2"
"MW";"43.7"
"MY";"72.2"
"MV";"67.3"
"ML";"48.0"
"MT";"77.4"
"MR";"59.8"
"MU";"70.5"
"MX";"73.5"
"FM";"67.0"
"MD";"66.7"
"MN";"61.7"
"ME";"73.6"
"MA";"67.5"
"MZ";"47.3"
"MM";"61.1"
"NA";"58.4"
"NP";"60.1"
"NL";"77.8"
"NZ";"77.4"
"NI";"68.3"
"NE";"48.6"
"NG";"46.2"
"NO";"78.1"
"OM";"70.7"
"PK";"62.0"
"PW";"66.0"
"";"70.2"
"PA";"74.5"
"PG";"57.8"
"PY";"69.3"
"PE";"69.0"
"PH";"66.3"
"PL";"72.6"
"PT";"75.7"
"QA";"75.8"
"RO";"69.7"
"RU";"65.6"
"RW";"39.7"
"KN";"69.2"
"LC";"71.2"
"VC";"70.6"
"WS";"68.3"
"ST";"62.9"
"SA";"71.6"
"SN";"57.3"
"RS";"71.9"
"SC";"71.2"
"SL";"36.4"
"SG";"77.7"
"SK";"72.6"
"SI";"75.1"
"SB";"60.9"
"SO";"49.0"
"ZA";"59.6"
"SS";"47.9"
"ES";"78.3"
"LK";"69.4"
"SD";"57.1"
"SR";"67.8"
"SZ";"53.5"
"SE";"79.1"
"CH";"79.1"
"SY";"72.0"
"TJ";"62.7"
"TZ";"49.0"
"TH";"70.3"
"MK";"72.6"
"TL";"56.2"
"TG";"54.0"
"TO";"70.4"
"TT";"68.4"
"TN";"72.3"
"TR";"68.2"
"TM";"63.4"
"UG";"44.4"
"UA";"67.5"
"AE";"73.4"
"GB";"77.0"
"US";"76.3"
"UY";"74.1"
"UZ";"66.7"
"VU";"66.2"
"VE";"71.5"
"VN";"72.5"
"YE";"59.7"
"ZM";"42.2"
"ZW";"46.1"
