;indicadoressociais_11
"AF";"55.5"
"AL";"74.6"
"DZ";"70.6"
"AD";"79.2"
"AO";"46.0"
"AG";"73.8"
"AR";"74.0"
"AM";"72.0"
"AU";"79.8"
"AT";"78.4"
"AZ";"67.2"
"BS";"72.7"
"BH";"74.7"
"BD";"65.9"
"BB";"73.5"
"BY";"67.5"
"BE";"78.0"
"BZ";"68.4"
"BJ";"55.5"
"BT";"61.6"
"BO";"61.3"
"BA";"74.6"
"BW";"48.7"
"BR";"70.5"
"BN";"75.4"
"BG";"71.6"
"BF";"50.9"
"BI";"51.8"
"CV";"70.3"
"KH";"59.3"
"CM";"51.8"
"CA";"79.3"
"CF";"44.4"
"TD";"47.6"
"CL";"77.3"
"CN";"72.1"
"CO";"71.3"
"KM";"59.5"
"CG";"50.8"
"CD";"50.7"
"CR";"77.6"
"HR";"74.9"
"CU";"76.9"
"CY";"78.1"
"CZ";"75.0"
"CI";"46.6"
"DK";"76.9"
"DJ";"57.1"
"DM";"76.6"
"DO";"70.8"
"EC";"73.2"
"EG";"68.8"
"SV";"69.1"
"GQ";"52.4"
"ER";"56.6"
"EE";"70.8"
"ET";"52.6"
"FJ";"67.7"
"FI";"77.9"
"FR";"79.1"
"GA";"59.2"
"GM";"56.0"
"GE";"72.1"
"DE";"78.2"
"GH";"57.2"
"GR";"78.7"
"GD";"70.6"
"GT";"68.3"
"GN";"51.3"
"GW";"51.6"
"GY";"65.1"
"HT";"58.0"
"HN";"70.7"
"HK";"80.7"
"HU";"72.1"
"IS";"80.0"
"IN";"63.0"
"ID";"66.5"
"IR";"70.5"
"IQ";"69.1"
"IE";"77.0"
"IL";"79.2"
"IT";"79.7"
"JM";"72.5"
"JP";"81.4"
"JO";"71.9"
"KZ";"63.8"
"KE";"50.9"
"KI";"64.2"
"";"66.1"
"KR";"76.6"
"KW";"73.2"
"KG";"66.3"
"LA";"59.5"
"LV";"70.1"
"LB";"74.9"
"LS";"45.7"
"LR";"52.5"
"LY";"70.6"
"LI";"78.3"
"LT";"71.2"
"LU";"77.9"
"MG";"59.1"
"MW";"44.5"
"MY";"73.0"
"MV";"70.8"
"ML";"49.4"
"MT";"78.2"
"MR";"60.2"
"MU";"71.5"
"MX";"74.6"
"FM";"67.4"
"MD";"67.2"
"MN";"63.3"
"ME";"73.2"
"MA";"68.9"
"MZ";"49.1"
"MM";"62.5"
"NA";"54.5"
"NP";"63.1"
"NL";"78.4"
"NZ";"78.5"
"NI";"70.2"
"NE";"51.4"
"NG";"46.9"
"NO";"78.9"
"OM";"72.6"
"PK";"63.0"
"PW";"68.0"
"";"70.9"
"PA";"75.3"
"PG";"59.1"
"PY";"70.3"
"PE";"71.0"
"PH";"66.8"
"PL";"74.0"
"PT";"76.9"
"QA";"76.3"
"RO";"70.8"
"RU";"65.0"
"RW";"49.4"
"KN";"70.5"
"LC";"71.7"
"VC";"70.6"
"WS";"69.7"
"ST";"63.5"
"SA";"72.6"
"SN";"58.2"
"RS";"72.2"
"SC";"71.9"
"SL";"39.7"
"SG";"78.7"
"SK";"73.5"
"SI";"76.2"
"SB";"63.4"
"SO";"51.2"
"ZA";"54.6"
"SS";"49.6"
"ES";"79.3"
"LK";"71.8"
"SD";"58.3"
"SR";"67.9"
"SZ";"47.5"
"SE";"79.8"
"CH";"80.1"
"SY";"73.0"
"TJ";"63.9"
"TZ";"51.3"
"TH";"70.8"
"MK";"73.5"
"TL";"60.3"
"TG";"53.6"
"TO";"70.9"
"TT";"68.6"
"TN";"73.4"
"TR";"70.6"
"TM";"64.0"
"UG";"47.5"
"UA";"67.3"
"AE";"74.4"
"GB";"77.9"
"US";"76.9"
"UY";"75.0"
"UZ";"67.1"
"VU";"67.8"
"VE";"72.5"
"VN";"73.5"
"YE";"60.6"
"ZM";"44.3"
"ZW";"41.0"
