;indicadoressociais_10
"AF";"0.332"
"AL";"0.636"
"DZ";"0.617"
"AD";"99999999999998"
"AO";"99999999999998"
"AG";"99999999999998"
"AR";"0.746"
"AM";"0.618"
"AU";"0.891"
"AT";"0.823"
"AZ";"0.615"
"BS";"99999999999998"
"BH";"0.779"
"BD";"0.441"
"BB";"0.738"
"BY";"0.666"
"BE";"0.861"
"BZ";"0.661"
"BJ";"0.380"
"BT";"99999999999998"
"BO";"0.579"
"BA";"99999999999998"
"BW";"0.572"
"BR";"0.664"
"BN";"0.810"
"BG";"0.704"
"BF";"99999999999998"
"BI";"0.264"
"CV";"99999999999998"
"KH";"0.397"
"CM";"0.434"
"CA";"0.862"
"CF";"0.307"
"TD";"99999999999998"
"CL";"0.742"
"CN";"0.565"
"CO";"0.643"
"KM";"99999999999998"
"CG";"0.493"
"CD";"0.333"
"CR";"0.693"
"HR";"0.719"
"CU";"0.669"
"CY";"0.791"
"CZ";"0.802"
"CI";"0.392"
"DK";"0.842"
"DJ";"0.356"
"DM";"99999999999998"
"DO";"0.640"
"EC";"0.668"
"EG";"0.592"
"SV";"0.595"
"GQ";"99999999999998"
"ER";"99999999999998"
"EE";"0.746"
"ET";"99999999999998"
"FJ";"0.675"
"FI";"0.830"
"FR";"0.834"
"GA";"0.638"
"GM";"0.363"
"GE";"99999999999998"
"DE";"0.845"
"GH";"0.476"
"GR";"0.782"
"GD";"99999999999998"
"GT";"0.523"
"GN";"0.302"
"GW";"99999999999998"
"GY";"0.597"
"HT";"0.432"
"HN";"0.543"
"HK";"0.815"
"HU";"0.747"
"IS";"0.833"
"IN";"0.474"
"ID";"0.590"
"IR";"0.648"
"IQ";"0.582"
"IE";"0.809"
"IL";"0.831"
"IT";"0.812"
"JM";"0.677"
"JP";"0.846"
"JO";"0.693"
"KZ";"0.670"
"KE";"0.452"
"KI";"99999999999998"
"KR";"0.802"
"KW";"0.775"
"KG";"0.576"
"LA";"0.445"
"LV";"0.693"
"LB";"99999999999998"
"LS";"0.468"
"LR";"99999999999998"
"LY";"0.720"
"LI";"99999999999998"
"LT";"0.724"
"LU";"0.826"
"MG";"99999999999998"
"MW";"0.388"
"MY";"0.706"
"MV";"0.547"
"ML";"0.271"
"MT";"0.767"
"MR";"0.429"
"MU";"0.656"
"MX";"0.683"
"FM";"99999999999998"
"MD";"0.593"
"MN";"0.567"
"ME";"99999999999998"
"MA";"0.503"
"MZ";"0.267"
"MM";"0.405"
"NA";"0.574"
"NP";"0.426"
"NL";"0.867"
"NZ";"0.860"
"NI";"0.543"
"NE";"0.240"
"NG";"99999999999998"
"NO";"0.895"
"OM";"99999999999998"
"PK";"0.437"
"PW";"99999999999998"
"PA";"0.702"
"PG";"0.409"
"PY";"0.618"
"PE";"0.654"
"PH";"0.609"
"PL";"0.759"
"PT";"0.772"
"QA";"0.800"
"RO";"0.695"
"RU";"0.704"
"RW";"0.285"
"KN";"99999999999998"
"LC";"99999999999998"
"VC";"99999999999998"
"WS";"0.629"
"ST";"0.479"
"SA";"0.731"
"SN";"0.372"
"RS";"0.703"
"SC";"99999999999998"
"SL";"0.279"
"SG";"0.795"
"SK";"0.756"
"SI";"0.796"
"SB";"99999999999998"
"ZA";"0.647"
"SS";"99999999999998"
"ES";"0.810"
"LK";"0.662"
"SD";"0.382"
"SR";"99999999999998"
"SZ";"0.533"
"SE";"0.862"
"CH";"0.863"
"SY";"0.586"
"TJ";"0.526"
"TZ";"0.371"
"TH";"0.625"
"MK";"99999999999998"
"TL";"99999999999998"
"TG";"0.424"
"TO";"0.672"
"TT";"0.696"
"TN";"0.624"
"TR";"0.621"
"TM";"99999999999998"
"UG";"0.351"
"UA";"0.663"
"AE";"0.778"
"GB";"0.849"
"US";"0.881"
"UY";"0.727"
"UZ";"99999999999998"
"VU";"99999999999998"
"VE";"0.664"
"VN";"0.542"
"YE";"0.428"
"ZM";"0.411"
"ZW";"0.451"
