;indicadoressociais_10
"AF";"0.341"
"AL";"0.670"
"DZ";"0.653"
"AD";"99999999999998"
"AO";"0.401"
"AG";"99999999999998"
"AR";"0.776"
"AM";"0.645"
"AU";"0.902"
"AT";"0.847"
"AZ";"0.651"
"BS";"0.781"
"BH";"0.796"
"BD";"0.476"
"BB";"0.749"
"BY";"0.687"
"BE";"0.875"
"BZ";"0.678"
"BJ";"0.407"
"BT";"99999999999998"
"BO";"0.610"
"BA";"99999999999998"
"BW";"0.558"
"BR";"0.692"
"BN";"0.820"
"BG";"0.723"
"BF";"99999999999998"
"BI";"0.268"
"CV";"0.569"
"KH";"0.427"
"CM";"0.452"
"CA";"0.872"
"CF";"0.315"
"TD";"0.303"
"CL";"0.768"
"CN";"0.600"
"CO";"0.656"
"KM";"99999999999998"
"CG";"0.488"
"CD";"0.332"
"CR";"0.712"
"HR";"0.759"
"CU";"0.692"
"CY";"0.805"
"CZ";"0.828"
"CI";"0.397"
"DK";"0.875"
"DJ";"0.372"
"DM";"0.699"
"DO";"0.660"
"EC";"0.675"
"EG";"0.617"
"SV";"0.621"
"GQ";"0.542"
"ER";"99999999999998"
"EE";"0.791"
"ET";"0.298"
"FJ";"0.687"
"FI";"0.863"
"FR";"0.851"
"GA";"0.636"
"GM";"0.392"
"GE";"0.677"
"DE";"0.867"
"GH";"0.484"
"GR";"0.811"
"GD";"99999999999998"
"GT";"0.553"
"GN";"0.329"
"GW";"99999999999998"
"GY";"0.609"
"HT";"0.444"
"HN";"0.561"
"HK";"0.833"
"HU";"0.775"
"IS";"0.859"
"IN";"0.499"
"ID";"0.608"
"IR";"0.674"
"IQ";"0.614"
"IE";"0.862"
"IL";"0.855"
"IT";"0.836"
"JM";"0.690"
"JP";"0.860"
"JO";"0.712"
"KZ";"0.700"
"KE";"0.451"
"KI";"99999999999998"
"KR";"0.826"
"KW";"0.785"
"KG";"0.601"
"LA";"0.468"
"LV";"0.746"
"LB";"99999999999998"
"LS";"0.446"
"LR";"0.376"
"LY";"0.736"
"LI";"0.868"
"LT";"0.770"
"LU";"0.860"
"MG";"0.462"
"MW";"0.388"
"MY";"0.723"
"MV";"0.597"
"ML";"0.308"
"MT";"0.786"
"MR";"0.446"
"MU";"0.683"
"MX";"0.703"
"FM";"0.608"
"MD";"0.607"
"MN";"0.599"
"ME";"99999999999998"
"MA";"0.540"
"MZ";"0.311"
"MM";"0.435"
"NA";"0.556"
"NP";"0.447"
"NL";"0.882"
"NZ";"0.873"
"NI";"0.577"
"NE";"0.261"
"NG";"99999999999998"
"NO";"0.916"
"OM";"0.716"
"PK";"0.457"
"PW";"0.746"
"PA";"0.725"
"PG";"0.428"
"PY";"0.632"
"PE";"0.686"
"PH";"0.625"
"PL";"0.790"
"PT";"0.788"
"QA";"0.807"
"RO";"0.714"
"RU";"0.727"
"RW";"0.343"
"KN";"99999999999998"
"LC";"0.681"
"VC";"0.677"
"WS";"0.653"
"ST";"0.501"
"SA";"0.745"
"SN";"0.397"
"RS";"0.715"
"SC";"0.712"
"SL";"0.306"
"SG";"0.818"
"SK";"0.763"
"SI";"0.835"
"SB";"0.446"
"ZA";"0.620"
"SS";"99999999999998"
"ES";"0.828"
"LK";"0.699"
"SD";"0.403"
"SR";"99999999999998"
"SZ";"0.502"
"SE";"0.880"
"CH";"0.890"
"SY";"0.596"
"TJ";"0.543"
"TZ";"0.399"
"TH";"0.657"
"MK";"99999999999998"
"TL";"0.475"
"TG";"0.428"
"TO";"0.679"
"TT";"0.721"
"TN";"0.662"
"TR";"0.658"
"TM";"99999999999998"
"UG";"0.404"
"UA";"0.683"
"AE";"0.803"
"GB";"0.870"
"US";"0.887"
"UY";"0.746"
"UZ";"0.600"
"VU";"99999999999998"
"VE";"0.684"
"VN";"0.584"
"YE";"0.450"
"ZM";"0.433"
"ZW";"0.427"
