;economia_23
"AF";"4.1"
"AL";"99999999999998"
"AD";"3.2"
"AO";"99999999999998"
"AR";"5.0"
"AM";"3.1"
"AU";"5.1"
"AT";"5.6"
"AZ";"2.4"
"BS";"99999999999998"
"BH";"99999999999998"
"BD";"99999999999998"
"BB";"99999999999998"
"BY";"4.8"
"BE";"6.4"
"BZ";"99999999999998"
"BJ";"99999999999998"
"BT";"4.7"
"BO";"6.9"
"BW";"99999999999998"
"BR";"5.7"
"BN";"3.7"
"BG";"3.6"
"BF";"4.5"
"BI";"6.0"
"CV";"5.0"
"KH";"99999999999998"
"CM";"3.1"
"CA";"5.3"
"CF";"1.2"
"TD";"2.3"
"CL";"4.1"
"CN";"99999999999998"
"CO";"4.5"
"KM";"5.1"
"CG";"99999999999998"
"CD";"99999999999998"
"CR";"6.6"
"HR";"4.2"
"CU";"99999999999998"
"CY";"6.6"
"CZ";"4.3"
"CI";"99999999999998"
"DK";"8.5"
"DJ";"99999999999998"
"DO";"99999999999998"
"EC";"4.3"
"EG";"99999999999998"
"SV";"3.4"
"EE";"5.0"
"ET";"5.5"
"FJ";"4.2"
"FI";"6.5"
"FR";"5.5"
"GA";"99999999999998"
"GM";"3.9"
"GE";"2.7"
"DE";"4.8"
"GH";"8.1"
"GR";"99999999999998"
"GT";"2.9"
"GN";"3.1"
"GW";"1.8"
"GY";"3.6"
"HN";"99999999999998"
"HK";"3.4"
"HU";"4.6"
"IS";"7.0"
"IN";"3.7"
"ID";"3.2"
"IR";"3.7"
"IE";"5.8"
"IL";"5.6"
"IT";"4.1"
"JM";"6.3"
"JP";"3.8"
"KZ";"99999999999998"
"KE";"99999999999998"
"KI";"99999999999998"
"KR";"99999999999998"
"KW";"99999999999998"
"KG";"6.8"
"LA";"99999999999998"
"LV";"5.0"
"LB";"1.6"
"LS";"99999999999998"
"LR";"99999999999998"
"LI";"2.6"
"LT";"5.1"
"LU";"99999999999998"
"MG";"2.8"
"MW";"5.4"
"MY";"5.8"
"MV";"6.0"
"ML";"4.6"
"MT";"8.0"
"MR";"3.1"
"MU";"3.4"
"MX";"5.2"
"FM";"99999999999998"
"MD";"8.6"
"MC";"1.6"
"MN";"4.6"
"MA";"99999999999998"
"MZ";"99999999999998"
"MM";"99999999999998"
"NA";"99999999999998"
"NP";"99999999999998"
"NL";"5.5"
"NZ";"7.0"
"NI";"99999999999998"
"NE";"4.2"
"NO";"6.5"
"OM";"99999999999998"
"PK";"2.2"
"PW";"99999999999998"
"PA";"3.3"
"PY";"5.0"
"PE";"2.7"
"PH";"99999999999998"
"PL";"4.8"
"PT";"5.1"
"QA";"4.0"
"RO";"3.0"
"RU";"99999999999998"
"RW";"4.7"
"KN";"99999999999998"
"LC";"4.3"
"VC";"99999999999998"
"WS";"99999999999998"
"SM";"2.4"
"ST";"99999999999998"
"SA";"99999999999998"
"SN";"99999999999998"
"RS";"4.5"
"SC";"3.6"
"SL";"2.7"
"SG";"3.1"
"SK";"4.0"
"SI";"5.6"
"SB";"99999999999998"
"ZA";"6.0"
"SS";"0.8"
"ES";"4.9"
"LK";"1.8"
"SD";"99999999999998"
"SZ";"8.6"
"SE";"6.5"
"CH";"5.0"
"TJ";"3.9"
"TZ";"99999999999998"
"TH";"4.8"
"MK";"99999999999998"
"TL";"9.3"
"TG";"4.4"
"TO";"99999999999998"
"TT";"99999999999998"
"TN";"99999999999998"
"TR";"99999999999998"
"TM";"99999999999998"
"TV";"99999999999998"
"UG";"2.7"
"UA";"6.2"
"GB";"5.8"
"US";"5.2"
"UY";"4.4"
"VU";"99999999999998"
"VE";"99999999999998"
"VN";"99999999999998"
"YE";"99999999999998"
"ZM";"99999999999998"
"ZW";"99999999999998"
