;economia_24
"AF";"99999999999998"
"AL";"1.7"
"DZ";"2.7"
"AD";"4.0"
"AO";"4.7"
"AG";"2.7"
"AR";"5.0"
"AM";"2.0"
"AU";"4.8"
"AT";"7.1"
"AZ";"1.4"
"BS";"2.7"
"BH";"2.8"
"BD";"1.2"
"BB";"3.5"
"BY";"4.8"
"BE";"5.8"
"BZ";"2.6"
"BJ";"2.1"
"BT";"2.7"
"BO";"2.1"
"BA";"3.4"
"BW";"2.1"
"BR";"2.8"
"BN";"2.3"
"BG";"3.5"
"BF";"1.9"
"BI";"1.3"
"CV";"4.3"
"KH";"1.1"
"CM";"0.9"
"CA";"6.3"
"CF";"1.4"
"TD";"2.0"
"CL";"2.5"
"CN";"1.8"
"CO";"3.7"
"KM";"2.9"
"CG";"1.9"
"CD";"0.2"
"CR";"5.0"
"HR";"5.8"
"CU";"4.6"
"CY";"1.7"
"CZ";"6.1"
"CI";"1.6"
"DK";"6.7"
"DJ";"2.4"
"DM";"4.2"
"DO";"1.2"
"EC";"1.9"
"EG";"1.6"
"SV";"2.5"
"GQ";"3.9"
"ER";"2.2"
"EE";"5.7"
"ET";"1.2"
"FJ";"2.5"
"FI";"5.6"
"FR";"8.1"
"GA";"1.3"
"GM";"1.0"
"GE";"0.3"
"DE";"7.7"
"GH";"1.6"
"GR";"4.3"
"GD";"3.0"
"GT";"1.6"
"GN";"1.2"
"GW";"1.6"
"GY";"4.1"
"HT";"2.7"
"HN";"2.9"
"HU";"6.1"
"IS";"6.9"
"IN";"1.1"
"ID";"0.7"
"IR";"1.7"
"IQ";"99999999999998"
"IE";"4.7"
"IL";"5.0"
"IT";"5.0"
"JM";"2.2"
"JP";"5.5"
"JO";"5.3"
"KZ";"3.0"
"KE";"2.0"
"KI";"9.0"
"KR";"1.4"
"KW";"3.1"
"KG";"3.1"
"LA";"2.2"
"LV";"3.8"
"LB";"4.2"
"LS";"3.6"
"LR";"99999999999998"
"LY";"1.5"
"LT";"4.0"
"LU";"5.1"
"MG";"1.4"
"MW";"1.9"
"MY";"1.7"
"MV";"3.7"
"ML";"2.6"
"MT";"3.8"
"MH";"28.1"
"MR";"2.2"
"MU";"2.0"
"MX";"2.1"
"FM";"8.7"
"MD";"5.8"
"MC";"2.8"
"MN";"2.6"
"ME";"5.2"
"MA";"1.2"
"MZ";"3.4"
"MM";"0.4"
"NA";"4.4"
"NR";"12.3"
"NP";"1.4"
"NL";"5.3"
"NZ";"5.4"
"NI";"4.2"
"NE";"1.5"
"NG";"0.7"
"NO";"6.5"
"OM";"3.1"
"PK";"0.7"
"PW";"8.7"
"PA";"5.2"
"PG";"2.5"
"PY";"2.1"
"PE";"2.4"
"PH";"1.4"
"PL";"3.9"
"PT";"4.6"
"QA";"2.3"
"RO";"2.4"
"RU";"4.0"
"RW";"1.6"
"KN";"3.2"
"LC";"3.0"
"VC";"3.8"
"WS";"3.4"
"SM";"4.6"
"ST";"2.8"
"SA";"1.5"
"SN";"1.3"
"RS";"4.3"
"SC";"4.2"
"SL";"2.4"
"SG";"1.5"
"SK";"5.4"
"SI";"5.8"
"SB";"3.0"
"ZA";"3.4"
"SS";"99999999999998"
"ES";"5.4"
"LK";"1.6"
"SD";"0.8"
"SR";"4.5"
"SZ";"2.8"
"SE";"6.9"
"CH";"5.0"
"SY";"2.2"
"TJ";"1.3"
"TZ";"1.4"
"TH";"2.0"
"MK";"5.0"
"TL";"99999999999998"
"TG";"1.5"
"TO";"2.7"
"TT";"2.6"
"TN";"2.9"
"TR";"1.8"
"TM";"1.9"
"TV";"8.0"
"UG";"1.4"
"UA";"5.1"
"AE";"2.1"
"GB";"5.6"
"US";"5.9"
"UY";"3.9"
"UZ";"3.6"
"VU";"2.1"
"VE";"1.8"
"VN";"1.8"
"YE";"1.4"
"ZM";"2.2"
"ZW";"99999999999998"
