;economia_24
"AF";"99999999999998"
"AL";"2.3"
"DZ";"2.6"
"AD";"4.0"
"AO";"1.7"
"AG";"2.8"
"AR";"5.0"
"AM";"1.1"
"AU";"5.4"
"AT";"7.5"
"AZ";"0.9"
"BS";"2.5"
"BH";"2.4"
"BD";"0.9"
"BB";"3.4"
"BY";"4.6"
"BE";"6.1"
"BZ";"2.1"
"BJ";"1.9"
"BT";"5.3"
"BO";"3.2"
"BA";"4.0"
"BW";"2.9"
"BR";"2.8"
"BN";"2.6"
"BG";"3.7"
"BF";"2.0"
"BI";"1.4"
"CV";"3.5"
"KH";"1.3"
"CM";"0.9"
"CA";"6.1"
"CF";"2.1"
"TD";"2.7"
"CL";"3.3"
"CN";"1.8"
"CO";"4.7"
"KM";"1.5"
"CG";"1.2"
"CD";"0.0"
"CR";"5.6"
"HR";"6.6"
"CU";"5.5"
"CY";"2.4"
"CZ";"5.7"
"CI";"1.8"
"DK";"7.3"
"DJ";"3.9"
"DM";"3.3"
"DO";"2.2"
"EC";"0.9"
"EG";"2.2"
"SV";"3.8"
"GQ";"2.2"
"ER";"1.6"
"EE";"4.1"
"ET";"2.4"
"FJ";"3.2"
"FI";"5.1"
"FR";"7.8"
"GA";"1.2"
"GM";"1.2"
"GE";"1.2"
"DE";"8.0"
"GH";"1.5"
"GR";"4.6"
"GD";"3.4"
"GT";"1.9"
"GN";"1.1"
"GW";"0.5"
"GY";"5.0"
"HT";"1.7"
"HN";"3.6"
"HU";"5.0"
"IS";"7.5"
"IN";"1.1"
"ID";"0.7"
"IR";"1.9"
"IQ";"99999999999998"
"IE";"4.5"
"IL";"4.5"
"IT";"5.7"
"JM";"3.2"
"JP";"6.1"
"JO";"4.6"
"KZ";"2.1"
"KE";"2.2"
"KI";"7.6"
"KR";"2.1"
"KW";"1.9"
"KG";"2.1"
"LA";"1.1"
"LV";"3.3"
"LB";"3.2"
"LS";"3.5"
"LR";"1.4"
"LY";"1.7"
"LT";"4.5"
"LU";"6.4"
"MG";"2.6"
"MW";"2.8"
"MY";"1.7"
"MV";"5.1"
"ML";"2.1"
"MT";"4.7"
"MH";"19.2"
"MR";"2.8"
"MU";"2.0"
"MX";"2.3"
"FM";"7.4"
"MD";"3.2"
"MC";"2.9"
"MN";"3.8"
"ME";"5.2"
"MA";"1.2"
"MZ";"4.3"
"MM";"0.3"
"NA";"4.2"
"NR";"12.5"
"NP";"1.4"
"NL";"4.7"
"NZ";"5.8"
"NI";"2.9"
"NE";"1.5"
"NG";"0.9"
"NO";"6.8"
"OM";"2.5"
"PK";"0.6"
"PW";"6.4"
"PA";"5.3"
"PG";"3.3"
"PY";"3.2"
"PE";"2.7"
"PH";"1.5"
"PL";"3.9"
"PT";"6.2"
"QA";"1.6"
"RO";"3.5"
"RU";"3.2"
"RW";"1.7"
"KN";"2.6"
"LC";"2.9"
"VC";"3.1"
"WS";"4.1"
"SM";"4.4"
"ST";"3.8"
"SA";"3.1"
"SN";"1.9"
"RS";"4.3"
"SC";"3.8"
"SL";"3.5"
"SG";"1.2"
"SK";"4.9"
"SI";"6.1"
"SB";"4.3"
"ZA";"3.3"
"SS";"99999999999998"
"ES";"5.2"
"LK";"1.8"
"SD";"0.9"
"SR";"5.6"
"SZ";"3.0"
"SE";"6.9"
"CH";"5.5"
"SY";"2.0"
"TJ";"0.9"
"TZ";"1.1"
"TH";"2.3"
"MK";"4.8"
"TL";"1.2"
"TG";"1.4"
"TO";"3.4"
"TT";"2.0"
"TN";"3.0"
"TR";"3.1"
"TM";"3.2"
"TV";"15.7"
"UG";"1.8"
"UA";"2.9"
"AE";"1.7"
"GB";"5.5"
"US";"5.7"
"UY";"2.7"
"UZ";"2.5"
"VU";"2.7"
"VE";"2.2"
"VN";"1.5"
"YE";"2.2"
"ZM";"3.7"
"ZW";"4.4"
