;economia_22
"AF";"99999999999998"
"AL";"99999999999998"
"DZ";"99999999999998"
"AS";"99999999999998"
"AD";"99999999999998"
"AO";"99999999999998"
"AG";"99999999999998"
"AR";"99999999999998"
"AM";"0.25"
"AW";"99999999999998"
"AU";"99999999999998"
"AT";"3.07"
"AZ";"0.22"
"BS";"99999999999998"
"BH";"99999999999998"
"BD";"99999999999998"
"BB";"99999999999998"
"BY";"0.52"
"BE";"2.46"
"BZ";"99999999999998"
"BJ";"99999999999998"
"BM";"0.22"
"BT";"99999999999998"
"BO";"99999999999998"
"BA";"0.22"
"BW";"99999999999998"
"BR";"99999999999998"
"VG";"99999999999998"
"BN";"99999999999998"
"BG";"0.96"
"BF";"99999999999998"
"BI";"99999999999998"
"CV";"99999999999998"
"KH";"0.12"
"CM";"99999999999998"
"CA";"99999999999998"
"KY";"99999999999998"
"CF";"99999999999998"
"TD";"99999999999998"
"CL";"0.38"
"CN";"2.07"
"CO";"0.24"
"KM";"99999999999998"
"CD";"99999999999998"
"CG";"99999999999998"
"CR";"99999999999998"
"CI";"99999999999998"
"HR";"0.85"
"CU";"0.43"
"CW";"99999999999998"
"CY";"0.46"
"CZ";"1.95"
"DK";"3.01"
"DJ";"99999999999998"
"DM";"99999999999998"
"DO";"99999999999998"
"EC";"99999999999998"
"EG";"0.72"
"SV";"0.13"
"GQ";"99999999999998"
"ER";"99999999999998"
"EE";"1.50"
"ET";"99999999999998"
"FO";"99999999999998"
"FJ";"99999999999998"
"FI";"2.90"
"FR";"2.23"
"PF";"99999999999998"
"GA";"99999999999998"
"GM";"99999999999998"
"GE";"0.32"
"DE";"2.88"
"GH";"99999999999998"
"GI";"99999999999998"
"GR";"0.96"
"GL";"99999999999998"
"GD";"99999999999998"
"GU";"99999999999998"
"GT";"99999999999998"
"GN";"99999999999998"
"GW";"99999999999998"
"GY";"99999999999998"
"HT";"99999999999998"
"HN";"99999999999998"
"HK";"0.76"
"HU";"1.38"
"IS";"2.21"
"IN";"0.63"
"ID";"99999999999998"
"IR";"99999999999998"
"IQ";"0.04"
"IE";"99999999999998"
"IM";"99999999999998"
"IL";"4.27"
"IT";"1.33"
"JM";"99999999999998"
"JP";"3.28"
"JO";"99999999999998"
"KZ";"0.17"
"KE";"99999999999998"
"KI";"99999999999998"
"KP";"99999999999998"
"KR";"4.23"
"XK";"99999999999998"
"KW";"99999999999998"
"KG";"0.12"
"LA";"99999999999998"
"LV";"0.63"
"LB";"99999999999998"
"LS";"0.05"
"LR";"99999999999998"
"LY";"99999999999998"
"LI";"99999999999998"
"LT";"1.04"
"LU";"1.29"
"MO";"0.13"
"MK";"0.44"
"MG";"99999999999998"
"MW";"99999999999998"
"MY";"1.30"
"MV";"99999999999998"
"ML";"99999999999998"
"MT";"0.77"
"MH";"99999999999998"
"MR";"99999999999998"
"MU";"99999999999998"
"MX";"0.55"
"FM";"99999999999998"
"MD";"0.37"
"MC";"99999999999998"
"MN";"0.16"
"ME";"0.38"
"MA";"99999999999998"
"MZ";"0.34"
"MM";"99999999999998"
"NA";"99999999999998"
"NR";"99999999999998"
"NP";"99999999999998"
"NL";"2.01"
"NC";"99999999999998"
"NZ";"99999999999998"
"NI";"0.11"
"NE";"99999999999998"
"NG";"99999999999998"
"MP";"99999999999998"
"NO";"1.93"
"OM";"0.25"
"PK";"0.25"
"PW";"99999999999998"
"PA";"99999999999998"
"PG";"99999999999998"
"PY";"0.13"
"PE";"0.12"
"PH";"99999999999998"
"PL";"1.00"
"PT";"1.28"
"PR";"0.43"
"QA";"99999999999998"
"RO";"0.49"
"RU";"1.13"
"RW";"99999999999998"
"WS";"99999999999998"
"SM";"99999999999998"
"ST";"99999999999998"
"SA";"99999999999998"
"SN";"99999999999998"
"RS";"0.87"
"SC";"99999999999998"
"SL";"99999999999998"
"SG";"99999999999998"
"SX";"99999999999998"
"SK";"1.18"
"SI";"2.21"
"SB";"99999999999998"
"SO";"99999999999998"
"ZA";"99999999999998"
"SS";"99999999999998"
"ES";"1.22"
"LK";"99999999999998"
"KN";"99999999999998"
"LC";"99999999999998"
"MF";"99999999999998"
"VC";"99999999999998"
"SD";"99999999999998"
"SR";"99999999999998"
"SE";"3.26"
"CH";"99999999999998"
"SY";"99999999999998"
"TJ";"0.11"
"TZ";"99999999999998"
"TH";"0.63"
"TL";"99999999999998"
"TG";"99999999999998"
"TO";"99999999999998"
"TT";"99999999999998"
"TN";"0.63"
"TR";"99999999999998"
"TM";"99999999999998"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"99999999999998"
"UA";"0.62"
"AE";"0.87"
"GB";"1.70"
"US";"2.79"
"UY";"99999999999998"
"UZ";"0.21"
"VU";"99999999999998"
"VE";"99999999999998"
"VN";"99999999999998"
"VI";"99999999999998"
"YE";"99999999999998"
"ZM";"99999999999998"
"ZW";"99999999999998"
