;populacao_2
"AF";"13381929"
"AL";"1529967"
"DZ";"17074632"
"AS";"29847"
"AD";"42427"
"AO";"9904947"
"AI";"6378"
"AG";"43345"
"AR";"19350587"
"AM";"1390331"
"AW";"47935"
"AU";"10272328"
"AT";"4028559"
"AZ";"4257657"
"BS";"164007"
"BH";"582042"
"BD";"73946805"
"BB";"132016"
"BY";"4464443"
"BE";"5211462"
"BZ";"145966"
"BJ";"4074233"
"BM";"31570"
"BT";"354265"
"BO";"4653865"
"BA";"1856777"
"BW";"930405"
"BR";"93226928"
"VG";"12196"
"BN";"189536"
"BG";"3710611"
"BF";"6829728"
"BI";"3773718"
"CV";"235998"
"KH";"6542648"
"CM";"8940451"
"CA";"16186765"
"KY";"24486"
"CF";"2071823"
"TD";"5204327"
"CL";"8073484"
"CN";"683601065"
"HK";"3275720"
"MO";"234651"
"TW";"11525797"
"CO";"21641187"
"KM";"315525"
"CG";"1920580"
"CK";"10071"
"CR";"2160017"
"CI";"9576845"
"HR";"2105078"
"CU";"5665973"
"CW";"61578"
"CY";"528419"
"CZ";"5022540"
"KP";"11749682"
"CD";"28105901"
"DK";"2697288"
"DJ";"400106"
"DM";"35361"
"DO";"4684888"
"EC";"6993589"
"EG";"39417459"
"SV";"2886273"
"GQ";"421843"
"ER";"2034079"
"EE";"626913"
"ET";"39339035"
"FO";"25072"
"FK";"1439"
"FJ";"422141"
"FI";"2584499"
"FR";"30218738"
"GF";"104240"
"PF";"132170"
"GA";"726202"
"GM";"739141"
"GE";"2097900"
"DE";"39869913"
"GH";"11021621"
"GI";"15782"
"GR";"5608773"
"GL";"30300"
"GD";"51380"
"GP";"213340"
"GU";"80833"
"GT";"6571634"
"GN";"4941040"
"GW";"690110"
"GY";"375601"
"HT";"4649686"
"VA";"376"
"HN";"3754638"
"HU";"4770757"
"IS";"150457"
"IN";"602414125"
"ID";"115500476"
"IR";"36344028"
"IQ";"14000369"
"IE";"2149516"
"IM";"37571"
"IL";"3333088"
"IT";"28742479"
"JM";"1366187"
"JP";"62912483"
"JO";"3055454"
"KZ";"7564358"
"KE";"18410615"
"KI";"46434"
"KW";"1399621"
"KG";"2540132"
"LA";"2901432"
"LV";"1019820"
"LB";"2067312"
"LS";"950773"
"LR";"1693665"
"LY";"3027531"
"LI";"17297"
"LT";"1531769"
"LU";"229940"
"MG";"9401628"
"MW";"6630300"
"MY";"13413779"
"MV";"173970"
"ML";"6589364"
"MT";"203318"
"MH";"26392"
"MQ";"185013"
"MR";"1614018"
"MU";"608664"
"YT";"90393"
"MX";"54763986"
"FM";"252649"
"MC";"16720"
"MN";"1271820"
"ME";"303619"
"MS";"2401"
"MA";"15237076"
"MZ";"10420104"
"MM";"23856078"
"NA";"997846"
"NR";"4996"
"NP";"12838038"
"NL";"8154630"
"NC";"119023"
"NZ";"2051005"
"NI";"2689062"
"NE";"7045342"
"NG";"72038835"
"NU";"845"
"MP";"29409"
"NO";"2321035"
"OM";"1474272"
"PK";"80935684"
"PW";"10820"
"PA";"1706359"
"PG";"3289414"
"PY";"2979931"
"PE";"13965643"
"PH";"44161116"
"PL";"18556359"
"PT";"5120845"
"PR";"1802792"
"QA";"705631"
"KR";"24524436"
"MD";"1986288"
"RE";"392159"
"RO";"10346447"
"RU";"66629367"
"RW";"4501343"
"SH";"2150"
"KN";"24271"
"LC";"80962"
"PM";"3098"
"VC";"55002"
"WS";"93692"
"SM";"14637"
"ST";"79215"
"SA";"13718517"
"SN";"5664554"
"RS";"4483738"
"SC";"45095"
"SL";"2885199"
"SG";"2285728"
"SX";"15643"
"SK";"2617053"
"SI";"980005"
"SB";"245612"
"SO";"5363191"
"ZA";"24229840"
"SS";"4226625"
"ES";"22080434"
"LK";"9671620"
"PS";"1855837"
"SD";"15834206"
"SR";"253925"
"SZ";"542655"
"SE";"4514399"
"CH";"3665404"
"SY";"9637505"
"TJ";"3525766"
"MK";"1030937"
"TH";"32349484"
"TL";"531749"
"TG";"2901556"
"TK";"565"
"TO";"50921"
"TT";"645737"
"TN";"5072486"
"TR";"33836452"
"TM";"2366014"
"TC";"13933"
"TV";"4930"
"UG";"14639703"
"UA";"21599421"
"AE";"3746921"
"GB";"29791474"
"TZ";"20040655"
"US";"146997185"
"VI";"51868"
"UY";"1607195"
"UZ";"13361713"
"VU";"109389"
"VE";"13626953"
"VN";"41922948"
"WF";"7191"
"EH";"238552"
"YE";"10691365"
"ZM";"6132272"
"ZW";"6399241"
