;populacao_2
"AF";"33163254"
"AL";"1294051"
"DZ";"29964461"
"AS";"27297"
"AD";"36413"
"AO";"42761856"
"AI";"7562"
"AG";"61122"
"AR";"27861458"
"AM";"1242517"
"AW";"50699"
"AU";"17174659"
"AT";"4351778"
"AZ";"5450712"
"BS";"236183"
"BH";"1458912"
"BD";"101220483"
"BB";"131652"
"BY";"3983968"
"BE";"6265591"
"BZ";"303187"
"BJ";"13305451"
"BM";"25079"
"BT";"513567"
"BO";"8218415"
"BA";"1462757"
"BW";"1754564"
"BR";"113150837"
"VG";"18341"
"BN";"274358"
"BG";"2544502"
"BF";"24304598"
"BI";"14427751"
"CV";"374212"
"KH";"11053845"
"CM";"27581491"
"CA";"22895069"
"KY";"41081"
"CF";"4759886"
"TD";"18731252"
"CL";"10372790"
"CN";"680721258"
"HK";"3772541"
"MO";"435624"
"TW";"10792381"
"CO";"26463420"
"KM";"791471"
"CG";"6443551"
"CK";"9030"
"CR";"2889850"
"CI";"28610549"
"HR";"1636134"
"CU";"5249022"
"CW";"88477"
"CY";"703332"
"CZ";"4928196"
"KP";"12915546"
"CD";"110853083"
"DK";"3193273"
"DJ";"660795"
"DM";"37521"
"DO";"6611768"
"EC";"11814431"
"EG";"81308353"
"SV";"3277398"
"GQ";"1672269"
"ER";"5233520"
"EE";"538738"
"ET";"101613877"
"FO";"28156"
"FK";"1396"
"FJ";"493242"
"FI";"2958377"
"FR";"35027120"
"GF";"294969"
"PF";"163685"
"GA";"1899029"
"GM";"2480166"
"GE";"1579265"
"DE";"38766451"
"GH";"27739362"
"GI";"18665"
"GR";"4762979"
"GL";"25782"
"GD";"53536"
"GP";"190789"
"GU";"97524"
"GT";"14065847"
"GN";"14933348"
"GW";"1948580"
"GY";"409120"
"HT";"6946771"
"VA";"387"
"HN";"6794808"
"HU";"3896355"
"IS";"198401"
"IN";"854230461"
"ID";"160360211"
"IR";"46439279"
"IQ";"45871266"
"IE";"2947281"
"IM";"49311"
"IL";"6727023"
"IT";"26452301"
"JM";"1279826"
"JP";"51175136"
"JO";"7567144"
"KZ";"11437180"
"KE";"51548259"
"KI";"92523"
"KW";"3159930"
"KG";"4117122"
"LA";"4632762"
"LV";"693689"
"LB";"2687037"
"LS";"1667418"
"LR";"5502308"
"LY";"4028016"
"LI";"21390"
"LT";"1102902"
"LU";"415276"
"MG";"29736293"
"MW";"23254716"
"MY";"21588805"
"MV";"330330"
"ML";"24883813"
"MT";"209990"
"MH";"33597"
"MQ";"153021"
"MR";"4958351"
"MU";"576585"
"YT";"266360"
"MX";"83061272"
"FM";"334267"
"MC";"23197"
"MN";"2039281"
"ME";"285778"
"MS";"2588"
"MA";"23137055"
"MZ";"37765329"
"MM";"30182682"
"NA";"2294548"
"NR";"5431"
"NP";"17901477"
"NL";"8712825"
"NC";"195195"
"NZ";"2872513"
"NI";"3961712"
"NE";"41115676"
"NG";"232904842"
"NU";"886"
"MP";"24394"
"NO";"3593706"
"OM";"4288448"
"PK";"163615421"
"PW";"14432"
"PA";"3012076"
"PG";"7470862"
"PY";"4540944"
"PE";"21165059"
"PH";"77786771"
"PL";"15058229"
"PT";"4187753"
"PR";"1535877"
"QA";"2667971"
"KR";"24062512"
"MD";"1468207"
"RE";"489319"
"RO";"7686463"
"RU";"61542643"
"RW";"11476525"
"SH";"1998"
"KN";"31002"
"LC";"86460"
"PM";"3636"
"VC";"52549"
"WS";"129402"
"SM";"16596"
"ST";"204509"
"SA";"24872158"
"SN";"18798477"
"RS";"3538205"
"SC";"45783"
"SL";"6846745"
"SG";"3195845"
"SX";"26045"
"SK";"2357656"
"SI";"943947"
"SB";"559542"
"SO";"20351950"
"ZA";"36430711"
"SS";"14001983"
"ES";"20876119"
"LK";"9514551"
"PS";"5354056"
"SD";"44106051"
"SR";"319610"
"SZ";"1060419"
"SE";"6007119"
"CH";"4959571"
"SY";"17820369"
"TJ";"7649538"
"MK";"936115"
"TH";"30466637"
"TL";"1336582"
"TG";"8336260"
"TK";"778"
"TO";"72757"
"TT";"599666"
"TN";"6972632"
"TR";"47484557"
"TM";"3944851"
"TC";"23926"
"TV";"7363"
"UG";"59720749"
"UA";"16516934"
"AE";"8666450"
"GB";"38289993"
"TZ";"78199320"
"US";"199476959"
"VI";"41241"
"UY";"1797163"
"UZ";"20539406"
"VU";"254524"
"VE";"20858179"
"VN";"56877567"
"WF";"5221"
"EH";"529566"
"YE";"25415751"
"ZM";"23262347"
"ZW";"15697115"
