;populacao_3
"AF";"3951800"
"AL";"689723"
"DZ";"4874740"
"AS";"9606"
"AD";"4533"
"AO";"2631702"
"AI";"3019"
"AG";"26746"
"AR";"9260804"
"AM";"816390"
"AW";"22455"
"AU";"4549627"
"AT";"3721479"
"AZ";"1754203"
"BS";"47296"
"BH";"62442"
"BD";"20256163"
"BB";"123299"
"BY";"4318119"
"BE";"4510854"
"BZ";"40605"
"BJ";"1216411"
"BM";"20936"
"BT";"96545"
"BO";"1702113"
"BA";"1504902"
"BW";"242342"
"BR";"31471176"
"VG";"3859"
"BN";"30670"
"BG";"3787903"
"BF";"2187177"
"BI";"1314129"
"CV";"103434"
"KH";"2524761"
"CM";"2395531"
"CA";"7762249"
"KY";"3486"
"CF";"710625"
"TD";"1394838"
"CL";"3503961"
"CN";"294877528"
"HK";"1210753"
"MO";"96336"
"TW";"4416846"
"CO";"7164525"
"KM";"88424"
"CG";"464347"
"CK";"7827"
"CR";"549407"
"CI";"1489111"
"HR";"2100544"
"CU";"3181416"
"CW";"58163"
"CY";"270426"
"CZ";"4807207"
"KP";"5493173"
"CD";"7119474"
"DK";"2236739"
"DJ";"35031"
"DM";"27661"
"DO";"1371449"
"EC";"1984147"
"EG";"11627329"
"SV";"1234974"
"GQ";"121954"
"ER";"629520"
"EE";"655189"
"ET";"10038710"
"FO";"15660"
"FK";"1100"
"FJ";"164337"
"FI";"2205590"
"FR";"22462267"
"GF";"13879"
"PF";"33177"
"GA";"247186"
"GM";"155379"
"GE";"1992002"
"DE";"38377983"
"GH";"2800962"
"GI";"12064"
"GR";"4105779"
"GL";"12914"
"GD";"43727"
"GP";"121083"
"GU";"23024"
"GT";"1791438"
"GN";"1668670"
"GW";"291145"
"GY";"242206"
"HT";"1794319"
"VA";"454"
"HN";"880557"
"HU";"5074955"
"IS";"78259"
"IN";"198657154"
"ID";"38941902"
"IR";"9421808"
"IQ";"3251513"
"IE";"1431658"
"IM";"28140"
"IL";"845662"
"IT";"24856269"
"JM";"790761"
"JP";"45244481"
"JO";"326741"
"KZ";"4138895"
"KE";"3470805"
"KI";"18555"
"KW";"70233"
"KG";"1000266"
"LA";"961529"
"LV";"1126244"
"LB";"761534"
"LS";"418547"
"LR";"491985"
"LY";"607546"
"LI";"7587"
"LT";"1428892"
"LU";"152144"
"MG";"2221337"
"MW";"1683296"
"MY";"3449210"
"MV";"35475"
"ML";"2446879"
"MT";"161723"
"MH";"6731"
"MQ";"127739"
"MR";"378887"
"MU";"286456"
"YT";"8757"
"MX";"16374789"
"FM";"76421"
"MC";"10901"
"MN";"434252"
"ME";"229880"
"MS";"7150"
"MA";"5275012"
"MZ";"3427212"
"MM";"9602862"
"NA";"271751"
"NR";"1815"
"NP";"4684201"
"NL";"5375551"
"NC";"32063"
"NZ";"1061023"
"NI";"757188"
"NE";"1585196"
"NG";"20587985"
"NU";"2420"
"MP";"3798"
"NO";"1723756"
"OM";"247522"
"PK";"18596034"
"PW";"4110"
"PA";"479681"
"PG";"875033"
"PY";"851019"
"PE";"4371515"
"PH";"11074898"
"PL";"14188390"
"PT";"4510499"
"PR";"1128186"
"QA";"16345"
"KR";"10784000"
"MD";"1400122"
"RE";"150564"
"RO";"8984441"
"RU";"62193515"
"RW";"1285733"
"SH";"2473"
"KN";"26534"
"LC";"43321"
"PM";"2363"
"VC";"38989"
"WS";"46003"
"SM";"6776"
"ST";"26141"
"SA";"1763526"
"SN";"1424027"
"RS";"3693136"
"SC";"20124"
"SL";"1103791"
"SG";"618623"
"SX";"1207"
"SK";"1943962"
"SI";"796722"
"SB";"46805"
"SO";"1257193"
"ZA";"7665960"
"SS";"1346184"
"ES";"15043723"
"LK";"4096765"
"PS";"480661"
"SD";"3278762"
"SR";"124041"
"SZ";"158439"
"SE";"3641204"
"CH";"2569612"
"SY";"1897421"
"TJ";"924496"
"MK";"689149"
"TH";"11838843"
"TL";"227411"
"TG";"747908"
"TK";"871"
"TO";"27278"
"TT";"368350"
"TN";"1981195"
"TR";"12129700"
"TM";"698761"
"TC";"3024"
"TV";"2882"
"UG";"2963511"
"UA";"22499776"
"AE";"39576"
"GB";"26525892"
"TZ";"4468263"
"US";"86447786"
"VI";"14957"
"UY";"1179387"
"UZ";"3805474"
"VU";"26433"
"VE";"3309446"
"VN";"14264207"
"WF";"3878"
"EH";"10114"
"YE";"2370797"
"ZM";"1325036"
"ZW";"1605588"
