;populacao_3
"AF";"10637846"
"AL";"1542645"
"DZ";"15790192"
"AS";"28755"
"AD";"33590"
"AO";"8985543"
"AI";"5925"
"AG";"45452"
"AR";"19354165"
"AM";"1609087"
"AW";"49506"
"AU";"9757255"
"AT";"4183003"
"AZ";"4219196"
"BS";"158645"
"BH";"307146"
"BD";"66913546"
"BB";"141107"
"BY";"5211405"
"BE";"5286007"
"BZ";"130257"
"BJ";"3691953"
"BM";"33219"
"BT";"293500"
"BO";"4314656"
"BA";"1920950"
"BW";"902193"
"BR";"91178889"
"VG";"10473"
"BN";"171281"
"BG";"4036258"
"BF";"6245192"
"BI";"3427610"
"CV";"233035"
"KH";"6498964"
"CM";"8061392"
"CA";"15801174"
"KY";"22901"
"CF";"1983315"
"TD";"4514263"
"CL";"7897434"
"CN";"631439047"
"HK";"3468402"
"MO";"234923"
"TW";"10865897"
"CO";"21025291"
"KM";"282854"
"CG";"1705377"
"CK";"9103"
"CR";"2024738"
"CI";"8427207"
"HR";"2280288"
"CU";"5591431"
"CW";"68337"
"CY";"483117"
"CZ";"5264770"
"KP";"11954888"
"CD";"25102933"
"DK";"2713230"
"DJ";"371137"
"DM";"34930"
"DO";"4409643"
"EC";"6521538"
"EG";"36049459"
"SV";"3088241"
"GQ";"318289"
"ER";"1807215"
"EE";"738162"
"ET";"35339727"
"FO";"23035"
"FK";"1494"
"FJ";"400853"
"FI";"2665757"
"FR";"30690384"
"GF";"88214"
"PF";"119132"
"GA";"650460"
"GM";"660659"
"GE";"2436377"
"DE";"41812077"
"GH";"9896581"
"GI";"16185"
"GR";"5647096"
"GL";"26351"
"GD";"51539"
"GP";"222660"
"GU";"77000"
"GT";"6222528"
"GN";"4579236"
"GW";"661252"
"GY";"376552"
"HT";"4471176"
"VA";"414"
"HN";"3449281"
"HU";"5336668"
"IS";"142520"
"IN";"525125250"
"ID";"108546200"
"IR";"33395107"
"IQ";"12346914"
"IE";"1994758"
"IM";"37971"
"IL";"3163777"
"IT";"29725985"
"JM";"1357979"
"JP";"65146478"
"JO";"2551210"
"KZ";"7841886"
"KE";"16718287"
"KI";"44318"
"KW";"883498"
"KG";"2519810"
"LA";"2762777"
"LV";"1261545"
"LB";"1758022"
"LS";"986541"
"LR";"1530292"
"LY";"2665740"
"LI";"17256"
"LT";"1837023"
"LU";"225060"
"MG";"8418066"
"MW";"6088630"
"MY";"11846189"
"MV";"143292"
"ML";"5858145"
"MT";"201304"
"MH";"25521"
"MQ";"208827"
"MR";"1435805"
"MU";"606283"
"YT";"80458"
"MX";"52509645"
"FM";"250721"
"MC";"16778"
"MN";"1225212"
"ME";"311206"
"MS";"2204"
"MA";"14909302"
"MZ";"9932984"
"MM";"24115471"
"NA";"1004716"
"NR";"5078"
"NP";"12363237"
"NL";"8127782"
"NC";"109595"
"NZ";"2020580"
"NI";"2615043"
"NE";"6136118"
"NG";"63757309"
"NU";"880"
"MP";"37085"
"NO";"2293372"
"OM";"1033546"
"PK";"70041614"
"PW";"8910"
"PA";"1563099"
"PG";"2883203"
"PY";"2720430"
"PE";"13308133"
"PH";"40432058"
"PL";"19821567"
"PT";"5396148"
"PR";"1971136"
"QA";"228099"
"KR";"23919335"
"MD";"2177262"
"RE";"388093"
"RO";"11179576"
"RU";"77391032"
"RW";"4367359"
"SH";"2386"
"KN";"23338"
"LC";"81582"
"PM";"3152"
"VC";"53603"
"WS";"84773"
"SM";"14193"
"ST";"72928"
"SA";"9895339"
"SN";"5289938"
"RS";"4771406"
"SC";"42342"
"SL";"2510988"
"SG";"2073059"
"SX";"16593"
"SK";"2780038"
"SI";"1017836"
"SB";"211965"
"SO";"4772578"
"ZA";"23949291"
"SS";"3630123"
"ES";"21338664"
"LK";"9593003"
"PS";"1665697"
"SD";"14292472"
"SR";"239588"
"SZ";"559662"
"SE";"4505468"
"CH";"3703604"
"SY";"8406297"
"TJ";"3211470"
"MK";"1023493"
"TH";"32487965"
"TL";"455293"
"TG";"2645133"
"TK";"728"
"TO";"48996"
"TT";"643115"
"TN";"4929638"
"TR";"33070053"
"TM";"2341552"
"TC";"10757"
"TV";"4964"
"UG";"12999502"
"UA";"25672179"
"AE";"1121533"
"GB";"30380171"
"TZ";"18260078"
"US";"145780221"
"VI";"56101"
"UY";"1718805"
"UZ";"12830713"
"VU";"94854"
"VE";"12667323"
"VN";"41594263"
"WF";"7310"
"EH";"172351"
"YE";"9357321"
"ZM";"5619008"
"ZW";"6374782"
