;populacao_5
"BI";"92,8"
"KM";"71,7"
"DJ";"23,7"
"ER";"77,5"
"ET";"86,2"
"KE";"81,7"
"MG";"74,2"
"MW";"86,7"
"MU";"56,7"
"YT";"58,5"
"MZ";"72,5"
"RE";"13,9"
"RW";"90,2"
"SC";"50,4"
"SO";"68,6"
"SS";"84,1"
"UG";"87,2"
"TZ";"79,5"
"ZM";"62,9"
"ZW";"68,3"
"AO";"55,8"
"CM";"57,4"
"CF";"62,8"
"TD";"78,5"
"CG";"43,6"
"CD";"67,2"
"GQ";"59,5"
"GA";"25,2"
"ST";"51,4"
"DZ";"44,0"
"EG";"57,2"
"LY";"24,0"
"MA";"48,3"
"SD";"67,8"
"TN";"38,5"
"EH";"14,5"
"BW";"51,0"
"LS";"83,1"
"NA";"70,2"
"ZA";"45,5"
"SZ";"77,7"
"BJ";"63,2"
"BF";"84,9"
"CV";"51,2"
"CI";"58,8"
"GM";"56,6"
"GH";"59,9"
"GN";"70,5"
"GW";"65,6"
"LR";"54,0"
"ML";"74,5"
"MR";"61,3"
"NE";"84,2"
"NG";"67,8"
"SH";"58,7"
"SN";"60,4"
"SL";"65,6"
"TG";"69,3"
"CN";"69,0"
"HK";"0,0"
"MO";"0,1"
"TW";"31,6"
"KP";"41,0"
"JP";"22,0"
"MN";"43,2"
"KR";"21,8"
"KZ";"44,1"
"KG";"63,7"
"TJ";"71,1"
"TM";"55,2"
"UZ";"56,3"
"AF";"78,4"
"BD";"78,3"
"BT";"79,5"
"IN";"73,4"
"IR";"39,8"
"MV";"74,4"
"NP";"89,1"
"PK";"68,2"
"LK";"81,5"
"BN";"31,4"
"KH";"82,7"
"ID";"63,9"
"LA";"82,6"
"MY";"44,3"
"MM";"73,9"
"PH";"53,4"
"SG";"0,0"
"TH";"69,7"
"TL";"77,5"
"VN";"77,8"
"AM";"33,9"
"AZ";"47,8"
"BH";"11,6"
"CY";"32,0"
"GE";"46,2"
"IQ";"31,2"
"IL";"9,1"
"JO";"21,8"
"KW";"1,9"
"LB";"15,2"
"OM";"28,3"
"QA";"5,0"
"SA";"21,3"
"PS";"29,8"
"SY";"49,9"
"TR";"37,9"
"AE";"21,7"
"YE";"76,2"
"BY";"32,1"
"BG";"32,2"
"CZ";"25,4"
"HU";"34,8"
"PL";"38,5"
"MD";"53,7"
"RO";"46,2"
"RU";"26,6"
"SK";"43,5"
"UA";"33,1"
"DK";"15,0"
"EE";"29,7"
"FO";"65,9"
"FI";"19,0"
"IS";"8,4"
"IE";"42,1"
"IM";"48,2"
"LV";"31,3"
"LT";"32,7"
"NO";"26,2"
"SE";"16,2"
"GB";"21,7"
"AL";"61,1"
"AD";"6,3"
"BA";"59,2"
"HR";"47,7"
"GI";"0,0"
"GR";"27,9"
"VA";"0,0"
"IT";"33,1"
"MT";"9,1"
"ME";"46,6"
"PT";"48,9"
"SM";"8,3"
"RS";"48,4"
"SI";"49,4"
"ES";"24,1"
"MK";"40,4"
"AT";"38,4"
"BE";"3,2"
"FR";"25,1"
"DE";"26,1"
"LI";"83,5"
"LU";"17,1"
"MC";"0,0"
"NL";"27,2"
"CH";"26,4"
"AI";"0,0"
"AG";"66,0"
"AW";"51,2"
"BS";"19,0"
"BB";"64,4"
"VG";"59,6"
"KY";"0,0"
"CU";"25,7"
"CW";"12,3"
"DM";"35,2"
"DO";"42,4"
"GD";"65,5"
"GP";"2,3"
"HT";"67,4"
"JM";"49,4"
"MQ";"11,6"
"MS";"87,5"
"PR";"6,3"
"KN";"66,3"
"LC";"71,2"
"VC";"56,6"
"SX";"0,0"
"TT";"45,0"
"TC";"20,1"
"VI";"9,6"
"BZ";"53,6"
"CR";"45,4"
"SV";"46,0"
"GT";"56,4"
"HN";"57,1"
"MX";"26,6"
"NI";"45,6"
"PA";"41,9"
"AR";"11,8"
"BO";"40,9"
"BR";"22,4"
"CL";"15,5"
"CO";"28,2"
"EC";"42,2"
"FK";"34,0"
"GF";"23,1"
"GY";"70,9"
"PY";"47,9"
"PE";"29,1"
"SR";"33,9"
"UY";"9,5"
"VE";"14,0"
"BM";"0,0"
"CA";"22,3"
"GL";"19,1"
"PM";"11,1"
"US";"22,7"
"AU";"15,1"
"NZ";"14,5"
"FJ";"54,5"
"NC";"39,7"
"PG";"85,9"
"SB";"85,3"
"VU";"79,8"
"FM";"36,4"
"GU";"7,9"
"KI";"63,6"
"MH";"33,3"
"FM";"74,9"
"NR";"0,0"
"MP";"10,4"
"PW";"28,6"
"AS";"14,7"
"CK";"41,3"
"PF";"43,4"
"NU";"68,6"
"WS";"78,5"
"TK";"100,0"
"TO";"77,1"
"TV";"56,0"
"WF";"100,0"
