;populacao_1
"AF";"8996351"
"AL";"1636056"
"DZ";"11124888"
"AS";"20013"
"AD";"13411"
"AO";"5643182"
"AI";"5864"
"AG";"55339"
"AR";"20619075"
"AM";"1874120"
"AW";"54211"
"AU";"10289707"
"AT";"7070766"
"AZ";"3895396"
"BS";"109528"
"BH";"162427"
"BD";"48199747"
"BB";"230939"
"BY";"8184631"
"BE";"9167365"
"BZ";"92064"
"BJ";"2431622"
"BM";"44946"
"BT";"223288"
"BO";"3693449"
"BA";"3225668"
"BW";"524552"
"BR";"72207554"
"VG";"8033"
"BN";"81745"
"BG";"7885525"
"BF";"4829288"
"BI";"2786106"
"CV";"202310"
"KH";"5722370"
"CM";"5176268"
"CA";"17917236"
"KY";"7865"
"CF";"1503508"
"TD";"3001593"
"CL";"7716625"
"CN";"657686143"
"HK";"3065187"
"MO";"167796"
"TW";"10701713"
"CO";"16480383"
"KM";"191121"
"CG";"1037220"
"CK";"18259"
"CR";"1333040"
"CI";"3558988"
"HR";"4192634"
"CU";"7141135"
"CW";"126941"
"CY";"572930"
"CZ";"9590187"
"KP";"11424176"
"CD";"15248251"
"DK";"4581101"
"DJ";"83636"
"DM";"60011"
"DO";"3294042"
"EC";"4545550"
"EG";"26996533"
"SV";"2762899"
"GQ";"255323"
"ER";"1397491"
"EE";"1216819"
"ET";"22151278"
"FO";"34661"
"FK";"2150"
"FJ";"393386"
"FI";"4434590"
"FR";"45865396"
"GF";"32032"
"PF";"78076"
"GA";"499184"
"GM";"367928"
"GE";"4007713"
"DE";"73414427"
"GH";"6652287"
"GI";"23394"
"GR";"8271788"
"GL";"31239"
"GD";"89869"
"GP";"275161"
"GU";"66742"
"GT";"4210747"
"GN";"3577409"
"GW";"616409"
"GY";"571819"
"HT";"3866159"
"VA";"906"
"HN";"2038637"
"HU";"10001017"
"IS";"175592"
"IN";"449480608"
"ID";"87792515"
"IR";"21906903"
"IQ";"7289761"
"IE";"2822110"
"IM";"48442"
"IL";"2089889"
"IT";"49742196"
"JM";"1628252"
"JP";"93673615"
"JO";"932257"
"KZ";"9996000"
"KE";"8105440"
"KI";"41233"
"KW";"269618"
"KG";"2170093"
"LA";"2120896"
"LV";"2129586"
"LB";"1804926"
"LS";"851591"
"LR";"1120313"
"LY";"1448417"
"LI";"16495"
"LT";"2769866"
"LU";"314588"
"MG";"5099373"
"MW";"3618595"
"MY";"8157106"
"MV";"89887"
"ML";"5263733"
"MT";"311534"
"MH";"14662"
"MQ";"281622"
"MR";"858168"
"MU";"660023"
"YT";"24015"
"MX";"38174112"
"FM";"191284"
"MC";"22452"
"MN";"955505"
"ME";"487413"
"MS";"12102"
"MA";"12328532"
"MZ";"7388695"
"MM";"20986123"
"NA";"602544"
"NR";"4433"
"NP";"10063011"
"NL";"11448817"
"NC";"78056"
"NZ";"2372594"
"NI";"1774699"
"NE";"3388764"
"NG";"45137812"
"NU";"4826"
"MP";"10035"
"NO";"3582507"
"OM";"551740"
"PK";"44908293"
"PW";"9642"
"PA";"1132921"
"PG";"2010677"
"PY";"1902875"
"PE";"10061515"
"PH";"26273025"
"PL";"29611556"
"PT";"8893971"
"PR";"2355570"
"QA";"47384"
"KR";"25340918"
"MD";"3003559"
"RE";"335693"
"RO";"18613939"
"RU";"119860288"
"RW";"2933428"
"SH";"4748"
"KN";"51195"
"LC";"89897"
"PM";"4918"
"VC";"80949"
"WS";"108646"
"SM";"15397"
"ST";"64253"
"SA";"4086539"
"SN";"3206749"
"RS";"7556725"
"SC";"41540"
"SL";"2297110"
"SG";"1633086"
"SX";"2833"
"SK";"4140129"
"SI";"1586637"
"SB";"117866"
"SO";"2755947"
"ZA";"17456855"
"SS";"2955152"
"ES";"30489242"
"LK";"9874481"
"PS";"1069316"
"SD";"7544491"
"SR";"289966"
"SZ";"349174"
"SE";"7482543"
"CH";"5296118"
"SY";"4573512"
"TJ";"2087038"
"MK";"1488667"
"TH";"27397175"
"TL";"499950"
"TG";"1580513"
"TK";"1873"
"TO";"61601"
"TT";"848479"
"TN";"4176266"
"TR";"27472331"
"TM";"1603258"
"TC";"5726"
"TV";"6104"
"UG";"6788214"
"UA";"42662149"
"AE";"92634"
"GB";"52433157"
"TZ";"10074507"
"US";"186808228"
"VI";"33135"
"UY";"2538651"
"UZ";"8549493"
"VU";"63699"
"VE";"8146847"
"VN";"32670629"
"WF";"8557"
"EH";"32761"
"YE";"5172135"
"ZM";"3044846"
"ZW";"3747369"
