;populacao_1
"AF";"30696958"
"AL";"2920039"
"DZ";"37565847"
"AS";"55230"
"AD";"82431"
"AO";"25096150"
"AI";"14129"
"AG";"96777"
"AR";"42096739"
"AM";"2881922"
"AW";"102577"
"AU";"22821849"
"AT";"8517548"
"AZ";"9264917"
"BS";"372039"
"BH";"1300217"
"BD";"155727053"
"BB";"281585"
"BY";"9471730"
"BE";"11083550"
"BZ";"336701"
"BJ";"9729160"
"BM";"63179"
"BT";"752967"
"BO";"10239004"
"BA";"3648200"
"BW";"2089315"
"BR";"200560983"
"VG";"28509"
"BN";"399748"
"BG";"7310383"
"BF";"16571216"
"BI";"9319710"
"CV";"513979"
"KH";"14776866"
"CM";"21082383"
"CA";"34900705"
"KY";"57523"
"CF";"4490416"
"TD";"12705135"
"CL";"17309746"
"CN";"1375198619"
"HK";"7106399"
"MO";"562531"
"TW";"23263897"
"CO";"46881475"
"KM";"723868"
"CG";"4633363"
"CK";"17996"
"CR";"4654122"
"CI";"21418603"
"HR";"4296526"
"CU";"11382146"
"CW";"152985"
"CY";"1135062"
"CZ";"10586755"
"KP";"24854034"
"CD";"68978682"
"DK";"5610660"
"DJ";"881185"
"DM";"72044"
"DO";"10154950"
"EC";"15419666"
"EG";"87813257"
"SV";"6221246"
"GQ";"1038593"
"ER";"4560977"
"EE";"1324934"
"ET";"92444183"
"FO";"48666"
"FK";"2858"
"FJ";"873596"
"FI";"5412980"
"FR";"63639873"
"GF";"247463"
"PF";"271703"
"GA";"1756817"
"GM";"1802125"
"GE";"4107719"
"DE";"81066228"
"GH";"25733049"
"GI";"33623"
"GR";"11378257"
"GL";"56470"
"GD";"105481"
"GP";"451602"
"GU";"159973"
"GT";"15271056"
"GN";"11281469"
"GW";"1638139"
"GY";"753091"
"HT";"10289210"
"VA";"804"
"HN";"8505646"
"HU";"9869684"
"IS";"325526"
"IN";"1263065852"
"ID";"248883232"
"IR";"76453574"
"IQ";"32776571"
"IE";"4678117"
"IM";"81406"
"IL";"7699105"
"IT";"59733834"
"JM";"2840992"
"JP";"128426384"
"JO";"7992573"
"KZ";"16921179"
"KE";"43646629"
"KI";"106613"
"KW";"3395556"
"KG";"5594108"
"LA";"6415169"
"LV";"2066374"
"LB";"4916404"
"LS";"2089928"
"LR";"4181563"
"LY";"6198258"
"LI";"36545"
"LT";"3037246"
"LU";"532387"
"MG";"22346573"
"MW";"16097305"
"MY";"29170456"
"MV";"386203"
"ML";"16006670"
"MT";"420789"
"MH";"52663"
"MQ";"391164"
"MR";"3830239"
"MU";"1253371"
"YT";"221122"
"MX";"120828307"
"FM";"507706"
"MC";"37783"
"MN";"2814226"
"ME";"626386"
"MS";"5031"
"MA";"33333789"
"MZ";"25676606"
"MM";"50986514"
"NA";"2263934"
"NR";"10478"
"NP";"27649925"
"NL";"16789095"
"NC";"258275"
"NZ";"4467743"
"NI";"5877108"
"NE";"17731634"
"NG";"167297284"
"NU";"1623"
"MP";"53718"
"NO";"5012007"
"OM";"3464644"
"PK";"177911533"
"PW";"20758"
"PA";"3772938"
"PG";"7430836"
"PY";"6379219"
"PE";"30158966"
"PH";"96866642"
"PL";"38317404"
"PT";"10581821"
"PR";"3697576"
"QA";"2109568"
"KR";"49952244"
"MD";"4073703"
"RE";"843907"
"RO";"20171255"
"RU";"143420597"
"RW";"10788853"
"SH";"4117"
"KN";"52591"
"LC";"174835"
"PM";"6276"
"VC";"109328"
"WS";"189194"
"SM";"31914"
"ST";"182889"
"SA";"29086357"
"SN";"13703513"
"RS";"8956984"
"SC";"92285"
"SL";"6766103"
"SG";"5270958"
"SX";"35133"
"SK";"5417070"
"SI";"2060390"
"SB";"551531"
"SO";"12763776"
"ZA";"52998213"
"SS";"10818258"
"ES";"46857404"
"LK";"20424555"
"PS";"4294960"
"SD";"35990192"
"SR";"537077"
"SZ";"1248158"
"SE";"9540907"
"CH";"8031670"
"SY";"20420701"
"TJ";"7995062"
"MK";"2074036"
"TH";"67843979"
"TL";"1156760"
"TG";"6859482"
"TK";"1167"
"TO";"104951"
"TT";"1341588"
"TN";"10886668"
"TR";"74569867"
"TM";"5267839"
"TC";"32431"
"TV";"10725"
"UG";"36306796"
"UA";"45349333"
"AE";"8900453"
"GB";"64250330"
"TZ";"49082997"
"US";"313335423"
"VI";"105557"
"UY";"3396777"
"UZ";"29540819"
"VU";"247485"
"VE";"29893080"
"VN";"90451881"
"WF";"12836"
"EH";"495772"
"YE";"24909969"
"ZM";"14699937"
"ZW";"14710826"
