;populacao_4
"BI";"25,0"
"KM";"38,8"
"DJ";"83,6"
"ER";"57,1"
"ET";"35,8"
"KE";"42,9"
"MG";"54,8"
"MW";"28,9"
"MU";"47,3"
"YT";"51,2"
"MZ";"52,2"
"RE";"99,9"
"RW";"26,7"
"SC";"67,7"
"SO";"61,0"
"SS";"32,8"
"UG";"40,9"
"TZ";"52,3"
"ZM";"59,5"
"ZW";"42,6"
"AO";"78,7"
"CM";"70,8"
"CF";"57,1"
"TD";"36,0"
"CG";"78,2"
"CD";"60,9"
"GQ";"81,6"
"GA";"94,5"
"ST";"84,2"
"DZ";"83,1"
"EG";"52,5"
"LY";"87,4"
"MA";"75,3"
"SD";"49,3"
"TN";"78,5"
"EH";"90,0"
"BW";"82,5"
"LS";"43,1"
"NA";"69,5"
"ZA";"78,0"
"SZ";"31,8"
"BJ";"62,7"
"BF";"46,9"
"CV";"76,0"
"CI";"64,8"
"GM";"75,3"
"GH";"70,9"
"GN";"50,5"
"GW";"55,1"
"LR";"65,6"
"ML";"60,3"
"MR";"70,6"
"NE";"25,6"
"NG";"67,4"
"SH";"49,2"
"SN";"61,7"
"SL";"56,6"
"TG";"57,7"
"CN";"78,3"
"HK";"100,0"
"MO";"100,0"
"TW";"86,4"
"KP";"72,0"
"JP";"94,2"
"MN";"75,8"
"KR";"85,3"
"KZ";"66,6"
"KG";"50,3"
"TJ";"39,7"
"TM";"66,3"
"UZ";"58,7"
"AF";"37,9"
"BD";"55,3"
"BT";"55,5"
"IN";"49,6"
"IR";"84,8"
"MV";"51,7"
"NP";"34,1"
"PK";"49,0"
"LK";"28,6"
"BN";"84,6"
"KH";"37,9"
"ID";"70,6"
"LA";"52,6"
"MY";"86,2"
"MM";"43,9"
"PH";"58,9"
"SG";"100,0"
"TH";"67,0"
"TL";"41,6"
"VN";"54,3"
"AM";"72,1"
"AZ";"68,5"
"BH";"92,7"
"CY";"72,8"
"GE";"70,9"
"IQ";"78,8"
"IL";"95,0"
"JO";"94,9"
"KW";"100,0"
"LB";"92,7"
"OM";"94,4"
"QA";"99,7"
"SA";"89,5"
"PS";"84,2"
"SY";"69,7"
"TR";"84,7"
"AE";"91,7"
"YE";"54,0"
"BY";"87,2"
"BG";"83,6"
"CZ";"80,6"
"HU";"80,3"
"PL";"68,0"
"MD";"53,8"
"RO";"64,0"
"RU";"81,9"
"SK";"63,0"
"UA";"76,8"
"DK";"91,6"
"EE";"75,8"
"FO";"50,5"
"FI";"89,2"
"IS";"95,5"
"IE";"73,0"
"IM";"61,4"
"LV";"74,4"
"LT";"76,2"
"NO";"89,4"
"SE";"92,6"
"GB";"89,3"
"AL";"76,3"
"AD";"89,5"
"BA";"61,9"
"HR";"68,9"
"GI";"100,0"
"GR";"86,6"
"VA";"100,0"
"IT";"79,5"
"MT";"96,3"
"ME";"75,8"
"PT";"77,5"
"SM";"98,9"
"RS";"66,3"
"SI";"66,3"
"ES";"86,9"
"MK";"70,4"
"AT";"68,5"
"BE";"98,8"
"FR";"87,3"
"DE";"83,0"
"LI";"19,3"
"LU";"94,7"
"MC";"100,0"
"NL";"96,3"
"CH";"79,8"
"AI";"100,0"
"AG";"29,1"
"AW";"52,4"
"BS";"87,6"
"BB";"38,7"
"VG";"59,3"
"KY";"100,0"
"CU";"82,7"
"CW";"91,3"
"DM";"78,6"
"DO";"91,3"
"GD";"45,1"
"GP";"99,0"
"HT";"72,8"
"JM";"68,0"
"MQ";"92,1"
"MS";"12,5"
"PR";"95,3"
"KN";"38,2"
"LC";"24,9"
"VC";"63,5"
"SX";"100,0"
"TT";"60,7"
"TC";"96,4"
"VI";"97,5"
"BZ";"54,9"
"CR";"89,3"
"SV";"84,2"
"GT";"64,6"
"HN";"71,7"
"MX";"87,2"
"NI";"69,1"
"PA";"78,1"
"AR";"94,7"
"BO";"79,1"
"BR";"91,8"
"CL";"91,1"
"CO";"87,8"
"EC";"72,7"
"FK";"85,6"
"GF";"90,3"
"GY";"33,9"
"PY";"72,1"
"PE";"84,4"
"SR";"72,4"
"UY";"97,2"
"VE";"91,1"
"BM";"100,0"
"CA";"86,2"
"GL";"91,5"
"PM";"92,2"
"US";"88,2"
"AU";"90,2"
"NZ";"90,3"
"FJ";"68,1"
"NC";"79,8"
"PG";"21,4"
"SB";"35,2"
"VU";"32,3"
"FM";"74,6"
"GU";"96,6"
"KI";"68,8"
"MH";"84,7"
"FM";"30,2"
"NR";"100,0"
"MP";"94,2"
"PW";"88,4"
"AS";"90,1"
"CK";"81,6"
"PF";"68,1"
"NU";"59,3"
"WS";"20,0"
"TK";"0,0"
"TO";"27,9"
"TV";"76,1"
"WF";"0,0"
