;populacao_7
"AF";"2784685"
"AL";"197721"
"DZ";"3471632"
"AO";"2196972"
"AG";"8036"
"AR";"3351650"
"AM";"217479"
"AW";"7582"
"AU";"1965769"
"AT";"602576"
"AZ";"859172"
"BS";"34759"
"BH";"165782"
"BD";"13905130"
"BB";"16654"
"BY";"585272"
"BE";"756705"
"BZ";"36976"
"BJ";"864871"
"BT";"74889"
"BO";"893623"
"BA";"230554"
"BW";"209917"
"BR";"16455968"
"BN";"35397"
"BG";"371548"
"BF";"1423800"
"BI";"868484"
"CV";"51789"
"KH";"1462782"
"CM";"1863576"
"CA";"2909433"
"CF";"315688"
"TD";"1053015"
"CL";"1430877"
"CN";"98240778"
"HK";"540624"
"MO";"60278"
"TW";"1622673"
"CO";"3891308"
"KM";"64136"
"CG";"368298"
"CR";"409649"
"CI";"1800919"
"HR";"225202"
"CU";"700327"
"CW";"11437"
"CY";"95845"
"CZ";"638575"
"KP";"1913953"
"CD";"5924034"
"DK";"419675"
"DJ";"85691"
"DO";"808171"
"EC";"1363578"
"EG";"7829399"
"SV";"506900"
"GQ";"130909"
"ER";"386277"
"EE";"71422"
"ET";"8924267"
"FJ";"61390"
"FI";"374433"
"FR";"3878690"
"GF";"24190"
"PF";"21600"
"GA";"166285"
"GM";"150834"
"GE";"238366"
"DE";"5249201"
"GH";"2280387"
"GR";"587428"
"GD";"7984"
"GP";"25902"
"GU";"12354"
"GT";"1511037"
"GN";"1005186"
"GW";"149146"
"GY";"60782"
"HT";"850807"
"HN";"849589"
"HU";"628480"
"IS";"25963"
"IN";"110677096"
"ID";"20342306"
"IR";"6832580"
"IQ";"3136217"
"IE";"275592"
"IL";"593527"
"IT";"3123344"
"JM";"209965"
"JP";"6177563"
"JO";"721183"
"KZ";"1418031"
"KE";"3979228"
"KI";"8695"
"KW";"356680"
"KG";"485011"
"LA";"627438"
"LV";"106031"
"LB";"453410"
"LS";"171324"
"LR";"353500"
"LY";"516066"
"LT";"188678"
"LU";"48188"
"MG";"2093609"
"MW";"1558113"
"MY";"3170702"
"MV";"52073"
"ML";"1240882"
"MT";"30612"
"MQ";"15333"
"MR";"362848"
"MU";"98818"
"YT";"18377"
"MX";"10749450"
"FM";"37418"
"FM";"8478"
"MN";"248799"
"ME";"41183"
"MA";"2918682"
"MZ";"2188464"
"MM";"4165626"
"NA";"224652"
"NP";"2485731"
"NL";"1105503"
"NC";"24976"
"NZ";"364177"
"NI";"531830"
"NE";"1379289"
"NG";"13294005"
"NO";"415092"
"OM";"567864"
"PK";"16934708"
"PA";"326319"
"PG";"658395"
"PY";"573491"
"PE";"2638281"
"PH";"8741932"
"PL";"2399315"
"PT";"543051"
"PR";"250490"
"QA";"329360"
"KR";"3620524"
"MD";"312286"
"RE";"54585"
"RO";"1064351"
"RU";"8544200"
"RW";"915075"
"LC";"15755"
"VC";"7834"
"WS";"10459"
"ST";"13554"
"SA";"3275918"
"SN";"1244329"
"RS";"532853"
"SC";"5667"
"SL";"546188"
"SG";"442922"
"SK";"358370"
"SI";"109443"
"SB";"43774"
"SO";"1035496"
"ZA";"4639188"
"SS";"981981"
"ES";"2373641"
"LK";"1241849"
"PS";"460949"
"SD";"3180455"
"SR";"42641"
"SZ";"118433"
"SE";"775259"
"CH";"615917"
"SY";"1663685"
"TJ";"761524"
"MK";"147996"
"TH";"4631358"
"TL";"74525"
"TG";"585244"
"TO";"6577"
"TT";"88563"
"TN";"896284"
"TR";"6046596"
"TM";"511603"
"UG";"3185826"
"UA";"2542533"
"AE";"1014185"
"GB";"4547590"
"TZ";"4330774"
"US";"24675282"
"VI";"5442"
"UY";"246921"
"UZ";"3043755"
"VU";"22243"
"VE";"2582231"
"VN";"8389816"
"EH";"62542"
"YE";"2616209"
"ZM";"1311049"
"ZW";"1337895"
