;populacao_7
"AF";"258"
"AL";"1988"
"DZ";"15346"
"AO";"513"
"AG";"039"
"AR";"41410"
"AM";"2431"
"AW";"052"
"AU";"34312"
"AT";"8063"
"AZ";"1160"
"BS";"340"
"BH";"166"
"BD";"188254"
"BB";"145"
"BY";"4566"
"BE";"11635"
"BZ";"013"
"BJ";"157"
"BT";"693"
"BO";"5436"
"BA";"3339"
"BW";"085"
"BR";"340011"
"BN";"123"
"BG";"1616"
"BF";"018"
"BI";"140"
"CV";"045"
"KH";"1237"
"CM";"475"
"CA";"62179"
"CF";"070"
"TD";"110"
"CL";"44217"
"CN";"896770"
"HK";"38647"
"MO";"2160"
"TW";"59094"
"CO";"35855"
"KM";"005"
"CG";"234"
"CR";"7686"
"CI";"072"
"HR";"4922"
"CU";"29086"
"CW";"363"
"CY";"1201"
"CZ";"7955"
"KP";"4526"
"CD";"1494"
"DK";"6689"
"DJ";"020"
"DO";"17357"
"EC";"11670"
"EG";"6888"
"SV";"3695"
"GQ";"023"
"ER";"374"
"EE";"1570"
"ET";"4786"
"FJ";"115"
"FI";"7600"
"FR";"139702"
"GF";"295"
"PF";"187"
"GA";"113"
"GM";"003"
"GE";"815"
"DE";"78531"
"GH";"168"
"GR";"17354"
"GD";"020"
"GP";"2109"
"GU";"196"
"GT";"4749"
"GN";"053"
"GW";"004"
"GY";"011"
"HT";"1083"
"HN";"3659"
"HU";"6456"
"IS";"397"
"IN";"240006"
"ID";"6925"
"IR";"16010"
"IQ";"1066"
"IE";"3935"
"IL";"13112"
"IT";"112614"
"JM";"1976"
"JP";"472858"
"JO";"564"
"KZ";"2141"
"KE";"2455"
"KI";"001"
"KW";"051"
"KG";"272"
"LA";"152"
"LV";"971"
"LB";"4613"
"LS";"037"
"LR";"024"
"LY";"335"
"LT";"1649"
"LU";"332"
"MG";"1031"
"MW";"192"
"MY";"6388"
"MV";"237"
"ML";"034"
"MT";"679"
"MQ";"1624"
"MR";"013"
"MU";"1179"
"YT";"231"
"MX";"127502"
"FM";"288"
"FM";"002"
"MN";"304"
"ME";"334"
"MA";"3750"
"MZ";"671"
"MM";"1072"
"NA";"082"
"NP";"2269"
"NL";"18955"
"NC";"170"
"NZ";"3945"
"NI";"7959"
"NE";"067"
"NG";"248"
"NO";"4687"
"OM";"2316"
"PK";"3010"
"PA";"6266"
"PG";"518"
"PY";"2174"
"PE";"27162"
"PH";"4662"
"PL";"43636"
"PT";"13614"
"PR";"9191"
"QA";"554"
"KR";"129985"
"MD";"841"
"RE";"2349"
"RO";"11371"
"RU";"54927"
"RW";"618"
"LC";"254"
"VC";"042"
"WS";"134"
"ST";"004"
"SA";"3652"
"SN";"144"
"RS";"3608"
"SC";"047"
"SL";"005"
"SG";"20218"
"SK";"3420"
"SI";"2544"
"SB";"027"
"SO";"124"
"ZA";"10311"
"SS";"135"
"ES";"66807"
"LK";"15213"
"PS";"290"
"SD";"963"
"SR";"126"
"SZ";"019"
"SE";"9398"
"CH";"8585"
"SY";"3577"
"TJ";"1948"
"MK";"353"
"TH";"93995"
"TL";"040"
"TG";"006"
"TO";"031"
"TT";"422"
"TN";"3836"
"TR";"31503"
"TM";"312"
"UG";"695"
"UA";"15137"
"AE";"954"
"GB";"86106"
"TZ";"2343"
"US";"351393"
"VI";"196"
"UY";"5057"
"UZ";"6496"
"VU";"021"
"VE";"34612"
"VN";"165935"
"EH";"020"
"YE";"267"
"ZM";"409"
"ZW";"459"
