;populacao_9
"AF";"28"
"AL";"8"
"DZ";"17"
"AD";"99999999999998"
"AO";"28"
"AI";"99999999999998"
"AG";"7"
"AR";"9"
"AM";"6"
"AU";"9"
"AT";"13"
"AZ";"9"
"BS";"6"
"BH";"7"
"BD";"19"
"BB";"10"
"BY";"9"
"BE";"12"
"BZ";"8"
"BJ";"24"
"BT";"24"
"BO";"20"
"BA";"7"
"BW";"13"
"BR";"10"
"VG";"99999999999998"
"BN";"6"
"BG";"9"
"BF";"25"
"BI";"21"
"CV";"14"
"KH";"20"
"CM";"19"
"CA";"7"
"CF";"23"
"TD";"23"
"CL";"10"
"CN";"11"
"CO";"9"
"KM";"19"
"CG";"14"
"CK";"99999999999998"
"CR";"7"
"CI";"21"
"HR";"11"
"CU";"7"
"CY";"7"
"CZ";"12"
"KP";"10"
"CD";"20"
"DK";"10"
"DJ";"15"
"DM";"99999999999998"
"DO";"11"
"EC";"12"
"EG";"16"
"SV";"13"
"GQ";"26"
"ER";"21"
"EE";"11"
"ET";"21"
"FJ";"8"
"FI";"10"
"FR";"11"
"GA";"20"
"GM";"26"
"GE";"9"
"DE";"12"
"GH";"16"
"GR";"10"
"GD";"9"
"GT";"14"
"GN";"27"
"GW";"22"
"GY";"9"
"HT";"18"
"VA";"99999999999998"
"HN";"15"
"HU";"11"
"IS";"7"
"IN";"17"
"ID";"13"
"IR";"16"
"IQ";"12"
"IE";"11"
"IL";"7"
"IT";"10"
"JM";"8"
"JP";"7"
"JO";"10"
"KZ";"9"
"KE";"15"
"KI";"13"
"KW";"6"
"KG";"11"
"LA";"18"
"LV";"11"
"LB";"8"
"LS";"17"
"LR";"24"
"LY";"13"
"LI";"99999999999998"
"LT";"9"
"LU";"12"
"MG";"21"
"MW";"25"
"MY";"7"
"MV";"21"
"ML";"32"
"MT";"9"
"MH";"99999999999998"
"MR";"16"
"MU";"7"
"MX";"10"
"FM";"9"
"MC";"99999999999998"
"MN";"15"
"ME";"7"
"MS";"99999999999998"
"MA";"14"
"MZ";"25"
"MM";"15"
"NA";"15"
"NR";"99999999999998"
"NP";"23"
"NL";"8"
"NZ";"8"
"NI";"13"
"NE";"28"
"NG";"23"
"NU";"99999999999998"
"NO";"10"
"OM";"16"
"PK";"15"
"PW";"99999999999998"
"PA";"8"
"PG";"16"
"PY";"7"
"PE";"14"
"PH";"9"
"PL";"8"
"PT";"11"
"QA";"5"
"KR";"9"
"MD";"10"
"RO";"10"
"RU";"9"
"RW";"20"
"KN";"99999999999998"
"LC";"9"
"VC";"9"
"WS";"11"
"SM";"99999999999998"
"ST";"13"
"SA";"15"
"SN";"25"
"RS";"9"
"SC";"9"
"SL";"30"
"SG";"5"
"SK";"9"
"SI";"10"
"SB";"13"
"SO";"23"
"ZA";"12"
"SS";"28"
"ES";"9"
"LK";"8"
"PS";"13"
"SD";"15"
"SR";"9"
"SZ";"18"
"SE";"10"
"CH";"9"
"SY";"11"
"TJ";"12"
"TH";"10"
"MK";"7"
"TL";"23"
"TG";"19"
"TK";"99999999999998"
"TO";"7"
"TT";"7"
"TN";"16"
"TR";"15"
"TM";"12"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"17"
"UA";"9"
"AE";"7"
"GB";"12"
"TZ";"18"
"US";"10"
"UY";"10"
"UZ";"10"
"VU";"14"
"VE";"7"
"VN";"12"
"YE";"25"
"ZM";"17"
"ZW";"13"
