;populacao_9
"AF";"7"
"AL";"7"
"DZ";"5"
"AD";"99999999999998"
"AO";"9"
"AI";"99999999999998"
"AG";"6"
"AR";"8"
"AM";"10"
"AU";"7"
"AT";"10"
"AZ";"7"
"BS";"6"
"BH";"2"
"BD";"5"
"BB";"11"
"BY";"13"
"BE";"10"
"BZ";"5"
"BJ";"9"
"BT";"6"
"BO";"7"
"BA";"11"
"BW";"7"
"BR";"6"
"VG";"99999999999998"
"BN";"4"
"BG";"15"
"BF";"9"
"BI";"11"
"CV";"6"
"KH";"6"
"CM";"10"
"CA";"7"
"CF";"14"
"TD";"13"
"CL";"6"
"CN";"7"
"CO";"6"
"KM";"7"
"CG";"7"
"CK";"99999999999998"
"CR";"5"
"CI";"12"
"HR";"13"
"CU";"8"
"CY";"7"
"CZ";"11"
"KP";"9"
"CD";"10"
"DK";"9"
"DJ";"8"
"DM";"99999999999998"
"DO";"6"
"EC";"5"
"EG";"6"
"SV";"7"
"GQ";"10"
"ER";"7"
"EE";"12"
"ET";"7"
"FJ";"7"
"FI";"10"
"FR";"9"
"GA";"8"
"GM";"8"
"GE";"13"
"DE";"11"
"GH";"8"
"GR";"11"
"GD";"7"
"GT";"5"
"GN";"9"
"GW";"11"
"GY";"8"
"HT";"9"
"VA";"99999999999998"
"HN";"5"
"HU";"13"
"IS";"6"
"IN";"7"
"ID";"7"
"IR";"5"
"IQ";"5"
"IE";"6"
"IL";"5"
"IT";"10"
"JM";"7"
"JP";"11"
"JO";"4"
"KZ";"9"
"KE";"6"
"KI";"7"
"KW";"3"
"KG";"6"
"LA";"7"
"LV";"15"
"LB";"5"
"LS";"13"
"LR";"8"
"LY";"5"
"LI";"99999999999998"
"LT";"14"
"LU";"7"
"MG";"6"
"MW";"7"
"MY";"5"
"MV";"3"
"ML";"10"
"MT";"9"
"MH";"99999999999998"
"MR";"8"
"MU";"8"
"MX";"5"
"FM";"6"
"MC";"99999999999998"
"MN";"6"
"ME";"10"
"MS";"99999999999998"
"MA";"5"
"MZ";"10"
"MM";"8"
"NA";"7"
"NR";"99999999999998"
"NP";"6"
"NL";"9"
"NZ";"7"
"NI";"5"
"NE";"10"
"NG";"12"
"NU";"99999999999998"
"NO";"8"
"OM";"3"
"PK";"7"
"PW";"99999999999998"
"PA";"5"
"PG";"7"
"PY";"6"
"PE";"6"
"PH";"7"
"PL";"10"
"PT";"11"
"QA";"2"
"KR";"6"
"MD";"11"
"RO";"13"
"RU";"13"
"RW";"6"
"KN";"99999999999998"
"LC";"8"
"VC";"7"
"WS";"5"
"SM";"99999999999998"
"ST";"7"
"SA";"4"
"SN";"6"
"RS";"13"
"SC";"8"
"SL";"13"
"SG";"5"
"SK";"10"
"SI";"10"
"SB";"5"
"SO";"11"
"ZA";"10"
"SS";"11"
"ES";"9"
"LK";"7"
"PS";"4"
"SD";"7"
"SR";"7"
"SZ";"10"
"SE";"9"
"CH";"8"
"SY";"6"
"TJ";"5"
"TH";"8"
"MK";"10"
"TL";"6"
"TG";"9"
"TK";"99999999999998"
"TO";"6"
"TT";"10"
"TN";"6"
"TR";"6"
"TM";"7"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"9"
"UA";"15"
"AE";"2"
"GB";"9"
"TZ";"7"
"US";"8"
"UY";"9"
"UZ";"6"
"VU";"5"
"VE";"6"
"VN";"6"
"YE";"6"
"ZM";"8"
"ZW";"8"
