;redes_28
"AF";"0,06"
"AL";"11,33"
"DZ";"8,09"
"AS";"18,69"
"AD";"45,20"
"AO";"1,20"
"AI";"45,62"
"AG";"38,37"
"AR";"24,05"
"AM";"20,59"
"AW";"34,46"
"99999999999998";"99999999999998"
"AU";"48,03"
"AT";"40,40"
"AZ";"16,68"
"BS";"35,84"
"BH";"18,37"
"BD";"0,84"
"BB";"49,18"
"BY";"43,69"
"BE";"42,42"
"BZ";"9,42"
"BJ";"1,45"
"BM";"90,37"
"BT";"3,61"
"BO";"8,58"
"BA";"26,83"
"BW";"6,82"
"BR";"21,41"
"VG";"46,86"
"BN";"20,56"
"BG";"29,23"
"BF";"0,92"
"BI";"0,40"
"KH";"2,51"
"CM";"2,70"
"CA";"53,83"
"CV";"14,33"
"KY";"67,29"
"CF";"0,02"
"TD";"0,43"
"CL";"20,36"
"CN";"21,65"
"CO";"15,65"
"KM";"3,08"
"CD";"0,07"
"CG";"0,31"
"CK";"38,98"
"CR";"23,33"
"CI";"1,39"
"HR";"43,11"
"CU";"10,27"
"CY";"49,92"
"CZ";"22,47"
"KP";"4,80"
"DK";"47,05"
"DJ";"2,17"
"DM";"21,67"
"DO";"10,23"
"EC";"13,97"
"EG";"11,44"
"SV";"16,24"
"GQ";"1,42"
"ER";"1,24"
"EE";"36,20"
"ET";"1,04"
"FK";"69,74"
"FO";"41,56"
"FJ";"15,10"
"FI";"23,30"
"FR";"64,45"
"GF";"19,43"
"PF";"20,51"
"GA";"1,85"
"GM";"2,88"
"GE";"26,28"
"DE";"65,39"
"GH";"1,13"
"GI";"72,31"
"GR";"51,53"
"GL";"38,53"
"GD";"27,10"
"GP";"56,73"
"GU";"41,08"
"GT";"10,24"
"GG";"99999999999998"
"GN";"0,17"
"GW";"0,00"
"GY";"20,07"
"HT";"0,50"
"HN";"8,22"
"HK";"62,09"
"HU";"29,99"
"IS";"60,44"
"IN";"2,85"
"ID";"16,88"
"IR";"34,62"
"IQ";"5,59"
"IE";"44,91"
"IL";"45,89"
"IT";"37,73"
"JM";"9,34"
"JP";"51,04"
"JE";"99999999999998"
"JO";"6,76"
"KZ";"24,74"
"KE";"0,92"
"KI";"8,18"
"KR";"57,60"
"KW";"17,33"
"KG";"9,02"
"LA";"1,65"
"LV";"25,11"
"LB";"19,32"
"LS";"1,89"
"LR";"0,15"
"LY";"19,91"
"LI";"54,44"
"LT";"24,12"
"LU";"53,63"
"MO";"31,36"
"MG";"0,67"
"MW";"1,00"
"MY";"16,40"
"MV";"7,78"
"ML";"0,76"
"MT";"59,51"
"MH";"99999999999998"
"MQ";"43,55"
"MR";"1,98"
"MU";"31,07"
"YT";"4,79"
"MX";"16,98"
"FM";"8,16"
"MD";"28,43"
"MC";"115,68"
"MN";"7,12"
"ME";"27,32"
"MS";"52,59"
"MA";"11,57"
"MZ";"0,36"
"MM";"0,98"
"NA";"7,23"
"NR";"0,00"
"NP";"3,11"
"AN";"44,85"
"NL";"43,35"
"NC";"28,76"
"NZ";"43,02"
"NI";"4,50"
"NE";"0,51"
"NG";"0,66"
"NU";"61,35"
"MP";"46,85"
"NO";"33,72"
"OM";"9,34"
"PK";"3,56"
"PS";"8,86"
"PA";"14,80"
"PG";"1,70"
"PY";"5,84"
"PE";"10,76"
"PH";"3,56"
"PL";"20,01"
"PT";"42,11"
"PR";"23,97"
"QA";"15,17"
"RE";"57,90"
"RO";"22,02"
"RU";"31,38"
"RW";"0,39"
"ST";"4,47"
"WS";"4,30"
"SM";"62,86"
"SA";"15,19"
"SN";"2,65"
"RS";"42,67"
"SC";"24,12"
"SL";"0,22"
"SG";"39,34"
"SK";"20,33"
"SI";"44,54"
"SB";"1,59"
"SO";"0,83"
"ZA";"9,42"
"SS";"0,02"
"ES";"43,13"
"LK";"17,72"
"SH";"56,95"
"KN";"38,49"
"LC";"21,70"
"PM";"76,51"
"VC";"19,85"
"SD";"1,58"
"SR";"16,15"
"SZ";"4,40"
"SE";"50,42"
"CH";"62,66"
"SY";"19,36"
"TW";"71,13"
"TJ";"4,81"
"TZ";"0,38"
"MK";"19,95"
"TH";"10,17"
"TL";"0,26"
"TG";"0,92"
"TK";"26,32"
"TO";"29,77"
"TT";"22,09"
"TN";"12,12"
"TR";"22,40"
"TM";"10,22"
"TC";"11,94"
"TV";"11,39"
"UG";"0,96"
"UA";"28,26"
"AE";"17,89"
"GB";"52,77"
"US";"48,49"
"UY";"28,51"
"UZ";"6,61"
"VU";"3,01"
"VE";"24,40"
"VN";"16,25"
"VI";"71,41"
"WF";"23,21"
"YE";"4,43"
"ZM";"0,85"
"ZW";"2,69"
