;economia_27
"AF";"571404967"
"AL";"1929657032"
"DZ";"34795951491"
"AD";"99999999999998"
"AO";"33047778909"
"AG";"26045541"
"AR";"56787982272"
"AM";"1482667349"
"AW";"79882205"
"AU";"187792151470"
"AT";"145277307185"
"AZ";"11326841102"
"BS";"442781375"
"BH";"16684353120"
"BD";"31734162419"
"BB";"482751934"
"BY";"26660394600"
"BE";"397739156690"
"BZ";"313895185"
"BJ";"625577910"
"BM";"8622430"
"BO";"8725919843"
"BA";"5099185764"
"BW";"6319190972"
"BR";"191126885834"
"BN";"6352662492"
"BG";"25778745945"
"BF";"2177496616"
"BI";"113790703"
"CV";"215240949"
"KH";"8542433639"
"CM";"4052643290"
"CA";"408804205682"
"CF";"96853681"
"CL";"62033060412"
"CN";"2273468224113"
"HK";"510552778635"
"MO";"1339012620"
"CO";"35690766593"
"KM";"99999999999998"
"CG";"99999999999998"
"CR";"9578337782"
"CI";"11844759208"
"HR";"12843529322"
"CY";"1934875215"
"CZ";"157194122601"
"DK";"94618816682"
"DO";"8384108400"
"EC";"18330607692"
"EG";"21967323008"
"SV";"5509047690"
"EE";"13907609950"
"ET";"5027546076"
"FJ";"895159986"
"FI";"59682311206"
"FR";"493941214224"
"PF";"130193767"
"FM";"99999999999998"
"GM";"99999999999998"
"GE";"2204676250"
"DE";"1328549134465"
"GH";"99999999999998"
"GR";"28289236579"
"GL";"394945064"
"GT";"10677394462"
"GN";"1573675202"
"GY";"1285827944"
"HN";"4201473381"
"HU";"100296847323"
"IS";"4721984946"
"IN";"264381003631"
"ID";"150366281305"
"IQ";"49402582280"
"IE";"124730515438"
"IL";"64062217000"
"IT";"456988720336"
"JM";"1262584854"
"JP";"624873508116"
"JO";"7832976598"
"KZ";"45954426051"
"KE";"99999999999998"
"KI";"10008709"
"KW";"55161618440"
"KG";"1441467621"
"LA";"2985095357"
"LV";"11491156721"
"LB";"99999999999998"
"LT";"25411022244"
"LU";"12625702669"
"MG";"2164461193"
"MW";"1080100821"
"MY";"200210871947"
"MV";"144172352"
"ML";"99999999999998"
"MT";"3915447978"
"MR";"99999999999998"
"MU";"2481092714"
"MX";"380637538685"
"MN";"4669280457"
"ME";"353079512"
"MS";"99999999999998"
"MA";"22036819983"
"MZ";"3196081976"
"MM";"12197244386"
"NA";"4628291751"
"NP";"660181989"
"NL";"473834284173"
"NC";"1238945615"
"NZ";"34357358629"
"NI";"4667365609"
"NE";"789770313"
"NG";"99999999999998"
"NO";"104800054672"
"OM";"31926516340"
"PK";"22089018057"
"PW";"6384671"
"PA";"11347872260"
"PY";"8327546291"
"PE";"33667006869"
"PH";"58648083080"
"PL";"194461157270"
"PT";"55258687378"
"QA";"77971079194"
"KR";"526753006361"
"MD";"1966837314"
"RO";"60605047667"
"RU";"343907651828"
"RW";"578693958"
"KN";"31700496"
"LC";"180596808"
"VC";"46868923"
"WS";"58927552"
"ST";"9223182"
"SA";"201491759864"
"SN";"2611671966"
"RS";"13378933798"
"SC";"473849406"
"SL";"93257547"
"SG";"346638023572"
"SK";"75051295241"
"SI";"26586979271"
"SB";"400400592"
"ZA";"80265368195"
"ES";"278122010154"
"LK";"10439729662"
"PS";"957810868"
"SD";"5587516915"
"SR";"99999999999998"
"SE";"140001205633"
"CH";"291959193895"
"MK";"4489933735"
"TH";"210883382473"
"TL";"99999999999998"
"TG";"709991555"
"TO";"99999999999998"
"TT";"10755571039"
"TN";"14073487589"
"TR";"143850376386"
"UG";"2267008685"
"UA";"38127039558"
"AE";"333362349875"
"GB";"466295682754"
"TZ";"5854230521"
"UY";"7669514564"
"US";"1501845863839"
"VE";"99999999999998"
"VN";"162016742480"
"YE";"509857735"
"ZM";"6983184373"
"ZW";"2704095948"
