;economia_26
"AF";"8554413749"
"AL";"4880593254"
"DZ";"54909973274"
"AD";"1487194105"
"AO";"26756062991"
"AG";"507891844"
"AR";"74441745276"
"AM";"4256217854"
"AW";"1303316843"
"AU";"232481271344"
"AT";"173357539421"
"AZ";"10763391507"
"BS";"3365293982"
"BH";"18617509370"
"BD";"35493348058"
"BB";"1768742476"
"BY";"43022675000"
"BE";"488527196756"
"BZ";"906091369"
"BJ";"2940678607"
"BM";"994572258"
"BO";"9352970990"
"BA";"10295187458"
"BW";"7433499256"
"BR";"239747515987"
"BN";"3612434588"
"BG";"34316572909"
"BF";"4365430825"
"BI";"721660450"
"CV";"726366551"
"KH";"8231539701"
"CM";"6657200199"
"CA";"461785073454"
"KY";"929345169"
"CF";"129726502"
"CL";"79347345886"
"CN";"1949992314705"
"HK";"621416867628"
"MO";"99999999999998"
"CO";"59381196537"
"KM";"115238031"
"CG";"8371623127"
"CR";"18124469250"
"CI";"12482984117"
"HR";"21931993510"
"CY";"6418215727"
"CZ";"142525808089"
"DK";"97251542755"
"DO";"17844950988"
"EC";"27064498727"
"EG";"66666448662"
"SV";"10747532925"
"EE";"20186202053"
"ET";"14899146948"
"FJ";"2825730405"
"FI";"77587001767"
"FR";"671253553277"
"PF";"1814846584"
"FM";"187692299"
"GM";"350246491"
"GE";"8022261386"
"DE";"1187314563884"
"GH";"12787233399"
"GR";"61148119836"
"GL";"822141072"
"GT";"17503977537"
"GN";"2401047295"
"GY";"1866255080"
"HN";"99999999999998"
"HU";"99295902335"
"IS";"5019243432"
"IN";"466045567333"
"ID";"186628630620"
"IQ";"99999999999998"
"IE";"74089274561"
"IL";"71995022000"
"IT";"479336353444"
"JM";"6216155431"
"JP";"833166060724"
"JO";"21549015741"
"KZ";"48804580084"
"KE";"16394469337"
"KI";"97105975"
"KW";"29645607309"
"KG";"5983024298"
"LA";"3552279810"
"LV";"16778948555"
"LB";"21234205985"
"LT";"34813224764"
"LU";"23934080172"
"MG";"2699414641"
"MW";"2844625505"
"MY";"205813524818"
"MV";"1733283812"
"ML";"99999999999998"
"MT";"7525360716"
"MR";"3978492178"
"MU";"5395450448"
"MX";"381210149461"
"MN";"6357821461"
"ME";"2348872515"
"MS";"42075118"
"MA";"45186368247"
"MZ";"10099147182"
"MM";"12009121610"
"NA";"7574548144"
"NP";"6451694909"
"NL";"506162309058"
"NC";"3236953212"
"NZ";"39619181510"
"NI";"5498843855"
"NE";"1714075682"
"NG";"44598201120"
"NO";"89807226946"
"OM";"34331193371"
"PK";"43775183185"
"PW";"168551050"
"PA";"12684825298"
"PY";"12142040141"
"PE";"43321707171"
"PH";"65705431237"
"PL";"205613792660"
"PT";"75713900496"
"QA";"27034102982"
"KR";"515572970448"
"MD";"5492393273"
"RO";"73452191656"
"RU";"314945094987"
"RW";"1989145469"
"KN";"248788181"
"LC";"887549998"
"VC";"369910153"
"WS";"366588279"
"ST";"152093663"
"SA";"163013498700"
"SN";"6552182262"
"RS";"20550989938"
"SC";"924711414"
"SL";"99999999999998"
"SG";"373015739788"
"SK";"81295109248"
"SI";"29375441105"
"SB";"580241010"
"ZA";"103309077454"
"ES";"332266845875"
"LK";"17930809142"
"PS";"5163897459"
"SD";"99999999999998"
"SR";"2308497856"
"SE";"160588787761"
"CH";"321050462022"
"MK";"6619586359"
"TH";"250708238320"
"TL";"513738509"
"TG";"1967339825"
"TO";"198026763"
"TT";"12395843339"
"TN";"24266395361"
"TR";"251661250110"
"UG";"5817510222"
"UA";"76986012502"
"AE";"294966918275"
"GB";"657222527853"
"TZ";"12525411044"
"UY";"11642380101"
"US";"2326590208528"
"VE";"44951787132"
"VN";"132032531179"
"YE";"13272928405"
"ZM";"10161842686"
"ZW";"7704177972"
