;redes_31
"AF";"99999999999998"
"AL";"0.11"
"DZ";"0.49"
"AS";"99999999999998"
"AD";"10.54"
"AO";"0.11"
"AI";"22.41"
"AG";"6.48"
"AR";"7.04"
"AM";"1.30"
"AW";"15.44"
"AU";"46.76"
"AT";"33.73"
"AZ";"0.15"
"BS";"8.00"
"BH";"6.15"
"BD";"0.07"
"BB";"3.97"
"BY";"1.86"
"BE";"29.43"
"BZ";"5.96"
"BJ";"0.23"
"BM";"42.95"
"BT";"0.40"
"BO";"1.44"
"BA";"1.08"
"BW";"2.90"
"BR";"2.87"
"VG";"99999999999998"
"BN";"9.00"
"BG";"5.37"
"BF";"0.08"
"BI";"0.08"
"KH";"0.05"
"CM";"0.25"
"CA";"51.30"
"CV";"1.82"
"KY";"99999999999998"
"CF";"0.05"
"TD";"0.04"
"CL";"16.60"
"CN";"1.78"
"CO";"2.21"
"KM";"0.27"
"CD";"0.01"
"CG";"0.03"
"CK";"15.66"
"CR";"5.80"
"CI";"0.23"
"HR";"6.64"
"CU";"0.54"
"CY";"15.26"
"CZ";"9.78"
"KP";"0.00"
"DK";"39.17"
"DJ";"0.19"
"DM";"8.81"
"DO";"3.70"
"EC";"1.46"
"EG";"0.64"
"SV";"1.18"
"GQ";"0.13"
"ER";"0.14"
"EE";"28.58"
"ET";"0.02"
"FK";"58.62"
"FO";"32.92"
"FJ";"1.50"
"FI";"37.25"
"FR";"14.31"
"GF";"9.69"
"PF";"6.36"
"GA";"1.22"
"GM";"0.92"
"GE";"0.48"
"DE";"30.22"
"GH";"0.15"
"GI";"19.13"
"GR";"9.14"
"GL";"31.75"
"GD";"4.06"
"GP";"5.83"
"GU";"16.11"
"GT";"0.71"
"GG";"31.90"
"GN";"0.10"
"GW";"0.23"
"GY";"6.61"
"HT";"0.23"
"HN";"1.20"
"HK";"27.83"
"HU";"7.00"
"IS";"44.47"
"IN";"0.53"
"ID";"0.93"
"IR";"0.93"
"IQ";"99999999999998"
"IE";"17.85"
"IL";"20.87"
"IT";"23.11"
"JM";"3.12"
"JP";"29.99"
"JE";"9.22"
"JO";"2.62"
"KZ";"0.67"
"KE";"0.32"
"KI";"1.79"
"KR";"44.70"
"KW";"6.73"
"KG";"1.04"
"LA";"0.11"
"LV";"6.32"
"LB";"7.95"
"LS";"0.21"
"LR";"0.02"
"LY";"0.19"
"LI";"36.52"
"LT";"6.43"
"LU";"22.89"
"MO";"13.61"
"MG";"0.20"
"MW";"0.13"
"MY";"21.38"
"MV";"2.20"
"ML";"0.14"
"MT";"13.11"
"MH";"1.53"
"MQ";"7.79"
"MR";"0.19"
"MU";"7.28"
"YT";"1.21"
"MX";"5.08"
"FM";"3.73"
"MD";"1.28"
"MC";"42.18"
"MN";"1.26"
"ME";"99999999999998"
"MS";"99999999999998"
"MA";"0.69"
"MZ";"0.11"
"MM";"99999999999998"
"NA";"1.64"
"NR";"99999999999998"
"NP";"0.20"
"AN";"99999999999998"
"NL";"43.98"
"NC";"13.94"
"NZ";"47.38"
"NI";"0.98"
"NE";"0.04"
"NG";"0.06"
"NU";"26.51"
"MP";"99999999999998"
"NO";"52.00"
"OM";"3.52"
"PK";"99999999999998"
"PS";"1.11"
"PA";"6.55"
"PG";"0.84"
"PY";"0.75"
"PE";"3.08"
"PH";"1.98"
"PL";"7.29"
"PT";"16.43"
"PR";"10.47"
"QA";"4.86"
"RE";"13.82"
"RO";"3.61"
"RU";"1.98"
"RW";"0.06"
"ST";"4.64"
"WS";"0.57"
"SM";"48.80"
"SA";"2.21"
"SN";"0.40"
"RS";"99999999999998"
"SC";"7.40"
"SL";"0.12"
"SG";"36.00"
"SK";"9.43"
"SI";"15.11"
"SB";"0.48"
"SO";"0.02"
"ZA";"5.35"
"ES";"13.62"
"LK";"0.65"
"SH";"5.92"
"KN";"5.86"
"LC";"5.09"
"PM";"99999999999998"
"VC";"3.25"
"SD";"0.03"
"SR";"2.51"
"SZ";"0.93"
"SE";"45.69"
"CH";"47.10"
"SY";"0.18"
"TW";"28.10"
"TJ";"0.05"
"TZ";"0.12"
"MK";"2.49"
"TH";"3.69"
"TL";"99999999999998"
"TG";"0.80"
"TK";"99999999999998"
"TO";"2.43"
"TT";"7.72"
"TN";"2.75"
"TR";"3.76"
"TM";"0.13"
"TC";"99999999999998"
"TV";"5.24"
"UG";"0.16"
"UA";"0.72"
"AE";"23.63"
"GB";"26.82"
"US";"43.08"
"UY";"10.54"
"UZ";"0.48"
"VU";"2.11"
"VE";"3.36"
"VN";"0.25"
"VI";"13.82"
"WF";"4.77"
"YE";"0.08"
"ZM";"0.19"
"ZW";"0.40"
