;indicadoressociais_13
"DZ";"2998"
"EG";"3355"
"LY";"3192"
"MA";"3247"
"SD";""
"TN";"3247"
"BI";""
"KM";"2391"
"DJ";"2239"
"ER";""
"ET";"1943"
"KE";"2116"
"MG";"2042"
"MW";"2210"
"MU";"3018"
"MZ";"2070"
"RW";"2017"
"SC";"2298"
"SO";"1718"
"SS";""
"UG";"2317"
"TZ";"2125"
"ZM";"1859"
"ZW";"2023"
"AO";"1757"
"CM";"2305"
"CF";"2015"
"TD";"2027"
"CG";"2047"
"CD";""
"GQ";""
"GA";"2703"
"ST";"2538"
"BW";"2179"
"LS";"2568"
"NA";"2247"
"ZA";"2940"
"BJ";"2449"
"BF";"2510"
"CV";"2518"
"CI";"2627"
"GM";"2434"
"GH";"2754"
"GN";"2458"
"GW";"2261"
"LR";"2123"
"ML";"2594"
"MR";"2610"
"NE";"2446"
"NG";"2696"
"SN";"2266"
"SL";"2089"
"TG";"2256"
"KZ";"3029"
"KG";"2717"
"TJ";"2034"
"TM";"2827"
"UZ";"2471"
"CN";"2873"
"TW";"2973"
"HK";"3226"
"MO";"2809"
"KP";"2176"
"JP";"2816"
"MN";"2257"
"KR";"3104"
"BN";"2981"
"KH";"2327"
"ID";"2474"
"LA";"2241"
"MY";"2810"
"MM";"2146"
"PH";"2483"
"SG";""
"TH";"2723"
"TL";"2036"
"VN";"2476"
"AF";"1960"
"BD";"2375"
"BT";""
"IN";"2253"
"IR";"3054"
"MV";"2429"
"NP";"2386"
"PK";"2360"
"LK";"2358"
"AM";"2659"
"AZ";"2829"
"BH";""
"CY";"2675"
"GE";"2916"
"IQ";"2364"
"IL";"3626"
"JO";"2872"
"KW";"3558"
"LB";"3145"
"OM";"2718"
"QA";""
"SA";"2999"
"PS";""
"SY";"3091"
"TR";"3622"
"AE";"3227"
"YE";"2095"
"AG";"2256"
"BS";"2645"
"BB";"2832"
"CU";"3287"
"DM";"2933"
"DO";"2304"
"GD";"2383"
"HT";"1905"
"JM";"2793"
"PR";""
"KN";"2433"
"LC";"2644"
"VC";"2764"
"TT";"2778"
"BZ";"2798"
"CR";"2816"
"SV";"2572"
"GT";"2375"
"HN";"2500"
"MX";"3083"
"NI";"2391"
"PA";"2311"
"AR";"3083"
"BO";"2106"
"BR";"3085"
"CL";"2928"
"CO";"2760"
"EC";"2336"
"GY";"2678"
"PY";"2625"
"PE";"2380"
"SR";"2601"
"UY";"2821"
"VE";"2499"
"AU";"3103"
"NZ";"3164"
"FJ";"2930"
"NC";"2757"
"PG";"2291"
"SB";"2429"
"VU";"2775"
"FM";""
"KI";"2893"
"MH";""
"NR";""
"PW";""
"AS";""
"CK";""
"PF";"2908"
"NU";""
"WS";"2879"
"TK";""
"TO";""
"TV";""
"BM";"2522"
"CA";"3490"
"GL";""
"US";"3807"
"BY";"2990"
"BG";"2749"
"CZ";"3306"
"HU";"3247"
"PL";"3368"
"MD";"2634"
"RO";"3393"
"RU";"3188"
"SK";"2830"
"UA";"3216"
"DK";"3401"
"EE";"3150"
"FI";"3209"
"IS";"3339"
"IE";"3520"
"LV";"3143"
"LT";"3430"
"NO";"3481"
"SE";"3120"
"GB";"3440"
"AL";"2840"
"AD";""
"BA";"3048"
"HR";"2998"
"GR";"3599"
"IT";"3606"
"MT";"3370"
"ME";""
"PT";"3529"
"RS";""
"SI";"3116"
"ES";"3231"
"MK";"2826"
"AT";"3655"
"BE";"3718"
"FR";"3535"
"DE";"3442"
"LU";"3499"
"NL";"3214"
"CH";"3410"
