;populacao_6
"BI";"341.4"
"KM";"370.6"
"DJ";"36.7"
"ER";"43.5"
"ET";"87.7"
"KE";"72.7"
"MG";"36.4"
"MW";"160.9"
"MU";"614.8"
"YT";"556.6"
"MZ";"30.8"
"RE";"332.2"
"RW";"415.4"
"SC";"198.7"
"SO";"19.2"
"SS";"16.5"
"UG";"169.7"
"TZ";"52.0"
"ZM";"18.6"
"ZW";"36.4"
"AO";"18.7"
"CM";"42.3"
"CF";"7.1"
"TD";"9.4"
"CG";"12.9"
"CD";"28.5"
"GQ";"33.9"
"GA";"6.4"
"ST";"182.1"
"DZ";"15.2"
"EG";"84.5"
"LY";"3.5"
"MA";"72.6"
"SD";"19.5"
"TN";"68.5"
"EH";"1.8"
"BW";"3.6"
"LS";"67.2"
"NA";"2.6"
"ZA";"42.5"
"SZ";"69.9"
"BJ";"81.6"
"BF";"57.0"
"CV";"124.7"
"CI";"64.2"
"GM";"167.2"
"GH";"107.7"
"GN";"43.9"
"GW";"55.3"
"LR";"41.0"
"ML";"12.4"
"MR";"3.5"
"NE";"13.0"
"NG";"174.1"
"SH";"10.7"
"SN";"67.1"
"SL";"89.5"
"TG";"119.6"
"CN";"144.8"
"HK";"6.690.7"
"MO";"17.958.8"
"TW";"652.4"
"KP";"204.2"
"JP";"352.6"
"MN";"1.8"
"KR";"509.7"
"KZ";"6.1"
"KG";"28.3"
"TJ";"54.6"
"TM";"10.8"
"UZ";"67.3"
"AF";"44.1"
"BD";"1.168.9"
"BT";"19.1"
"IN";"414.0"
"IR";"45.8"
"MV";"1.215.0"
"NP";"188.5"
"PK";"221.3"
"LK";"322.1"
"BN";"73.8"
"KH";"81.1"
"ID";"133.9"
"LA";"27.1"
"MY";"85.6"
"MM";"76.8"
"PH";"314.3"
"SG";"7.248.9"
"TH";"131.6"
"TL";"74.6"
"VN";"285.3"
"AM";"101.1"
"AZ";"109.3"
"BH";"1.632.7"
"CY";"120.4"
"GE";"60.9"
"IQ";"70.8"
"IL";"343.2"
"JO";"80.9"
"KW";"168.2"
"LB";"424.0"
"OM";"9.8"
"QA";"153.3"
"SA";"12.8"
"PS";"675.6"
"SY";"114.5"
"TR";"94.0"
"AE";"98.9"
"YE";"44.7"
"BY";"46.7"
"BG";"68.2"
"CZ";"136.4"
"HU";"109.7"
"PL";"125.2"
"MD";"124.3"
"RO";"88.8"
"RU";"8.7"
"SK";"112.4"
"UA";"79.1"
"DK";"130.9"
"EE";"31.4"
"FO";"34.8"
"FI";"17.7"
"IS";"3.2"
"IE";"67.2"
"IM";"140.5"
"LV";"34.1"
"LT";"49.8"
"NO";"13.4"
"SE";"22.9"
"GB";"261.7"
"AL";"107.3"
"AD";"179.7"
"BA";"73.0"
"HR";"77.3"
"GI";"3.318.9"
"GR";"88.8"
"VA";"1.804.6"
"IT";"203.1"
"MT";"1.300.3"
"ME";"46.4"
"PT";"116.3"
"SM";"518.5"
"RS";"103.2"
"SI";"101.6"
"ES";"93.8"
"MK";"82.1"
"AT";"102.1"
"BE";"361.3"
"FR";"115.1"
"DE";"232.1"
"LI";"225.0"
"LU";"196.1"
"MC";"24.895.3"
"NL";"494.8"
"CH";"198.2"
"AI";"153.0"
"AG";"215.1"
"AW";"564.8"
"BS";"36.1"
"BB";"650.2"
"VG";"181.5"
"KY";"231.3"
"CU";"106.5"
"CW";"332.5"
"DM";"95.3"
"DO";"204.8"
"GD";"307.9"
"GP";"266.7"
"HT";"362.8"
"JM";"260.1"
"MQ";"372.6"
"MS";"49.4"
"PR";"419.0"
"KN";"197.9"
"LC";"282.9"
"VC";"280.3"
"SX";"974.2"
"TT";"258.9"
"TC";"32.6"
"VI";"303.3"
"BZ";"14.1"
"CR";"89.0"
"SV";"297.5"
"GT";"136.5"
"HN";"73.2"
"MX";"60.4"
"NI";"47.7"
"PA";"49.0"
"AR";"15.1"
"BO";"9.2"
"BR";"23.6"
"CL";"22.9"
"CO";"41.4"
"EC";"60.1"
"FK";"0.2"
"GF";"2.9"
"GY";"3.8"
"PY";"15.6"
"PE";"23.0"
"SR";"3.4"
"UY";"19.3"
"VE";"32.9"
"BM";"1.279.1"
"CA";"3.8"
"GL";"0.1"
"PM";"27.3"
"US";"33.7"
"AU";"2.9"
"NZ";"16.6"
"FJ";"47.1"
"NC";"13.7"
"PG";"15.7"
"SB";"18.9"
