;economia_25
"AF";"99999999999998"
"AL";"4070.00"
"DZ";"2039.00"
"AS";"20.10"
"AD";"2831.00"
"AO";"397.00"
"AG";"265.00"
"AR";"5559.00"
"AM";"1260.00"
"AW";"1102.00"
"AU";"8263.00"
"AT";"28121.00"
"AZ";"2044.00"
"BS";"1482.00"
"BH";"10158.00"
"BD";"99999999999998"
"BB";"632.00"
"BY";"9423.50"
"BE";"7481.00"
"BZ";"386.00"
"BJ";"267.00"
"BM";"244.00"
"BT";"210.00"
"BO";"959.00"
"BA";"777.00"
"BW";"99999999999998"
"BR";"6578.00"
"VG";"408.00"
"BN";"219.00"
"BG";"8252.00"
"BF";"152.00"
"BI";"187.00"
"CV";"598.00"
"KH";"5012.00"
"CM";"99999999999998"
"CA";"19824.00"
"KY";"385.00"
"CF";"99999999999998"
"TD";"99999999999998"
"CL";"5641.00"
"CN";"59270.00"
"CO";"3317.00"
"KM";"26.80"
"CD";"99999999999998"
"CG";"224.00"
"CR";"2925.00"
"CI";"1583.00"
"HR";"13809.00"
"CU";"3968.00"
"CW";"441.00"
"CY";"3187.00"
"CZ";"9321.00"
"DK";"10781.00"
"DJ";"99999999999998"
"DM";"78.00"
"DO";"5959.30"
"EC";"1418.00"
"EG";"5258.00"
"SV";"1434.00"
"GQ";"99999999999998"
"ER";"142.00"
"EE";"3147.00"
"ET";"871.00"
"FO";"99999999999998"
"FJ";"792.00"
"FI";"2789.00"
"FR";"82570.00"
"PF";"192.00"
"GA";"99999999999998"
"GM";"161.00"
"GE";"6361.00"
"DE";"35555.00"
"GH";"99999999999998"
"GI";"99999999999998"
"GR";"24799.00"
"GL";"99999999999998"
"GD";"156.00"
"GU";"1535.00"
"GT";"1906.00"
"GN";"99999999999998"
"GW";"99999999999998"
"GY";"235.00"
"HT";"99999999999998"
"HN";"99999999999998"
"HK";"26553.00"
"HU";"5302.00"
"IS";"1792.00"
"IN";"14569.00"
"ID";"11519.00"
"IR";"4942.00"
"IQ";"99999999999998"
"IE";"10100.00"
"IM";"99999999999998"
"IL";"2900.00"
"IT";"52372.00"
"JM";"2182.00"
"JP";"24040.00"
"JO";"3858.00"
"KZ";"6509.00"
"KE";"1268.00"
"KI";"5.70"
"KP";"99999999999998"
"KR";"17242.00"
"XK";"99999999999998"
"KW";"99999999999998"
"KG";"2930.00"
"LA";"3315.00"
"LV";"1793.00"
"LB";"1688.00"
"LS";"1196.00"
"LR";"99999999999998"
"LY";"99999999999998"
"LI";"60.00"
"LT";"2296.00"
"LU";"1054.00"
"MO";"15703.60"
"MK";"510.00"
"MG";"293.00"
"MW";"849.00"
"MY";"26757.00"
"MV";"1286.00"
"ML";"173.20"
"MT";"1966.00"
"MH";"9.80"
"MR";"99999999999998"
"MU";"1275.00"
"MX";"35079.00"
"FM";"29.60"
"MD";"121.00"
"MC";"336.00"
"MN";"404.00"
"ME";"1662.00"
"MA";"10332.00"
"MZ";"1639.00"
"MM";"2907.00"
"NA";"1469.00"
"NR";"99999999999998"
"NP";"753.00"
"NL";"15828.00"
"NC";"116.00"
"NZ";"3370.00"
"NI";"1504.00"
"NE";"152.00"
"NG";"1889.00"
"MP";"531.00"
"NO";"5960.00"
"OM";"2292.00"
"PK";"99999999999998"
"PW";"138.00"
"PA";"2007.00"
"PG";"99999999999998"
"PY";"1308.00"
"PE";"3744.00"
"PH";"5967.00"
"PL";"17471.00"
"PT";"11223.00"
"PR";"3736.00"
"QA";"2938.20"
"RO";"10223.00"
"RU";"24571.00"
"RW";"932.00"
"WS";"134.00"
"SM";"60.00"
"ST";"29.00"
"SA";"18049.00"
"SN";"99999999999998"
"RS";"1281.00"
"SC";"303.00"
"SL";"55.00"
"SG";"12914.00"
"SX";"528.00"
"SK";"2027.00"
"SI";"3032.00"
"SB";"23.20"
"SO";"99999999999998"
"ZA";"10044.00"
"SS";"99999999999998"
"ES";"75315.00"
"LK";"2051.00"
"KN";"99999999999998"
"LC";"348.00"
"MF";"99999999999998"
"VC";"79.00"
"SD";"99999999999998"
"SR";"256.00"
"SE";"6782.00"
"CH";"9205.00"
"SY";"99999999999998"
"TJ";"99999999999998"
"TZ";"1233.00"
"TH";"32530.00"
"TL";"66.00"
"TG";"338.00"
"TO";"59.10"
"TT";"410.00"
"TN";"5724.00"
"TR";"30289.00"
"TM";"99999999999998"
"TC";"454.00"
"TV";"2.50"
"UG";"1323.00"
"UA";"13333.00"
"AE";"99999999999998"
"GB";"35814.00"
"US";"75608.00"
"UY";"3037.00"
"UZ";"99999999999998"
"VU";"95.10"
"VE";"601.00"
"VN";"10013.00"
"VI";"99999999999998"
"YE";"99999999999998"
"ZM";"956.00"
"ZW";"2168.00"
