;economia_21
"AF";"19.525"
"AO";"75.307"
"AL";"47.035"
"AE";"40.612"
"AR";"47.223"
"AM";"51.609"
"AU";"59.178"
"AT";"54.915"
"AZ";"62.791"
"BI";"80.27"
"BE";"47.839"
"BJ";"68.895"
"BF";"57.925"
"BD";"33.185"
"BG";"47.76"
"BH";"44.21"
"BS";"70.131"
"BA";"35.064"
"BY";"58.166"
"BZ";"53.719"
"BO";"55.269"
"BR";"53.08"
"BB";"61.891"
"BN";"59.003"
"BT";"58.484"
"BW";"65.96"
"CF";"63.305"
"CA";"60.559"
"TD";"64.813"
"CH";"62.844"
"CL";"50.794"
"CN";"60.871"
"CI";"48.173"
"CM";"71.296"
"CD";"71.366"
"CG";"67.339"
"CO";"58.968"
"KM";"36.133"
"CV";"49.965"
"CR";"45.617"
"CU";"41.308"
"CY";"58.052"
"CZ";"51.844"
"DE";"55.072"
"DJ";"49.529"
"DK";"59.076"
"DO";"54.391"
"DZ";"15.311"
"EC";"55.034"
"EG";"22.315"
"ER";"75.441"
"EH";"28.907"
"ES";"51.967"
"EE";"56.206"
"ET";"77.445"
"FI";"54.682"
"FJ";"40.694"
"FR";"50.472"
"GA";"43.164"
"GB";"56.857"
"GE";"57.956"
"GH";"74.942"
"GN";"63.036"
"GM";"51.368"
"GW";"65.679"
"GQ";"55.683"
"GR";"45.285"
"GT";"40.632"
"GU";"52.782"
"GY";"40.85"
"HK";"53.824"
"HN";"50.931"
"HR";"45.42"
"HT";"64.14"
"HU";"47.879"
"ID";"50.698"
"IN";"26.968"
"IE";"52.705"
"IR";"16.576"
"IQ";"18.964"
"IS";"72.482"
"IL";"59.32"
"IT";"39.421"
"JM";"57.562"
"JO";"14.018"
"JP";"50.419"
"KZ";"65.225"
"KE";"62.366"
"KG";"47.976"
"KH";"81.19"
"KR";"52.179"
"KW";"46.896"
"LA";"76.971"
"LB";"23.263"
"LR";"53.916"
"LY";"25.798"
"LC";"61.402"
"LK";"34.903"
"LS";"59.263"
"LT";"55.926"
"LU";"52.314"
"LV";"55.038"
"MO";"65.97"
"MA";"24.885"
"MD";"38.896"
"MG";"83.809"
"MV";"43.333"
"MX";"44.276"
"MK";"42.547"
"ML";"61.081"
"MT";"42.269"
"MM";"51.087"
"ME";"41.976"
"MN";"52.716"
"MZ";"82.315"
"MR";"31.052"
"MU";"45.06"
"MW";"72.355"
"MY";"50.98"
"NA";"58.982"
"NC";"57.287"
"NE";"67.461"
"NG";"50.529"
"NI";"50.568"
"NL";"57.914"
"NO";"60.799"
"NP";"82.692"
"NZ";"63.79"
"OM";"30.053"
"PK";"25.121"
"PA";"52.821"
"PE";"69.447"
"PH";"49.756"
"PG";"68.944"
"PL";"48.536"
"PR";"33.141"
"KP";"74.38"
"PT";"53.04"
"PY";"56.891"
"PS";"19.789"
"PF";"47.679"
"QA";"57.841"
"RO";"43.72"
"RU";"56.305"
"RW";"86.01"
"SA";"22.307"
"SD";"23.508"
"SN";"45.875"
"SG";"60.308"
"SB";"62.417"
"SL";"56.994"
"SV";"47.284"
"SO";"18.656"
"RS";"45.568"
"SS";"70.886"
"ST";"41.243"
"SR";"41.908"
"SK";"52.239"
"SI";"51.377"
"SE";"60.846"
"SZ";"42.899"
"SY";"11.603"
"TG";"75.559"
"TH";"60.278"
"TJ";"45.406"
"TM";"53.249"
"TL";"24.687"
"TO";"45.137"
"TT";"50.951"
"TN";"24.112"
"TR";"32.226"
"TW";"50.152"
"TZ";"79.386"
"UG";"66.703"
"UA";"46.643"
"UY";"56.306"
"US";"55.478"
"UZ";"53.824"
"VC";"58.744"
"VE";"50.357"
"VI";"56.979"
"VN";"73.205"
"VU";"61.539"
"WS";"23.677"
"YE";"5.823"
"ZA";"47.901"
"ZM";"70.14"
"ZW";"78.859"
