;economia_20
"AF";"51.755"
"AO";"77.758"
"AL";"54.534"
"AE";"81.207"
"AR";"61.236"
"AM";"57.106"
"AU";"65.529"
"AT";"59.976"
"AZ";"63.945"
"BI";"79.618"
"BE";"53.383"
"BJ";"71.252"
"BF";"71.192"
"BD";"57.105"
"BG";"54.33"
"BH";"71.425"
"BS";"75.722"
"BA";"48.362"
"BY";"62.577"
"BZ";"66.588"
"BO";"72.058"
"BR";"66.999"
"BB";"68.461"
"BN";"67.362"
"BT";"71.704"
"BW";"63.173"
"CF";"71.491"
"CA";"66.751"
"TD";"72.073"
"CH";"68.266"
"CL";"58.041"
"CN";"71.451"
"CI";"61.154"
"CM";"75.9"
"CD";"72.401"
"CG";"69.384"
"CO";"68.404"
"KM";"42.017"
"CV";"59.19"
"CR";"62"
"CU";"55.883"
"CY";"63.588"
"CZ";"58.601"
"DE";"59.358"
"DJ";"59.457"
"DK";"65.323"
"DO";"62.461"
"DZ";"42.122"
"EC";"67.477"
"EG";"48.822"
"ER";"80.346"
"EH";"55.49"
"ES";"59.038"
"EE";"60.876"
"ET";"83.928"
"FI";"60.44"
"FJ";"56.198"
"FR";"56.386"
"GA";"48.847"
"GB";"62.018"
"GE";"63.691"
"GH";"75.991"
"GN";"64.808"
"GM";"59.124"
"GW";"71.187"
"GQ";"58.174"
"GR";"54.267"
"GT";"63.718"
"GU";"67.077"
"GY";"56.278"
"HK";"60.232"
"HN";"64.088"
"HR";"53.267"
"HT";"65.661"
"HU";"49.981"
"ID";"67.709"
"IN";"56.328"
"IE";"62.164"
"IR";"43.798"
"IQ";"46.977"
"IS";"74.639"
"IL";"62.748"
"IT";"48.269"
"JM";"66.302"
"JO";"42.598"
"JP";"60.373"
"KZ";"70.013"
"KE";"65.84"
"KG";"63.844"
"KH";"84.776"
"KR";"60.657"
"KW";"69.396"
"LA";"78.142"
"LB";"45.895"
"LR";"56.422"
"LY";"53.474"
"LC";"67.058"
"LK";"55.765"
"LS";"68.183"
"LT";"56.663"
"LU";"57.277"
"LV";"60.092"
"MO";"70.429"
"MA";"49.865"
"MD";"42.911"
"MG";"88.697"
"MV";"65.852"
"MX";"61.564"
"MK";"55.396"
"ML";"62.787"
"MT";"49.463"
"MM";"67.795"
"ME";"49.755"
"MN";"59.125"
"MZ";"82.708"
"MR";"49.908"
"MU";"57.619"
"MW";"77.289"
"MY";"60.4"
"NA";"58.706"
"NC";"63.688"
"NE";"79.16"
"NG";"54.91"
"NI";"63.98"
"NL";"66.364"
"NO";"66.45"
"NP";"83.086"
"NZ";"67.481"
"OM";"60.142"
"PK";"53.715"
"PA";"66.428"
"PE";"78.362"
"PH";"62.423"
"PG";"71.895"
"PL";"55.254"
"PR";"45.358"
"KP";"80.927"
"PT";"61.251"
"PY";"71.067"
"PS";"41.491"
"PF";"56.311"
"QA";"85.104"
"RO";"53.758"
"RU";"63.054"
"RW";"86.723"
"SA";"50.123"
"SD";"47.618"
"SN";"54.347"
"SG";"66.47"
"SB";"72.626"
"SL";"61.956"
"SV";"61.572"
"SO";"46.086"
"RS";"52.073"
"SS";"73.419"
"ST";"57.221"
"SR";"52.946"
"SK";"58.723"
"SI";"59.426"
"SE";"63.287"
"SZ";"52.499"
"SY";"42.977"
"TG";"79.241"
"TH";"72.855"
"TJ";"58.963"
"TM";"63.993"
"TL";"42.797"
"TO";"60.062"
"TT";"63.504"
"TN";"46.302"
"TR";"46.638"
"TW";"57.928"
"TZ";"83.12"
"UG";"70.753"
"UA";"54.928"
"UY";"65.284"
"US";"64.324"
"UZ";"63.878"
"VC";"69.076"
"VE";"65.107"
"VI";"63.944"
"VN";"76.606"
"VU";"70.147"
"WS";"32.611"
"YE";"39.959"
"ZA";"54.004"
"ZM";"77.176"
"ZW";"82.574"
