;populacao_5
"BI";"87.6"
"KM";"71.4"
"DJ";"22.5"
"ER";"61.2"
"ET";"80.1"
"KE";"73.9"
"MG";"64.1"
"MW";"83.5"
"MU";"59.1"
"YT";"53.3"
"MZ";"65.1"
"RE";"0.6"
"RW";"82.9"
"SC";"44.2"
"SO";"56.2"
"SS";"80.9"
"UG";"77.4"
"TZ";"67.7"
"ZM";"57.6"
"ZW";"67.7"
"AO";"35.9"
"CM";"44.8"
"CF";"59.4"
"TD";"77.3"
"CG";"34.0"
"CD";"56.7"
"GQ";"28.9"
"GA";"11.4"
"ST";"28.9"
"DZ";"28.5"
"EG";"57.3"
"LY";"20.5"
"MA";"38.6"
"SD";"65.9"
"TN";"31.7"
"EH";"13.4"
"BW";"32.1"
"LS";"72.7"
"NA";"52.0"
"ZA";"34.7"
"SZ";"76.5"
"BJ";"53.8"
"BF";"71.9"
"CV";"35.2"
"CI";"50.1"
"GM";"40.1"
"GH";"45.3"
"GN";"64.5"
"GW";"57.5"
"LR";"49.8"
"ML";"59.2"
"MR";"48.0"
"NE";"83.7"
"NG";"51.3"
"SH";"60.4"
"SN";"53.7"
"SL";"58.8"
"TG";"59.4"
"CN";"43.3"
"HK";"0.0"
"MO";"0.0"
"TW";"22.7"
"KP";"38.5"
"JP";"8.5"
"MN";"31.7"
"KR";"18.4"
"KZ";"42.7"
"KG";"64.1"
"TJ";"73.2"
"TM";"49.3"
"UZ";"49.4"
"AF";"75.0"
"BD";"64.9"
"BT";"60.6"
"IN";"66.8"
"IR";"26.1"
"MV";"61.1"
"NP";"81.1"
"PK";"63.8"
"LK";"81.7"
"BN";"23.0"
"KH";"77.4"
"ID";"46.0"
"LA";"66.3"
"MY";"25.2"
"MM";"69.9"
"PH";"53.5"
"SG";"0.0"
"TH";"51.6"
"TL";"70.2"
"VN";"65.5"
"AM";"36.9"
"AZ";"45.0"
"BH";"10.9"
"CY";"33.1"
"GE";"42.2"
"IQ";"29.9"
"IL";"7.7"
"JO";"9.5"
"KW";"0.0"
"LB";"11.7"
"OM";"17.5"
"QA";"1.0"
"SA";"16.6"
"PS";"24.4"
"SY";"47.2"
"TR";"25.9"
"AE";"14.0"
"YE";"64.6"
"BY";"22.3"
"BG";"25.7"
"CZ";"26.4"
"HU";"29.2"
"PL";"39.8"
"MD";"57.5"
"RO";"46.1"
"RU";"25.8"
"SK";"46.2"
"UA";"30.9"
"DK";"12.4"
"EE";"31.4"
"FO";"58.2"
"FI";"14.7"
"IS";"6.3"
"IE";"37.3"
"IM";"47.7"
"LV";"32.0"
"LT";"32.6"
"NO";"18.5"
"SE";"13.2"
"GB";"17.1"
"AL";"41.6"
"AD";"11.8"
"BA";"52.5"
"HR";"43.6"
"GI";"0.0"
"GR";"21.6"
"VA";"0.0"
"IT";"30.1"
"MT";"5.5"
"ME";"33.9"
"PT";"35.9"
"SM";"3.1"
"RS";"44.2"
"SI";"46.0"
"ES";"20.2"
"MK";"42.4"
"AT";"42.1"
"BE";"2.1"
"FR";"20.1"
"DE";"22.8"
"LI";"85.7"
"LU";"9.5"
"MC";"0.0"
"NL";"9.4"
"CH";"26.3"
"AI";"0.0"
"AG";"75.2"
"AW";"56.8"
"BS";"17.2"
"BB";"68.8"
"VG";"53.0"
"KY";"0.0"
"CU";"23.1"
"CW";"10.7"
"DM";"30.1"
"DO";"20.6"
"GD";"63.9"
"GP";"1.6"
"HT";"46.6"
"JM";"44.9"
"MQ";"11.0"
"MS";"91.0"
"PR";"6.4"
"KN";"69.2"
"LC";"81.4"
"VC";"48.6"
"SX";"0.0"
"TT";"46.8"
"TC";"7.5"
"VI";"4.5"
"BZ";"54.5"
"CR";"22.3"
"SV";"29.5"
"GT";"49.7"
"HN";"44.2"
"MX";"20.4"
"NI";"41.9"
"PA";"33.0"
"AR";"8.4"
"BO";"31.3"
"BR";"14.0"
"CL";"12.6"
"CO";"19.9"
"EC";"36.5"
"FK";"23.3"
"GF";"15.2"
"GY";"73.5"
"PY";"39.0"
"PE";"22.5"
"SR";"34.0"
"UY";"4.9"
"VE";"11.8"
"BM";"0.0"
"CA";"18.7"
"GL";"13.7"
"PM";"10.1"
"US";"18.1"
"AU";"14.2"
"NZ";"13.6"
"FJ";"44.8"
"NC";"30.2"
"PG";"87.0"
"SB";"77.2"
"VU";"74.9"
"FM";"31.8"
"GU";"5.4"
"KI";"47.6"
"MH";"23.8"
"FM";"77.5"
"NR";"0.0"
"MP";"8.6"
"PW";"21.2"
"AS";"12.8"
"CK";"25.4"
"PF";"38.3"
"NU";"56.7"
"WS";"81.3"
"TK";"100.0"
"TO";"76.8"
"TV";"39.4"
"WF";"100.0"
