;populacao_4
"BI";"11.8"
"KM";"28.3"
"DJ";"77.3"
"ER";"37.6"
"ET";"19.0"
"KE";"25.2"
"MG";"34.5"
"MW";"16.1"
"MU";"41.1"
"YT";"47.3"
"MZ";"33.9"
"RE";"99.2"
"RW";"17.0"
"SC";"55.0"
"SO";"42.7"
"SS";"18.6"
"UG";"21.5"
"TZ";"30.9"
"ZM";"41.4"
"ZW";"32.5"
"AO";"62.7"
"CM";"54.0"
"CF";"40.0"
"TD";"22.4"
"CG";"65.1"
"CD";"42.2"
"GQ";"70.1"
"GA";"87.7"
"ST";"69.2"
"DZ";"70.2"
"EG";"42.8"
"LY";"79.0"
"MA";"60.3"
"SD";"33.7"
"TN";"67.8"
"EH";"86.5"
"BW";"66.4"
"LS";"26.5"
"NA";"45.8"
"ZA";"64.3"
"SZ";"23.2"
"BJ";"45.2"
"BF";"26.9"
"CV";"63.8"
"CI";"49.0"
"GM";"58.5"
"GH";"53.4"
"GN";"34.8"
"GW";"41.7"
"LR";"49.4"
"ML";"39.2"
"MR";"50.2"
"NE";"16.2"
"NG";"47.0"
"SH";"39.5"
"SN";"45.4"
"SL";"40.4"
"TG";"39.6"
"CN";"54.3"
"HK";"100.0"
"MO";"100.0"
"TW";"76.5"
"KP";"61.1"
"JP";"91.3"
"MN";"68.2"
"KR";"81.7"
"KZ";"57.1"
"KG";"35.6"
"TJ";"26.7"
"TM";"49.9"
"UZ";"50.9"
"AF";"24.6"
"BD";"33.5"
"BT";"37.9"
"IN";"32.4"
"IR";"72.8"
"MV";"38.1"
"NP";"18.2"
"PK";"35.8"
"LK";"18.2"
"BN";"76.3"
"KH";"21.8"
"ID";"52.6"
"LA";"32.5"
"MY";"73.6"
"MM";"29.7"
"PH";"46.1"
"SG";"100.0"
"TH";"46.9"
"TL";"29.1"
"VN";"33.1"
"AM";"63.1"
"AZ";"54.4"
"BH";"88.9"
"CY";"67.0"
"GE";"57.1"
"IQ";"69.8"
"IL";"92.1"
"JO";"90.0"
"KW";"100.0"
"LB";"88.0"
"OM";"80.1"
"QA";"98.9"
"SA";"83.0"
"PS";"75.1"
"SY";"51.5"
"TR";"73.1"
"AE";"85.4"
"YE";"34.2"
"BY";"76.7"
"BG";"73.7"
"CZ";"73.4"
"HU";"70.2"
"PL";"60.4"
"MD";"42.5"
"RO";"53.9"
"RU";"74.0"
"SK";"54.0"
"UA";"69.0"
"DK";"87.4"
"EE";"68.3"
"FO";"41.5"
"FI";"85.2"
"IS";"93.7"
"IE";"62.3"
"IM";"52.2"
"LV";"68.0"
"LT";"67.1"
"NO";"80.7"
"SE";"86.3"
"GB";"82.4"
"AL";"56.4"
"AD";"88.4"
"BA";"46.8"
"HR";"55.9"
"GI";"100.0"
"GR";"77.7"
"VA";"100.0"
"IT";"69.3"
"MT";"94.4"
"ME";"65.5"
"PT";"62.9"
"SM";"96.6"
"RS";"55.6"
"SI";"53.6"
"ES";"79.4"
"MK";"57.3"
"AT";"57.5"
"BE";"97.8"
"FR";"79.4"
"DE";"77.2"
"LI";"14.3"
"LU";"89.9"
"MC";"100.0"
"NL";"89.7"
"CH";"73.7"
"AI";"100.0"
"AG";"25.2"
"AW";"43.0"
"BS";"82.7"
"BB";"31.3"
"VG";"46.2"
"KY";"100.0"
"CU";"76.9"
"CW";"89.4"
"DM";"69.3"
"DO";"77.7"
"GD";"35.9"
"GP";"98.4"
"HT";"51.4"
"JM";"54.6"
"MQ";"89.0"
"MS";"9.1"
"PR";"93.7"
"KN";"30.9"
"LC";"18.5"
"VC";"50.6"
"SX";"100.0"
"TT";"53.4"
"TC";"91.9"
"VI";"95.2"
"BZ";"45.3"
"CR";"75.9"
"SV";"68.9"
"GT";"49.6"
"HN";"54.5"
"MX";"79.0"
"NI";"57.7"
"PA";"66.4"
"AR";"91.4"
"BO";"68.1"
"BR";"85.5"
"CL";"87.3"
"CO";"79.4"
"EC";"63.3"
"FK";"75.8"
"GF";"84.2"
"GY";"26.4"
"PY";"60.5"
"PE";"77.2"
"SR";"66.1"
"UY";"94.9"
"VE";"88.1"
"BM";"100.0"
"CA";"81.2"
"GL";"85.8"
"PM";"89.9"
"US";"81.5"
"AU";"85.6"
"NZ";"86.3"
"FJ";"54.2"
"NC";"68.9"
"PG";"13.0"
"SB";"21.9"
"VU";"24.9"
"FM";"67.7"
"GU";"94.5"
"KI";"50.8"
"MH";"75.4"
"FM";"22.4"
"NR";"100.0"
"MP";"91.3"
"PW";"77.5"
"AS";"87.3"
"CK";"74.2"
"PF";"61.6"
"NU";"41.8"
"WS";"19.2"
"TK";"0.0"
"TO";"23.3"
"TV";"58.8"
"WF";"0.0"
