;redes_29
"AF";"0.00"
"AL";"12.58"
"DZ";"0.32"
"AS";"3.71"
"AD";"43.70"
"AO";"0.44"
"AI";"15.59"
"AG";"29.39"
"AR";"17.99"
"AM";"0.84"
"AW";"57.05"
"AU";"57.77"
"AT";"80.78"
"AZ";"8.91"
"BS";"19.98"
"BH";"42.95"
"BD";"0.39"
"BB";"19.62"
"BY";"1.40"
"BE";"74.59"
"BZ";"15.36"
"BJ";"1.77"
"BM";"20.73"
"BT";"0.00"
"BO";"9.18"
"BA";"11.79"
"BW";"18.93"
"BR";"16.17"
"VG";"99999999999998"
"BN";"42.05"
"BG";"19.54"
"BF";"0.64"
"BI";"0.51"
"KH";"1.80"
"CM";"2.66"
"CA";"34.32"
"CV";"7.10"
"KY";"39.25"
"CF";"0.29"
"TD";"0.25"
"CL";"33.03"
"CN";"11.22"
"CO";"7.97"
"KM";"0.00"
"CD";"0.31"
"CG";"4.52"
"CK";"5.14"
"CR";"8.18"
"CI";"4.28"
"HR";"39.81"
"CU";"0.08"
"CY";"32.69"
"CZ";"67.64"
"KP";"0.00"
"DK";"73.91"
"DJ";"0.41"
"DM";"11.07"
"DO";"14.60"
"EC";"6.68"
"EG";"3.92"
"SV";"14.52"
"GQ";"2.34"
"ER";"0.00"
"EE";"46.79"
"ET";"0.04"
"FK";"0.00"
"FO";"51.52"
"FJ";"9.94"
"FI";"80.29"
"FR";"61.75"
"GF";"44.15"
"PF";"27.89"
"GA";"11.88"
"GM";"4.34"
"GE";"6.45"
"DE";"68.84"
"GH";"1.26"
"GI";"31.23"
"GR";"71.20"
"GL";"28.20"
"GD";"6.30"
"GP";"68.31"
"GU";"20.84"
"GT";"9.61"
"GG";"56.10"
"GN";"0.62"
"GW";"0.00"
"GY";"10.01"
"HT";"1.05"
"HN";"3.55"
"HK";"85.93"
"HU";"48.73"
"IS";"87.71"
"IN";"0.61"
"ID";"3.04"
"IR";"3.11"
"IQ";"0.00"
"IE";"75.97"
"IL";"89.74"
"IT";"89.11"
"JM";"22.33"
"JP";"58.58"
"JE";"70.44"
"JO";"16.67"
"KZ";"3.87"
"KE";"1.86"
"KI";"0.46"
"KR";"60.88"
"KW";"41.62"
"KG";"0.54"
"LA";"0.55"
"LV";"27.85"
"LB";"22.82"
"LS";"3.02"
"LR";"0.07"
"LY";"0.92"
"LI";"32.67"
"LT";"29.31"
"LU";"92.93"
"MO";"44.39"
"MG";"0.91"
"MW";"0.48"
"MY";"31.16"
"MV";"6.58"
"ML";"0.21"
"MT";"59.98"
"MH";"0.94"
"MQ";"73.37"
"MR";"3.96"
"MU";"22.82"
"YT";"0.00"
"MX";"21.11"
"FM";"0.00"
"MD";"5.38"
"MC";"44.20"
"MN";"8.06"
"ME";"99999999999998"
"MS";"26.64"
"MA";"16.35"
"MZ";"0.82"
"MM";"0.05"
"NA";"5.51"
"NR";"14.92"
"NP";"0.07"
"AN";"99999999999998"
"NL";"76.16"
"NC";"31.29"
"NZ";"58.55"
"NI";"3.23"
"NE";"0.02"
"NG";"0.21"
"NU";"21.57"
"MP";"19.02"
"NO";"79.44"
"OM";"14.08"
"PK";"0.52"
"PS";"5.32"
"PA";"15.38"
"PG";"0.19"
"PY";"21.27"
"PE";"6.83"
"PH";"15.26"
"PL";"25.97"
"PT";"76.71"
"PR";"42.85"
"QA";"28.84"
"RE";"56.25"
"RO";"17.49"
"RU";"5.32"
"RW";"0.78"
"ST";"0.00"
"WS";"1.42"
"SM";"57.11"
"SA";"11.87"
"SN";"2.98"
"RS";"99999999999998"
"SC";"44.43"
"SL";"0.57"
"SG";"74.44"
"SK";"39.77"
"SI";"73.93"
"SB";"0.23"
"SO";"0.91"
"ZA";"23.26"
"SS";"99999999999998"
"ES";"71.65"
"LK";"3.53"
"SH";"0.00"
"KN";"4.57"
"LC";"1.70"
"PM";"99999999999998"
"VC";"6.94"
"SD";"0.37"
"SR";"18.21"
"SZ";"5.13"
"SE";"80.67"
"CH";"73.25"
"SY";"1.19"
"TW";"99.10"
"TJ";"0.03"
"TZ";"0.78"
"MK";"10.93"
"TH";"11.88"
"TL";"99999999999998"
"TG";"1.86"
"TK";"0.00"
"TO";"0.24"
"TT";"20.13"
"TN";"3.98"
"TR";"30.49"
"TM";"0.18"
"TC";"99999999999998"
"TV";"0.00"
"UG";"1.14"
"UA";"4.60"
"AE";"57.40"
"GB";"78.25"
"US";"45.11"
"UY";"15.63"
"UZ";"0.51"
"VU";"0.18"
"VE";"25.94"
"VN";"1.54"
"VI";"37.72"
"WF";"0.00"
"YE";"0.80"
"ZM";"1.12"
"ZW";"2.54"
