;redes_28
"AF";"0.33"
"AL";"8.50"
"DZ";"8.38"
"AS";"99999999999998"
"AD";"50.07"
"AO";"1.06"
"AI";"99999999999998"
"AG";"22.29"
"AR";"22.67"
"AM";"18.18"
"AW";"99999999999998"
"AU";"33.91"
"AT";"40.95"
"AZ";"17.48"
"BS";"30.95"
"BH";"19.64"
"BD";"0.47"
"BB";"49.02"
"BY";"47.63"
"BE";"38.48"
"BZ";"6.27"
"BJ";"1.15"
"BM";"99999999999998"
"BT";"2.64"
"BO";"7.97"
"BA";"21.18"
"BW";"6.32"
"BR";"20.15"
"VG";"99999999999998"
"BN";"17.54"
"BG";"20.74"
"BF";"0.41"
"BI";"0.19"
"KH";"1.44"
"CM";"4.48"
"CA";"41.76"
"CV";"12.00"
"KY";"56.14"
"CF";"0.04"
"TD";"0.10"
"CL";"18.84"
"CN";"14.72"
"CO";"14.63"
"KM";"1.64"
"CD";"0.00"
"CG";"0.33"
"CK";"99999999999998"
"CR";"17.50"
"CI";"1.22"
"HR";"34.08"
"CU";"11.52"
"CY";"37.72"
"CZ";"16.57"
"KP";"4.65"
"DK";"27.26"
"DJ";"2.65"
"DM";"18.12"
"DO";"12.63"
"EC";"14.96"
"EG";"6.39"
"SV";"14.71"
"GQ";"0.90"
"ER";"1.33"
"EE";"28.24"
"ET";"1.12"
"FK";"77.49"
"FO";"41.11"
"FJ";"8.25"
"FI";"8.31"
"FR";"60.27"
"GF";"99999999999998"
"PF";"21.60"
"GA";"0.96"
"GM";"1.86"
"GE";"21.24"
"DE";"53.84"
"GH";"0.89"
"GI";"49.49"
"GR";"46.50"
"GL";"99999999999998"
"GD";"24.95"
"GP";"99999999999998"
"GU";"99999999999998"
"GT";"14.80"
"GG";"99999999999998"
"GN";"0.00"
"GW";"0.00"
"GY";"18.31"
"HT";"0.05"
"HN";"4.86"
"HK";"59.13"
"HU";"31.99"
"IS";"49.50"
"IN";"1.84"
"ID";"4.12"
"IR";"38.24"
"IQ";"5.46"
"IE";"40.14"
"IL";"40.78"
"IT";"34.10"
"JM";"10.77"
"JP";"50.18"
"JE";"99999999999998"
"JO";"4.27"
"KZ";"21.85"
"KE";"0.15"
"KI";"0.57"
"KR";"55.20"
"KW";"9.95"
"KG";"6.42"
"LA";"18.74"
"LV";"18.42"
"LB";"30.24"
"LS";"1.87"
"LR";"0.17"
"LY";"21.84"
"LI";"43.50"
"LT";"18.25"
"LU";"48.01"
"MO";"23.20"
"MG";"0.60"
"MW";"0.06"
"MY";"15.51"
"MV";"4.94"
"ML";"1.12"
"MT";"54.59"
"MH";"99999999999998"
"MQ";"99999999999998"
"MR";"1.24"
"MU";"30.86"
"YT";"99999999999998"
"MX";"16.04"
"FM";"6.56"
"MD";"28.85"
"MC";"120.98"
"MN";"7.44"
"ME";"23.55"
"MS";"99999999999998"
"MA";"5.87"
"MZ";"0.29"
"MM";"0.97"
"NA";"7.58"
"NR";"99999999999998"
"NP";"2.96"
"AN";"99999999999998"
"NL";"39.88"
"NC";"99999999999998"
"NZ";"37.76"
"NI";"5.96"
"NE";"0.78"
"NG";"0.08"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"15.34"
"OM";"9.55"
"PK";"1.61"
"PS";"9.02"
"PA";"15.91"
"PG";"1.90"
"PY";"5.21"
"PE";"9.68"
"PH";"3.71"
"PL";"21.30"
"PT";"46.16"
"PR";"22.18"
"QA";"18.18"
"RE";"99999999999998"
"RO";"20.78"
"RU";"22.42"
"RW";"0.11"
"ST";"2.87"
"WS";"4.96"
"SM";"48.19"
"SA";"11.27"
"SN";"1.86"
"RS";"37.53"
"SC";"22.11"
"SL";"0.23"
"SG";"35.54"
"SK";"15.13"
"SI";"35.20"
"SB";"1.24"
"SO";"0.34"
"ZA";"8.07"
"SS";"0.00"
"ES";"42.36"
"LK";"11.92"
"SH";"68.35"
"KN";"31.80"
"LC";"19.97"
"PM";"99999999999998"
"VC";"18.74"
"SD";"0.34"
"SR";"15.94"
"SZ";"3.13"
"SE";"31.56"
"CH";"47.23"
"SY";"18.80"
"TW";"58.46"
"TJ";"5.36"
"TZ";"0.23"
"MK";"17.70"
"TH";"6.83"
"TL";"0.21"
"TG";"0.44"
"TK";"99999999999998"
"TO";"10.27"
"TT";"19.94"
"TN";"8.55"
"TR";"13.93"
"TM";"11.74"
"TC";"99999999999998"
"TV";"18.02"
"UG";"0.89"
"UA";"20.14"
"AE";"24.66"
"GB";"50.94"
"US";"37.72"
"UY";"32.33"
"UZ";"10.85"
"VU";"1.68"
"VE";"24.27"
"VN";"5.92"
"VI";"99999999999998"
"WF";"99999999999998"
"YE";"4.23"
"ZM";"0.61"
"ZW";"1.89"
