;redes_31
"AF";"8,26"
"AL";"63,25"
"DZ";"38,20"
"AS";"99999999999998"
"AD";"96,91"
"AO";"12,40"
"AI";"75,98"
"AG";"70,00"
"AR";"68,04"
"AM";"64,35"
"AW";"88,66"
"99999999999998";"99999999999998"
"AU";"84,56"
"AT";"83,94"
"AZ";"77,00"
"BS";"78,00"
"BH";"93,48"
"BD";"14,40"
"BB";"76,11"
"BY";"67,30"
"BE";"85,05"
"BZ";"41,59"
"BJ";"11,25"
"BM";"98,32"
"BT";"39,80"
"BO";"35,56"
"BA";"52,60"
"BW";"37,31"
"BR";"58,33"
"VG";"99999999999998"
"BN";"71,20"
"BG";"56,66"
"BF";"11,39"
"BI";"4,87"
"KH";"22,33"
"CM";"20,68"
"CA";"88,47"
"CV";"47,96"
"KY";"77,00"
"CF";"3,80"
"TD";"3,50"
"CL";"64,29"
"CN";"50,30"
"CO";"55,90"
"KM";"7,46"
"CD";"3,80"
"CG";"7,62"
"CK";"51,00"
"CR";"59,76"
"CI";"21,89"
"HR";"69,80"
"CU";"37,31"
"CY";"71,72"
"CZ";"75,67"
"KP";"99999999999998"
"DK";"96,33"
"DJ";"11,92"
"DM";"65,00"
"DO";"54,22"
"EC";"48,94"
"EG";"37,82"
"SV";"26,80"
"GQ";"21,32"
"ER";"1,08"
"EE";"88,41"
"ET";"13,86"
"FK";"98,31"
"FO";"94,20"
"FJ";"42,50"
"FI";"86,42"
"FR";"84,69"
"GF";"99999999999998"
"PF";"64,56"
"GA";"45,78"
"GM";"16,50"
"GE";"47,57"
"DE";"87,59"
"GH";"31,45"
"GI";"99999999999998"
"GR";"66,83"
"GL";"67,60"
"GD";"53,81"
"GP";"99999999999998"
"GU";"73,14"
"GT";"28,81"
"GG";"99999999999998"
"GN";"8,20"
"GW";"3,54"
"GY";"34,00"
"HT";"12,20"
"HN";"27,62"
"HK";"84,95"
"HU";"72,83"
"IS";"98,20"
"IN";"26,00"
"ID";"21,98"
"IR";"45,33"
"IQ";"17,22"
"IE";"83,49"
"IL";"77,35"
"IT";"58,14"
"JM";"42,22"
"JP";"91,06"
"JE";"99999999999998"
"JO";"60,11"
"KZ";"70,83"
"KE";"21,00"
"KI";"13,00"
"KR";"89,65"
"KW";"77,52"
"KG";"30,25"
"LA";"18,20"
"LV";"79,20"
"LB";"74,00"
"LS";"25,00"
"LR";"5,90"
"LY";"19,02"
"LI";"96,64"
"LT";"71,38"
"LU";"97,33"
"MO";"77,60"
"MG";"4,17"
"MW";"9,30"
"MY";"71,06"
"MV";"54,46"
"ML";"10,33"
"MT";"76,18"
"MH";"19,28"
"MQ";"99999999999998"
"MR";"15,20"
"MU";"50,14"
"YT";"99999999999998"
"MX";"57,43"
"FM";"31,50"
"MD";"69,00"
"MC";"93,36"
"MN";"21,44"
"ME";"68,12"
"MS";"99999999999998"
"MA";"57,08"
"MZ";"16,93"
"MM";"21,73"
"NA";"25,69"
"NR";"99999999999998"
"NP";"17,58"
"AN";"99999999999998"
"NL";"91,72"
"NC";"74,00"
"NZ";"88,22"
"NI";"19,70"
"NE";"2,48"
"NG";"24,50"
"NU";"99999999999998"
"MP";"99999999999998"
"NO";"96,81"
"OM";"66,13"
"PK";"14,00"
"PS";"57,42"
"PA";"51,21"
"PG";"7,90"
"PY";"48,44"
"PE";"40,90"
"PH";"53,70"
"PL";"68,00"
"PT";"68,63"
"PR";"79,47"
"QA";"92,88"
"RE";"99999999999998"
"RO";"55,76"
"RU";"73,41"
"RW";"18,00"
"ST";"25,82"
"WS";"25,41"
"SM";"99999999999998"
"SA";"69,62"
"SN";"21,69"
"RS";"65,32"
"SC";"54,26"
"SL";"6,34"
"SG";"79,01"
"SK";"77,63"
"SI";"73,10"
"SB";"10,00"
"SO";"1,76"
"ZA";"51,92"
"ES";"78,69"
"LK";"29,99"
"SH";"99999999999998"
"KN";"75,70"
"LC";"42,53"
"PM";"99999999999998"
"VC";"51,77"
"SD";"26,61"
"SR";"42,76"
"SZ";"25,64"
"SE";"90,61"
"CH";"87,48"
"SY";"29,98"
"TW";"78,04"
"TJ";"18,98"
"TZ";"10,00"
"MK";"70,38"
"TH";"39,32"
"TL";"23,00"
"TG";"7,12"
"TK";"99999999999998"
"TO";"38,65"
"TT";"69,20"
"TN";"46,50"
"TR";"53,74"
"TM";"15,00"
"TC";"99999999999998"
"TV";"42,70"
"UG";"17,83"
"UA";"48,88"
"AE";"90,50"
"GB";"92,00"
"US";"74,55"
"UY";"64,60"
"UZ";"42,80"
"VU";"22,35"
"VE";"61,87"
"VN";"43,50"
"VI";"54,84"
"WF";"99999999999998"
"YE";"24,09"
"ZM";"21,00"
"ZW";"22,74"
