;indicadoressociais_14
"AW";"96.18"
"AF";"39.82"
"AO";"39.23"
"AI";"95.24"
"AL";"87.95"
"AD";"100.00"
"AE";"99.64"
"AR";"99.29"
"AM";"96.93"
"AS";"98.87"
"AG";"97.55"
"AU";"99.82"
"AT";"100.00"
"AZ";"79.68"
"BI";"53.81"
"BE";"100.00"
"BJ";"62.90"
"BF";"49.28"
"BD";"95.79"
"BG";"99.62"
"BH";"99.96"
"BS";"98.09"
"BA";"96.83"
"BY";"97.92"
"BZ";"91.37"
"BM";"99.95"
"BO";"84.84"
"BR";"95.31"
"BB";"98.37"
"BN";"99999999999998"
"BT";"89.00"
"BW";"77.99"
"CF";"52.90"
"CA";"99.80"
"CH";"100.00"
"CL";"99999999999998"
"CL";"97.66"
"CN";"85.74"
"CI";"72.19"
"CM";"59.42"
"CD";"37.35"
"CG";"60.67"
"CK";"99.89"
"CO";"92.84"
"KM";"85.22"
"CV";"80.60"
"CR";"96.85"
"CU";"93.95"
"CW";"99999999999998"
"KY";"96.13"
"CY";"100.00"
"CZ";"99.83"
"DE";"100.00"
"DJ";"75.72"
"DM";"95.13"
"DK";"100.00"
"DO";"92.61"
"DZ";"91.43"
"EC";"86.95"
"EG";"98.29"
"ER";"17.51"
"ES";"100.00"
"EE";"99.33"
"ET";"25.46"
"FI";"100.00"
"FJ";"94.37"
"FK";"99999999999998"
"FR";"99.95"
"FO";"100.00"
"FM";"90.48"
"GA";"83.08"
"GB";"100.00"
"GE";"90.38"
"GH";"69.93"
"GI";"99.62"
"GN";"59.59"
"GP";"99.17"
"GM";"76.43"
"GW";"59.40"
"GQ";"49.01"
"GR";"99.71"
"GD";"94.70"
"GL";"100.00"
"GT";"88.84"
"GF";"93.22"
"GU";"99.55"
"GY";"90.83"
"HK";"99.26"
"HN";"86.41"
"HR";"98.97"
"HT";"60.06"
"HU";"99.97"
"ID";"80.80"
"IM";"99999999999998"
"IN";"83.36"
"IE";"97.29"
"IR";"95.20"
"IQ";"79.61"
"IS";"100.00"
"IL";"100.00"
"IT";"100.00"
"JM";"91.70"
"JO";"99.17"
"JP";"98.56"
"KZ";"88.23"
"KE";"51.41"
"KG";"82.83"
"KH";"61.40"
"KI";"62.51"
"KN";"98.72"
"KR";"98.53"
"KW";"100.00"
"LA";"60.45"
"LB";"88.14"
"LR";"65.07"
"LY";"99999999999998"
"LC";"91.59"
"LI";"100.00"
"LK";"83.40"
"LS";"68.50"
"LT";"93.16"
"LU";"99.94"
"LV";"97.99"
"MO";"100.00"
"MA";"71.93"
"MC";"100.00"
"MD";"85.13"
"MG";"41.78"
"MV";"95.34"
"MX";"93.08"
"MH";"78.87"
"MK";"96.90"
"ML";"59.37"
"MT";"100.00"
"MM";"59.90"
"ME";"95.29"
"MN";"73.23"
"MP";"99.02"
"MZ";"31.94"
"MR";"60.54"
"MS";"97.64"
"MQ";"99.66"
"MU";"99.55"
"MW";"57.86"
"MY";"97.41"
"YT";"99999999999998"
"NA";"77.68"
"NC";"95.89"
"NE";"40.98"
"NG";"55.02"
"NI";"81.19"
"NU";"99.00"
"NL";"100.00"
"NO";"100.00"
"NP";"82.97"
"NR";"97.47"
"NZ";"100.00"
"OM";"78.13"
"PK";"88.86"
"PA";"91.01"
"PE";"84.56"
"PH";"87.82"
"PW";"95.65"
"PG";"36.64"
"PL";"97.92"
"PR";"97.08"
"KP";"99.78"
"PT";"99.16"
"PY";"85.13"
"PS";"88.09"
"PF";"100.00"
"QA";"100.00"
"RE";"99.50"
"RO";"100.00"
"RU";"95.70"
"RW";"50.86"
"SA";"98.08"
"SD";"46.27"
"SN";"67.07"
"SG";"100.00"
"SH";"98.50"
"SB";"77.27"
"SL";"45.90"
"SV";"85.41"
"SM";"100.00"
"SO";"28.19"
"PM";"99999999999998"
"RS";"90.86"
"SS";"99999999999998"
"ST";"72.21"
"SR";"91.81"
"SK";"97.96"
"SI";"99.58"
"SE";"100.00"
"SZ";"58.22"
"SX";"99999999999998"
"SC";"94.70"
"SY";"95.83"
"TC";"89.85"
"TD";"40.35"
"TG";"52.38"
"TH";"96.06"
"TJ";"64.41"
"TK";"98.69"
"TM";"88.36"
"TL";"57.46"
"TO";"98.77"
"TT";"94.64"
"TN";"90.58"
"TR";"96.95"
"TV";"98.07"
"TZ";"38.89"
"UG";"33.47"
"UA";"96.44"
"UY";"97.52"
"US";"99.15"
"UZ";"90.21"
"VC";"94.01"
"VE";"96.72"
"VG";"97.58"
"VI";"100.00"
"VN";"83.12"
"VU";"83.42"
"WF";"99.63"
"WS";"93.61"
"YE";"51.97"
"ZA";"80.28"
"ZM";"53.71"
"ZW";"69.28"
