;meioambiente_33
"AF";"0,58"
"AL";"0,41"
"DZ";"0,17"
"AS";"0,25"
"AD";"0,46"
"AO";"0,46"
"AI";"99999999999998"
"AG";"0,20"
"AR";"0,52"
"AM";"0,62"
"AW";"0,11"
"AU";"0,57"
"AT";"0,34"
"AZ";"0,58"
"BS";"0,01"
"BH";"0,12"
"BD";"0,71"
"BB";"0,37"
"BY";"0,44"
"BE";"0,46"
"BZ";"0,07"
"BJ";"0,30"
"BM";"0,08"
"BT";"0,15"
"BO";"0,34"
"BA";"0,42"
"BW";"0,46"
"BR";"0,33"
"VG";"0,47"
"BN";"0,02"
"BG";"0,48"
"BF";"0,39"
"BI";"0,69"
"CV";"0,19"
"KH";"0,30"
"CM";"0,19"
"CA";"0,07"
"KY";"0,11"
"CF";"0,08"
"TD";"0,39"
"CL";"0,21"
"CN";"0,55"
"HK";"0,06"
"MO";"99999999999998"
"CO";"0,38"
"KM";"0,71"
"CG";"0,31"
"CK";"0,10"
"CR";"0,36"
"CI";"0,64"
"HR";"0,22"
"CU";"0,62"
"CY";"0,17"
"CZ";"0,55"
"KP";"0,22"
"CD";"0,11"
"DK";"0,64"
"DJ";"0,73"
"DM";"0,29"
"DO";"0,50"
"EC";"0,30"
"EG";"0,04"
"SV";"0,71"
"GQ";"0,11"
"ER";"0,75"
"EE";"0,21"
"ET";"0,34"
"FK";"0,93"
"FO";"0,02"
"FJ";"0,23"
"FI";"0,08"
"FR";"0,54"
"GF";"0,00"
"PF";"0,12"
"GA";"0,20"
"GM";"0,49"
"GE";"0,36"
"DE";"0,49"
"GH";"0,67"
"GI";"99999999999998"
"GR";"0,64"
"GL";"0,01"
"GD";"0,21"
"GP";"0,26"
"GU";"0,37"
"GT";"0,40"
"GN";"0,58"
"GW";"0,57"
"GY";"0,09"
"HT";"0,61"
"HN";"0,28"
"HU";"0,65"
"IS";"0,19"
"IN";"0,61"
"ID";"0,28"
"IR";"0,29"
"IQ";"0,21"
"IE";"0,62"
"IM";"0,74"
"IL";"0,24"
"IT";"0,48"
"JM";"0,43"
"JP";"0,13"
"JO";"0,12"
"KZ";"0,78"
"KE";"0,48"
"KI";"0,42"
"KW";"0,08"
"KG";"0,56"
"LA";"0,09"
"LV";"0,30"
"LB";"0,66"
"LS";"0,76"
"LR";"0,27"
"LY";"0,09"
"LI";"0,43"
"LT";"0,45"
"LU";"0,50"
"MG";"0,70"
"MW";"0,56"
"MY";"0,22"
"MV";"0,27"
"ML";"0,33"
"MT";"0,29"
"MH";"0,72"
"MQ";"0,26"
"MR";"0,38"
"MU";"0,46"
"YT";"0,44"
"MX";"0,55"
"FM";"0,32"
"MN";"0,74"
"ME";"0,38"
"MS";"0,30"
"MA";"0,67"
"MZ";"0,63"
"MM";"0,18"
"NA";"0,47"
"NR";"0,20"
"NP";"0,29"
"NL";"0,57"
"NC";"0,12"
"NZ";"0,43"
"NI";"0,43"
"NE";"0,34"
"NG";"0,80"
"NU";"0,18"
"NF";"0,25"
"MP";"0,07"
"NO";"0,03"
"OM";"0,05"
"PK";"0,47"
"PW";"0,11"
"PA";"0,30"
"PG";"0,02"
"PY";"0,51"
"PE";"0,18"
"PH";"0,39"
"PN";"99999999999998"
"PL";"0,52"
"PT";"0,41"
"PR";"0,22"
"QA";"0,06"
"KR";"0,19"
"MD";"0,75"
"RE";"0,19"
"RO";"0,61"
"RU";"0,13"
"RW";"0,73"
"SH";"0,31"
"KN";"0,19"
"LC";"0,17"
"PM";"0,13"
"VC";"0,26"
"WS";"0,14"
"SM";"0,17"
"ST";"0,51"
"SA";"0,81"
"SN";"0,44"
"RS";"0,40"
"SC";"0,09"
"SL";"0,56"
"SG";"0,01"
"SK";"0,40"
"SI";"0,24"
"SB";"0,03"
"SO";"0,70"
"ZA";"0,80"
"SS";"99999999999998"
"ES";"0,57"
"LK";"0,39"
"SD";"99999999999998"
"SR";"0,00"
"SZ";"0,71"
"SE";"0,08"
"CH";"0,39"
"SY";"0,76"
"TJ";"0,34"
"TH";"0,39"
"MK";"0,48"
"TL";"0,26"
"TG";"0,60"
"TK";"0,60"
"TO";"0,43"
"TT";"0,11"
"TN";"0,63"
"TR";"0,53"
"TM";"0,74"
"TC";"0,01"
"TV";"0,57"
"UG";"0,67"
"UA";"0,71"
"AE";"0,07"
"GB";"0,74"
"TZ";"0,40"
"US";"0,45"
"VI";"0,11"
"UY";"0,84"
"UZ";"0,63"
"VU";"0,15"
"VE";"0,24"
"VN";"0,33"
"WF";"0,43"
"EH";"0,19"
"YE";"0,45"
"ZM";"0,31"
"ZW";"0,42"
