;meioambiente_34
"AF";"0,46"
"AL";"0,14"
"DZ";"0,13"
"AS";"99999999999998"
"AD";"0,47"
"AO";"0,43"
"AI";"99999999999998"
"AG";"0,09"
"AR";"0,36"
"AM";"99999999999998"
"AW";"99999999999998"
"AU";"0,55"
"AT";"0,18"
"AZ";"99999999999998"
"BS";"0,00"
"BH";"0,06"
"BD";"0,04"
"BB";"0,05"
"BY";"99999999999998"
"BE";"99999999999998"
"BZ";"0,02"
"BJ";"0,04"
"BM";"99999999999998"
"BT";"0,06"
"BO";"0,30"
"BA";"99999999999998"
"BW";"0,44"
"BR";"0,21"
"VG";"0,33"
"BN";"0,01"
"BG";"0,18"
"BF";"0,22"
"BI";"0,29"
"CV";"0,06"
"KH";"0,03"
"CM";"0,04"
"CA";"0,02"
"KY";"0,08"
"CF";"0,05"
"TD";"0,35"
"CL";"0,17"
"CN";"0,36"
"HK";"0,01"
"MO";"99999999999998"
"CO";"0,35"
"KM";"0,08"
"CG";"0,29"
"CK";"99999999999998"
"CR";"0,44"
"CI";"0,40"
"HR";"99999999999998"
"CU";"0,24"
"CY";"0,00"
"CZ";"99999999999998"
"KP";"0,00"
"CD";"0,08"
"DK";"0,05"
"DJ";"0,56"
"DM";"0,03"
"DO";"0,25"
"EC";"0,16"
"EG";"99999999999998"
"SV";"0,29"
"GQ";"0,04"
"ER";"99999999999998"
"EE";"99999999999998"
"ET";"99999999999998"
"FK";"0,99"
"FO";"99999999999998"
"FJ";"0,08"
"FI";"0,00"
"FR";"0,23"
"GF";"0,00"
"PF";"0,05"
"GA";"0,18"
"GM";"0,35"
"GE";"99999999999998"
"DE";"0,16"
"GH";"0,35"
"GI";"99999999999998"
"GR";"0,40"
"GL";"0,01"
"GD";"0,03"
"GP";"0,15"
"GU";"0,15"
"GT";"0,18"
"GN";"0,44"
"GW";"0,30"
"GY";"0,06"
"HT";"0,18"
"HN";"0,13"
"HU";"0,14"
"IS";"0,17"
"IN";"0,04"
"ID";"0,06"
"IR";"0,25"
"IQ";"0,09"
"IE";"0,66"
"IM";"0,28"
"IL";"0,07"
"IT";"0,17"
"JM";"0,23"
"JP";"0,02"
"JO";"0,09"
"KZ";"99999999999998"
"KE";"0,37"
"KI";"99999999999998"
"KW";"0,08"
"KG";"99999999999998"
"LA";"0,03"
"LV";"99999999999998"
"LB";"0,29"
"LS";"0,66"
"LR";"0,18"
"LY";"0,08"
"LI";"0,31"
"LT";"99999999999998"
"LU";"99999999999998"
"MG";"0,56"
"MW";"0,16"
"MY";"0,01"
"MV";"0,03"
"ML";"0,24"
"MT";"99999999999998"
"MH";"99999999999998"
"MQ";"0,18"
"MR";"0,38"
"MU";"0,03"
"YT";"99999999999998"
"MX";"0,41"
"FM";"0,06"
"MN";"0,79"
"ME";"99999999999998"
"MS";"0,10"
"MA";"0,47"
"MZ";"0,55"
"MM";"0,01"
"NA";"0,46"
"NR";"99999999999998"
"NP";"0,12"
"NL";"0,28"
"NC";"0,15"
"NZ";"0,52"
"NI";"0,19"
"NE";"0,17"
"NG";"0,31"
"NU";"0,04"
"NF";"0,25"
"MP";"99999999999998"
"NO";"0,00"
"OM";"0,03"
"PK";"0,06"
"PW";"99999999999998"
"PA";"0,18"
"PG";"0,00"
"PY";"0,32"
"PE";"0,12"
"PH";"0,04"
"PN";"99999999999998"
"PL";"0,13"
"PT";"0,09"
"PR";"0,38"
"QA";"0,04"
"KR";"0,01"
"MD";"99999999999998"
"RE";"0,04"
"RO";"0,19"
"RU";"99999999999998"
"RW";"0,27"
"SH";"0,21"
"KN";"0,04"
"LC";"0,05"
"PM";"99999999999998"
"VC";"0,05"
"WS";"0,00"
"SM";"99999999999998"
"ST";"0,01"
"SA";"0,42"
"SN";"0,29"
"RS";"99999999999998"
"SC";"99999999999998"
"SL";"0,30"
"SG";"99999999999998"
"SK";"99999999999998"
"SI";"99999999999998"
"SB";"0,00"
"SO";"0,67"
"ZA";"0,67"
"SS";"99999999999998"
"ES";"0,20"
"LK";"0,07"
"SD";"99999999999998"
"SR";"0,00"
"SZ";"0,63"
"SE";"0,02"
"CH";"0,29"
"SY";"0,45"
"TJ";"99999999999998"
"TH";"0,01"
"MK";"99999999999998"
"TL";"0,10"
"TG";"0,18"
"TK";"99999999999998"
"TO";"0,05"
"TT";"0,01"
"TN";"0,24"
"TR";"0,13"
"TM";"99999999999998"
"TC";"99999999999998"
"TV";"99999999999998"
"UG";"0,21"
"UA";"99999999999998"
"AE";"0,02"
"GB";"0,46"
"TZ";"0,23"
"US";"0,25"
"VI";"0,23"
"UY";"0,77"
"UZ";"99999999999998"
"VU";"0,02"
"VE";"0,20"
"VN";"0,01"
"WF";"99999999999998"
"EH";"0,19"
"YE";"0,42"
"ZM";"0,23"
"ZW";"0,25"
